י;ו;ם;י;מ;י;ב;א;ב;ן;ק;ז;ד;ו;ד;ך;ל;מ;ה;ו;(10, 1, 1, 1, 1)
י;ו;ו;ל;ם;ח;י;א;ל;ו;ם;י;ד;ג;ב;ב;ו;ה;ס;כ;(10, 1, 1, 21, 21)
נ;ד;א;ל;ו;ש;ק;ב;י;ו;י;ד;ב;ע;ו;ל;ו;ר;מ;א;(10, 1, 2, 3, 41)
ל;ה;ד;מ;ע;ו;ה;ל;ו;ת;ב;ה;ר;ע;נ;ך;ל;מ;ה;י;(10, 1, 2, 23, 61)
כ;ש;ו;ת;נ;כ;ס;ו;ל;י;ה;ת;ו;ך;ל;מ;ה;י;נ;פ;(10, 1, 2, 43, 81)
ו;ך;ל;מ;ה;י;נ;ד;א;ל;ם;ח;ו;ך;ק;י;ח;ב;ה;ב;(10, 1, 2, 63, 101)
י;ל;ו;ב;ג;ל;כ;ב;ה;פ;י;ה;ר;ע;נ;ו;ש;ק;ב;י;(10, 1, 3, 2, 121)
ו;ש;ה;ג;ש;י;ב;א;ת;א;ו;א;צ;מ;י;ו;ל;א;ר;ש;(10, 1, 3, 22, 141)
ע;נ;ה;ו;ך;ל;מ;ל;ה;ת;א;ו;א;ב;י;ו;ת;י;מ;נ;(10, 1, 3, 42, 161)
כ;ס;ך;ל;מ;ל;י;ה;ת;ו;ד;א;מ;ד;ע;ה;פ;י;ה;ר;(10, 1, 4, 5, 181)
ה;ע;ד;י;א;ל;ך;ל;מ;ה;ו;ו;ה;ת;ר;ש;ת;ו;ת;נ;(10, 1, 4, 25, 201)
מ;א;ל;א;ש;נ;ת;מ;ת;י;ג;ח;ן;ב;ה;י;נ;ד;א;ו;(10, 1, 5, 1, 221)
ר;פ;ו;ב;כ;ר;ו;ל;ש;ע;י;ו;ך;ל;מ;א;י;נ;א;ר;(10, 1, 5, 21, 241)
י;נ;פ;ל;ם;י;צ;ר;ש;י;א;ם;י;ש;מ;ח;ו;ם;י;ש;(10, 1, 5, 41, 261)
מ;א;ל;ו;י;מ;י;מ;ו;י;ב;א;ו;ב;צ;ע;א;ל;ו;ו;(10, 1, 5, 61, 281)
ו;ט;א;ו;ה;ם;ג;ו;ת;י;ש;ע;ה;כ;כ;ע;ו;ד;מ;ר;(10, 1, 6, 20, 301)
א;י;ר;ח;א;ה;ד;ל;י;ו;ת;א;ו;ד;א;מ;ר;א;ת;ב;(10, 1, 6, 40, 321)
א;ו;י;ם;ע;ו;י;ר;ב;ד;ו;י;ה;י;ו;ם;ו;ל;ש;ב;(10, 1, 6, 60, 341)
ן;ה;כ;ה;ר;ת;י;ב;א;ם;ע;ו;ה;י;ו;ר;צ;ן;ב;ב;(10, 1, 7, 16, 361)
ק;ו;ד;צ;ו;ה;י;נ;ד;א;י;ר;ח;א;ו;ר;ז;ע;י;ו;(10, 1, 7, 36, 381)
נ;ו;ע;ד;י;ו;ה;י;ן;ב;ו;ה;י;נ;ב;ו;ן;ה;כ;ה;(10, 1, 8, 6, 401)
ב;ג;ה;ו;י;ע;ר;ו;י;ע;מ;ש;ו;א;י;ב;נ;ה;ן;ת;(10, 1, 8, 26, 421)
ד;א;ם;ע;ו;י;ה;א;ל;ד;ו;ד;ל;ר;ש;א;ם;י;ר;ו;(10, 1, 8, 46, 441)
ב;ו;ן;א;צ;ו;ה;י;נ;ד;א;ח;ב;ז;י;ו;ו;ה;י;נ;(10, 1, 8, 66, 461)
ר;ש;א;ת;ל;ח;ז;ה;ן;ב;א;ם;ע;א;י;ר;מ;ו;ר;ק;(10, 1, 9, 17, 481)
ח;א;ל;כ;ת;א;א;ר;ק;י;ו;ל;ג;ר;ן;י;ע;ל;צ;א;(10, 1, 9, 37, 501)
ו;ה;י;י;ש;נ;א;ל;כ;ל;ו;ך;ל;מ;ה;י;נ;ב;ו;י;(10, 1, 9, 57, 521)
י;ב;נ;ה;ן;ת;נ;ת;א;ו;ך;ל;מ;ה;י;ד;ב;ע;ה;ד;(10, 1, 9, 77, 541)
ת;א;ו;ם;י;ר;ו;ב;ג;ה;ת;א;ו;ו;ה;י;נ;ב;ו;א;(10, 1, 10, 11, 561)
ת;נ;ר;מ;א;י;ו;א;ר;ק;א;ל;ו;י;ח;א;ה;מ;ל;ש;(10, 1, 10, 31, 581)
ל;ה;ר;מ;א;ל;ה;מ;ל;ש;ם;א;ע;ב;ש;ת;ב;ל;א;ן;(10, 1, 11, 8, 601)
ח;ן;ב;ו;ה;י;נ;ד;א;ך;ל;מ;י;כ;ת;ע;מ;ש;א;ו;(10, 1, 11, 28, 621)
ע;ו;ע;ד;י;א;ל;ד;ו;ד;ו;נ;י;נ;ד;א;ו;ת;י;ג;(10, 1, 11, 48, 641)
י;ט;ל;מ;ו;ה;צ;ע;א;נ;ך;צ;ע;י;א;י;כ;ל;ה;ת;(10, 1, 12, 3, 661)
ל;ה;מ;ל;ש;ך;נ;ב;ש;פ;נ;ת;א;ו;ך;ש;פ;נ;ת;א;(10, 1, 12, 23, 681)
ת;ר;מ;א;ו;ד;ו;ד;ך;ל;מ;ה;ל;א;י;א;ב;ו;י;כ;(10, 1, 13, 2, 701)
ש;נ;ך;ל;מ;ה;י;נ;ד;א;ה;ת;א;א;ל;ה;ו;י;ל;א;(10, 1, 13, 22, 721)
נ;ב;ה;מ;ל;ש;י;כ;ר;מ;א;ל;ך;ת;מ;א;ל;ת;ע;ב;(10, 1, 13, 42, 741)
ס;כ;ל;ע;ב;ש;י;א;ו;ה;ו;י;ר;ח;א;ך;ל;מ;י;ך;(10, 1, 13, 62, 761)
ע;ה;נ;ה;ו;ה;י;נ;ד;א;ך;ל;מ;ע;ו;ד;מ;ו;י;א;(10, 1, 13, 82, 781)
י;נ;א;ו;ך;ל;מ;ה;ם;ע;ם;ש;ת;ר;ב;ד;מ;ך;ד;ו;(10, 1, 14, 5, 801)
ר;ב;ד;ת;א;י;ת;א;ל;מ;ו;ך;י;ר;ח;א;א;ו;ב;א;(10, 1, 14, 25, 821)
ד;ח;ה;ך;ל;מ;ה;ל;א;ע;ב;ש;ת;ב;א;ב;ת;ו;ך;י;(10, 1, 14, 45, 841)
ה;ג;ש;י;ב;א;ו;ד;א;מ;ן;ק;ז;ך;ל;מ;ה;ו;ה;ר;(10, 1, 15, 19, 861)
ד;ק;ת;ו;ך;ל;מ;ה;ת;א;ת;ר;ש;מ;ת;י;מ;נ;ו;ש;(10, 1, 15, 39, 881)
ר;מ;א;י;ו;ך;ל;מ;ל;ו;ח;ת;ש;ת;ו;ע;ב;ש;ת;ב;(10, 1, 16, 5, 901)
א;י;נ;ד;א;ו;ל;ר;מ;א;ת;ו;ך;ל;ה;מ;ך;ל;מ;ה;(10, 1, 16, 25, 921)
מ;א;ל;ך;י;ה;ל;א;ה;ו;ה;י;ב;ת;ע;ב;ש;נ;ה;ת;(10, 1, 17, 13, 941)
ו;י;ר;ח;א;ך;ל;מ;י;ך;נ;ב;ה;מ;ל;ש;י;כ;ך;ת;(10, 1, 17, 33, 961)
א;ה;נ;ה;ה;ת;ע;ו;י;א;ס;כ;ל;ע;ב;ש;י;א;ו;ה;(10, 1, 17, 53, 981)
ל;ך;ל;מ;ה;י;נ;ד;א;ה;ת;ע;ו;ך;ל;מ;ה;י;נ;ד;(10, 1, 18, 9, 1001)
צ;ו;א;י;ר;מ;ו;ר;ו;ש;ח;ב;ז;י;ו;ת;ע;ד;י;א;(10, 1, 18, 29, 1021)
ך;ל;מ;ה;י;נ;ב;ל;כ;ל;א;ר;ק;י;ו;ב;ר;ל;ן;א;(10, 1, 19, 16, 1041)
צ;ה;ר;ש;ב;א;י;ל;ו;ן;ה;כ;ה;ר;ת;י;ב;א;ל;ו;(10, 1, 19, 36, 1061)
ת;א;ו;א;ר;ק;א;ל;ך;ד;ב;ע;ה;מ;ל;ש;ל;ו;א;ב;(10, 1, 19, 56, 1081)
ל;א;ר;ש;י;ל;כ;י;נ;י;ע;ך;ל;מ;ה;י;נ;ד;א;ה;(10, 1, 20, 4, 1101)
כ;ל;ע;ב;ש;י;י;מ;ם;ה;ל;ד;י;ג;ה;ל;ך;י;ל;ע;(10, 1, 20, 24, 1121)
כ;ה;י;ה;ו;ו;י;ר;ח;א;ך;ל;מ;ה;י;נ;ד;א;א;ס;(10, 1, 20, 44, 1141)
ה;ו;ו;י;ת;ב;א;ם;ע;ך;ל;מ;ה;י;נ;ד;א;ב;כ;ש;(10, 1, 21, 6, 1161)
ם;י;א;ט;ח;ה;מ;ל;ש;י;נ;ב;ו;י;נ;א;י;ת;י;י;(10, 1, 21, 26, 1181)
ך;ל;מ;ה;ם;ע;ת;ר;ב;ד;מ;ה;נ;ד;ו;ע;ה;נ;ה;ו;(10, 1, 22, 1, 1201)
ל;מ;ל;ו;ד;י;ג;י;ו;א;ב;א;י;ב;נ;ה;ן;ת;נ;ו;(10, 1, 22, 21, 1221)
א;ב;י;ו;א;י;ב;נ;ה;ן;ת;נ;ה;נ;ה;ר;מ;א;ל;ך;(10, 1, 23, 10, 1241)
ל;ע;ך;ל;מ;ל;ו;ח;ת;ש;י;ו;ך;ל;מ;ה;י;נ;פ;ל;(10, 1, 23, 30, 1261)
