ב;י;ע;י;ב;ר;ב;ה;נ;ש;ם;י;ש;ל;ש;ב;י;ה;י;ו;(14, 1, 1, 1, 1)
ל;ו;ג;ה;ך;ו;ת;ב;י;נ;א;ו;ש;ד;ח;ל;ה;ש;מ;ח;(14, 1, 1, 21, 21)
ו;ם;י;מ;ש;ה;ו;ח;ת;פ;נ;ר;ב;כ;ר;ה;נ;ל;ע;ה;(14, 1, 1, 41, 41)
ל;ה;ש;מ;ח;ב;ם;י;ה;ל;א;ת;ו;א;ר;מ;ה;א;ר;א;(14, 1, 1, 61, 61)
ל;ג;ל;ת;י;ש;י;מ;ח;ה;ה;נ;ש;ה;א;י;ה;ש;ד;ח;(14, 1, 2, 7, 81)
ב;ד;ה;י;ה;ה;י;ה;ן;י;כ;י;ו;י;ך;ל;מ;ה;ת;ו;(14, 1, 2, 27, 101)
ה;י;ז;ו;ב;ן;ב;ל;א;ק;ז;ח;י;ל;א;ה;ו;ה;י;ר;(14, 1, 3, 9, 121)
ר;ב;כ;ר;ה;נ;ל;ע;ם;י;ד;ש;כ;ץ;ר;א;ב;ן;ה;כ;(14, 1, 3, 29, 141)
א;ר;א;ו;ה;ו;ה;י;ד;י;ם;ש;ו;י;ל;ע;י;ה;ת;ו;(14, 1, 3, 49, 161)
ו;פ;צ;ה;ן;מ;ה;א;ב;ה;ר;ע;ס;ח;ו;ר;ה;נ;ה;ו;(14, 1, 4, 5, 181)
ג;נ;ו;ת;ח;ק;ל;ת;מ;ש;א;ו;ל;ו;ד;ג;ן;נ;ע;ן;(14, 1, 4, 25, 201)
ש;ח;ה;ן;י;ע;כ;ה;כ;ו;ת;מ;ו;ב;י;ב;ס;ו;ל;ה;(14, 1, 4, 45, 221)
א;ת;ו;מ;ד;ה;כ;ו;ת;מ;ו;ש;א;ה;ך;ו;ת;מ;ל;מ;(14, 1, 4, 65, 241)
ת;ו;מ;ד;ן;ה;י;א;ר;מ;ה;ז;ו;ת;ו;י;ח;ע;ב;ר;(14, 1, 5, 12, 261)
ח;א;ל;ם;י;נ;פ;ה;ע;ב;ר;א;ו;ה;נ;ה;ל;ם;ד;א;(14, 1, 5, 32, 281)
ר;ו;ם;ה;ל;ת;ח;א;ל;ם;י;פ;נ;כ;ע;ב;ר;א;ו;ת;(14, 1, 6, 14, 301)
ה;י;ל;ג;ר;ף;כ;ו;ה;ר;ש;י;ל;ג;ר;ם;ה;י;ל;ג;(14, 1, 7, 3, 321)
ן;י;ע;כ;ם;י;צ;צ;נ;ו;ל;ג;ע;ל;ג;ר;ף;כ;כ;ם;(14, 1, 7, 23, 341)
נ;כ;ת;ח;ת;מ;ם;ד;א;ו;ד;י;ו;ל;ל;ק;ת;ש;ח;נ;(14, 1, 7, 43, 361)
נ;פ;ו;ם;ה;י;ע;ב;ר;ת;ע;ב;ר;א;ל;ע;ם;ה;י;פ;(14, 1, 8, 14, 381)
ר;ב;ח;ם;ת;ע;ב;ר;א;ל;ם;ה;י;פ;נ;כ;ו;ם;ה;י;(14, 1, 8, 34, 401)
י;א;ל;ם;ה;י;פ;נ;כ;ה;ת;ו;ח;א;ל;א;ה;ש;א;ת;(14, 1, 9, 4, 421)
ו;י;נ;פ;ר;ב;ע;ל;א;ש;י;א;ן;ת;כ;ל;ב;ו;ב;ס;(14, 1, 9, 24, 441)
ם;ד;א;י;נ;פ;ם;ה;י;נ;פ;ת;ו;מ;ד;ו;ו;כ;ל;י;(14, 1, 9, 44, 461)
ע;ב;ר;א;ל;ן;י;מ;י;ה;ל;א;ה;י;ר;א;י;נ;פ;ו;(14, 1, 10, 17, 481)
ב;ר;א;ל;ל;ו;א;מ;ש;ה;מ;ר;ו;ש;י;נ;פ;ו;ם;ת;(14, 1, 10, 37, 501)
נ;פ;ו;ן;ת;ע;ב;ר;א;ל;ר;ש;נ;י;נ;פ;ו;ן;ת;ע;(14, 1, 10, 57, 521)
ל;ע;מ;ל;מ;ת;ו;ד;ר;פ;ם;ה;י;פ;נ;כ;ו;ם;ה;י;(14, 1, 11, 4, 541)
ת;ש;ו;ש;י;א;ת;ו;ר;ב;ח;ם;י;ת;ש;ש;י;א;ל;ה;(14, 1, 11, 24, 561)
י;א;ו;ה;נ;ה;י;ת;י;ו;ג;ת;א;ת;ו;ס;כ;מ;ם;י;(14, 1, 11, 44, 581)
י;ר;ש;א;ל;א;ו;כ;ל;י;ו;י;נ;פ;ר;ב;ע;ל;א;ש;(14, 1, 12, 4, 601)
א;ל;ו;כ;ל;י;ת;כ;ל;ל;ח;ו;ר;ה;ה;מ;ש;ה;י;ה;(14, 1, 12, 24, 621)
מ;ת;ו;י;ח;ה;ת;ו;מ;ד;ו;ן;ת;כ;ל;ב;ו;ב;ס;י;(14, 1, 12, 44, 641)
ר;מ;כ;ת;ו;ר;ע;ב;ש;א;י;ל;ח;ג;כ;ם;ה;י;א;ר;(14, 1, 13, 12, 661)
ן;י;ב;ת;כ;ל;ה;ת;מ;א;י;ה;ם;י;ד;פ;ל;ה;ה;א;(14, 1, 13, 32, 681)
ו;י;ש;א;ה;ן;מ;ו;ש;א;ל;ה;ג;נ;ו;ת;ו;י;ח;ה;(14, 1, 13, 52, 701)
כ;ב;ו;ש;ו;א;ו;צ;ר;ת;ו;י;ח;ה;ו;ק;ר;ב;א;צ;(14, 1, 13, 72, 721)
נ;ה;ו;ת;ו;י;ח;ה;א;ר;א;ו;ק;ז;ב;ה;ה;א;ר;מ;(14, 1, 14, 16, 741)
ת;ו;י;ח;ה;ל;צ;א;ץ;ר;א;ב;ד;ח;א;ן;פ;ו;א;ה;(14, 1, 15, 13, 761)
י;נ;פ;ו;א;ה;ה;א;ר;מ;ו;י;נ;פ;ת;ע;ב;ר;א;ל;(14, 1, 15, 33, 781)
מ;ד;ו;ש;י;ש;ר;ת;ן;י;ע;כ;ם;ה;י;ש;ע;מ;ו;ם;(14, 1, 16, 11, 801)
ו;ם;ה;י;א;ר;מ;ו;ן;ת;ע;ב;ר;א;ל;ד;ח;א;ת;ו;(14, 1, 16, 31, 821)
ב;ן;פ;ו;א;ה;ה;י;ה;י;ר;ש;א;כ;ם;ה;י;ש;ע;מ;(14, 1, 16, 51, 841)
ה;י;ע;ב;ר;ת;ע;ב;ר;א;ל;ע;ן;פ;ו;א;ה;ך;ו;ת;(14, 1, 16, 71, 861)
ת;כ;ל;ב;ו;ב;ס;י;א;ל;ו;כ;ל;י;ם;ת;כ;ל;ב;ן;(14, 1, 17, 13, 881)
ל;ה;א;ר;י;ו;ם;ה;ל;ה;ב;ג;ו;ן;ה;י;ב;ג;ו;ן;(14, 1, 17, 33, 901)
ב;י;ב;ס;ם;י;נ;י;ע;ת;א;ל;מ;ם;ת;ב;ג;ו;ם;ה;(14, 1, 18, 20, 921)
כ;ל;י;ת;ו;י;ח;ה;ת;כ;ל;ב;ו;ן;ת;ע;ב;ר;א;ל;(14, 1, 18, 40, 941)
ח;ה;א;ש;נ;ה;ב;ו;ם;ל;צ;א;ם;י;נ;פ;ו;א;ה;ו;(14, 1, 19, 14, 961)
נ;פ;ו;א;ה;ו;א;ש;נ;י;ץ;ר;א;ה;ל;ע;מ;ת;ו;י;(14, 1, 19, 34, 981)
כ;ל;ל;ח;ו;ר;ה;ם;ש;ה;י;ה;י;ר;ש;א;ל;ע;ם;י;(14, 1, 19, 54, 1001)
ו;א;ה;ו;ת;כ;ל;ל;ח;ו;ר;ה;ה;מ;ש;ו;כ;ל;י;ת;(14, 1, 20, 19, 1021)
ה;ח;ו;ר;י;כ;ם;ת;מ;ע;ל;ו;א;ש;נ;י;ם;י;נ;פ;(14, 1, 20, 39, 1041)
ו;ו;כ;ל;י;ם;ת;כ;ל;ב;ם;י;נ;פ;ו;א;ב;ה;י;ח;(14, 1, 20, 59, 1061)
ל;ע;מ;ם;א;ש;נ;ה;ב;ו;ו;ד;מ;ע;י;ם;ד;מ;ע;ב;(14, 1, 21, 11, 1081)
ת;מ;ע;ל;ם;י;נ;פ;ו;א;ה;ו;א;ש;נ;י;ץ;ר;א;ה;(14, 1, 21, 31, 1101)
מ;ד;ו;ם;י;נ;פ;ו;א;ב;ה;י;ח;ה;ח;ו;ר;י;כ;ם;(14, 1, 21, 51, 1121)
ן;י;ע;כ;ע;י;ק;ר;ה;י;ח;ה;י;ש;א;ר;ל;ע;ת;ו;(14, 1, 22, 4, 1141)
ה;י;ש;א;ר;ל;ע;י;ו;ט;נ;א;ר;ו;נ;ה;ח;ר;ק;ה;(14, 1, 22, 24, 1161)
