ה;י;י;נ;ד;א;ר;מ;א;ה;כ;ה;י;ד;ב;ע;ן;ו;ז;ח
ת;א;מ;ו;נ;ע;מ;ש;ה;ע;ו;מ;ש;ם;ו;ד;א;ל;ה;ו
ו;מ;ו;ק;ח;ל;ש;ם;י;ו;ג;ב;ר;י;צ;ו;ה;ו;ה;י
ק;ה;נ;ה;ה;מ;ח;ל;מ;ל;ה;י;ל;ע;ה;מ;ו;ק;נ;ו
מ;ה;ת;א;י;ו;ז;ב;ם;י;ו;ג;ב;ך;י;ת;ת;נ;ן;ט
ח;ב;י;נ;כ;ש;ך;א;י;ש;ה;ך;ב;ל;ן;ו;ד;ז;ד;א
ב;ל;ב;ר;מ;א;ו;ת;ב;ש;ם;ו;ר;מ;ע;ל;ס;י;ו;ג
כ;ה;י;ב;ג;ת;ם;א;ץ;ר;א;י;נ;ד;ר;ו;י;י;מ;ו
נ;ק;ם;י;ש;ם;י;ב;כ;ו;כ;ן;י;ב;ם;א;ו;ר;ש;נ
ג;ם;א;ה;ו;ה;י;ם;א;נ;ך;ד;י;ר;ו;א;ם;ש;מ;ך
ה;ל;י;ל;י;ד;ד;ו;ש;ם;א;ך;ל;ו;א;ב;ם;י;ב;נ
י;ד;ו;ב;נ;ג;י;א;ו;ל;ה;ה;ת;י;מ;ד;נ;ך;י;א
א;ש;י;א;ו;ל;ה;ך;ל;ו;א;ב;ם;י;ר;צ;ב;ם;א;ם
נ;ו;ש;ע;ו;ש;פ;ח;נ;ך;י;א;ת;ו;ל;ל;ע;ו;ר;י
ו;ח;ל;ש;ל;ו;ב;ג;ה;ד;ע;ו;י;נ;פ;צ;מ;ו;ע;ב
כ;י;ך;ו;א;י;ש;ה;ך;ת;י;ר;ב;י;ש;נ;א;ל;כ;ך
מ;י;ש;י;ך;מ;ח;ל;ך;מ;ל;ש;י;ש;נ;א;ך;ל;ו;ל
ו;ב;ה;נ;ו;ב;ת;ן;י;א;ך;י;ת;ח;ת;ר;ו;ז;מ;ו
ו;ה;ו;ה;י;ם;א;נ;א;ו;ה;ה;ם;ו;י;ב;א;ו;ל;ה
ו;ב;ת;ו;ם;ו;ד;א;מ;ם;י;מ;כ;ח;י;ת;ד;ב;א;ה
י;ת;ך;י;ר;ו;ב;ג;ו;ת;ח;ו;ו;ש;ע;ר;ה;מ;ה;נ
מ;ו;ש;ע;ר;ה;מ;ש;י;א;ת;ר;כ;י;ן;ע;מ;ל;ן;מ
ב;ך;ס;כ;ת;ב;ק;ע;י;ך;י;ח;א;ס;מ;ח;מ;ל;ט;ק
ד;מ;ע;ם;ו;י;ב;ם;ל;ו;ע;ל;ת;ר;כ;נ;ו;ה;ש;ו
ל;י;ח;ם;י;ר;ז;ת;ו;ב;ש;ם;ו;י;ב;ד;ג;נ;מ;ך
ו;ר;י;ל;ע;ו;ו;ר;ע;ש;ו;א;ב;ם;י;ר;כ;נ;ו;ו
מ;ד;ח;א;כ;ה;ת;א;ם;ג;ל;ר;ו;ג;ו;ד;י;ם;ל;ש
ם;ו;י;ב;ך;י;ח;א;ם;ו;י;ב;א;ר;ת;ל;א;ו;ם;ה
ה;ד;ו;ה;י;י;נ;ב;ל;ח;מ;ש;ת;ל;א;ו;ו;ר;כ;נ
י;ב;ך;י;פ;ל;ד;ג;ת;ל;א;ו;ם;ד;ב;א;ם;ו;י;ב
י;ב;י;מ;ע;ר;ע;ש;ב;א;ו;ב;ת;ל;א;ה;ר;צ;ם;ו
ת;ע;ר;ב;ה;ת;א;ם;ג;א;ר;ת;ל;א;ם;ד;י;א;ם;ו
ח;ב;ה;נ;ח;ל;ש;ת;ל;א;ו;ו;ד;י;א;ם;ו;י;ב;ו
ל;ע;ד;מ;ע;ת;ל;א;ו;ו;ד;י;א;ם;ו;י;ב;ו;ל;י
א;ו;ו;י;ט;י;ל;פ;ת;א;ת;י;ר;כ;ה;ל;ק;ר;פ;ה
י;כ;ה;ר;צ;ם;ו;י;ב;ו;י;ד;י;ר;ש;ר;ג;ס;ת;ל
ם;י;ו;ג;ה;ל;כ;ל;ע;ה;ו;ה;י;ם;ו;י;ב;ו;ר;ק
ש;י;ך;ל;מ;ג;ך;ל;ה;ש;ע;י;ת;י;ש;ע;ר;ש;א;כ
ל;ע;ם;ת;י;ת;ש;ר;ש;א;כ;י;כ;ך;ש;א;ר;ב;ב;ו
י;מ;ת;ם;י;ו;ג;ה;ל;כ;ו;ת;ש;י;י;ש;ד;ק;ר;ה
ו;י;ה;א;ו;ל;כ;ו;י;ה;ו;ו;ע;ל;ו;ו;ת;ש;ו;ד
י;ה;ו;ה;ט;י;ל;פ;ה;י;ה;ת;ן;ו;י;צ;ר;ה;ב;ו
ו;מ;ת;א;ב;ק;ע;י;ת;י;ב;ו;ש;ר;י;ו;ש;ד;ק;ה
ב;ו;ש;א;ב;ק;ע;י;ת;י;ב;ה;י;ה;ו;ם;ה;י;ש;ר
ש;ק;ל;ו;ש;ע;ת;י;ב;ו;ה;ב;ה;ל;ף;ס;ו;י;ת;י
י;ה;י;א;ל;ו;ם;ו;ל;כ;א;ו;ם;ה;ב;ו;ק;ל;ד;ו
ב;ד;ה;ו;ה;י;י;כ;ו;ש;ע;ת;י;ב;ל;ד;י;ר;ש;ה
ש;ה;ו;ו;ש;ע;ר;ה;ת;א;ב;ג;נ;ה;ו;ש;ר;י;ו;ר
ד;ש;ת;א;ו;ש;ר;י;ו;ם;י;ת;ש;ל;פ;ת;א;ה;ל;פ
נ;ב;ו;ן;ו;ר;מ;ש;ה;ד;ש;ת;א;ו;ם;י;ר;פ;א;ה
ה;ז;ה;ל;ח;ה;ת;ל;ג;ו;ד;ע;ל;ג;ה;ת;א;ן;מ;י
ד;ע;ם;י;נ;ע;נ;כ;ר;ש;א;ל;א;ר;ש;י;י;נ;ב;ל
פ;ס;ב;ר;ש;א;ם;ל;ש;ו;ר;י;ת;ל;ג;ו;ת;פ;ר;צ
מ;ו;ל;ע;ו;ב;ג;נ;ה;י;ר;ע;ת;א;ו;ש;ר;י;ד;ר
ר;ה;ת;א;ט;פ;ש;ל;ן;ו;י;צ;ר;ה;ב;ם;י;ע;ש;ו
 ;ה;כ;ו;ל;מ;ה;ה;ו;ה;י;ל;ה;ת;י;ה;ו;ו;ש;ע
