ה;י;נ;פ;צ;ל;א;ה;י;ה;ר;ש;א;ה;ו;ה;י;ר;ב;ד;(23, 1, 1, 1, 1)
ה;י;ר;מ;א;ן;ב;ה;י;ל;ד;ג;ן;ב;י;ש;ו;כ;ן;ב;(23, 1, 1, 21, 21)
א;ן;ב;ו;ה;י;ש;א;י;י;מ;י;ב;ה;י;ק;ז;ח;ן;ב;(23, 1, 1, 41, 41)
מ;ל;כ;ף;ס;א;ף;ס;א;ה;ד;ו;ה;י;ך;ל;מ;ן;ו;מ;(23, 1, 1, 61, 61)
ף;ס;א;ה;ו;ה;י;ם;א;נ;ה;מ;ד;א;ה;י;נ;פ;ל;ע;(23, 1, 2, 10, 81)
ו;ם;י;מ;ש;ה;ף;ו;ע;ף;ס;א;ה;מ;ה;ב;ו;ם;ד;א;(23, 1, 3, 4, 101)
ע;ש;ר;ה;ת;א;ת;ו;ל;ש;כ;מ;ה;ו;ם;י;ה;י;ג;ד;(23, 1, 3, 24, 121)
י;נ;פ;ל;ע;מ;ם;ד;א;ה;ת;א;י;ת;ר;כ;ה;ו;ם;י;(23, 1, 3, 44, 141)
ד;י;י;ת;י;ט;נ;ו;ה;ו;ה;י;ם;א;נ;ה;מ;ד;א;ה;(23, 1, 3, 64, 161)
ר;י;י;ב;ש;ו;י;ל;כ;ל;ע;ו;ה;ד;ו;ה;י;ל;ע;י;(23, 1, 4, 9, 181)
ה;ז;ה;ם;ו;ק;מ;ה;ן;מ;י;ת;ר;כ;ה;ו;ם;ל;ש;ו;(23, 1, 4, 29, 201)
ע;ם;י;ר;מ;כ;ה;ם;ש;ת;א;ל;ע;ב;ה;ר;א;ש;ת;א;(23, 1, 4, 49, 221)
ל;ע;ם;י;ו;ח;ת;ש;מ;ה;ת;א;ו;ם;י;נ;ה;כ;ה;ם;(23, 1, 4, 69, 241)
ש;מ;ה;ת;א;ו;ם;י;מ;ש;ה;א;ב;צ;ל;ת;ו;ג;ג;ה;(23, 1, 5, 14, 261)
נ;ה;ו;ה;ו;ה;י;ל;ם;י;ע;ב;ש;נ;ה;ם;י;ו;ח;ת;(23, 1, 5, 34, 281)
ם;י;ג;ו;ס;נ;ה;ת;א;ו;ם;כ;ל;מ;ב;ם;י;ע;ב;ש;(23, 1, 5, 54, 301)
א;ו;ש;ק;ב;א;ל;ר;ש;א;ו;ה;ו;ה;י;י;ר;ח;א;מ;(23, 1, 6, 11, 321)
א;י;נ;פ;מ;ס;ה;ו;ה;ש;ר;ד;א;ל;ו;ה;ו;ה;י;ת;(23, 1, 6, 31, 341)
ה;ו;ה;י;ם;ו;י;ב;ו;ר;ק;י;כ;ה;ו;ה;י;י;נ;ד;(23, 1, 7, 8, 361)
ר;ק;ש;י;ד;ק;ה;ח;ב;ז;ה;ו;ה;י;ן;י;כ;ה;י;כ;(23, 1, 7, 28, 381)
פ;ו;ה;ו;ה;י;ח;ב;ז;ם;ו;י;ב;ה;י;ה;ו;ו;י;א;(23, 1, 7, 48, 401)
ל;מ;ה;י;נ;ב;ל;ע;ו;ם;י;ר;ש;ה;ל;ע;י;ת;ד;ק;(23, 1, 8, 18, 421)
ר;כ;נ;ש;ו;ב;ל;מ;ם;י;ש;ב;ל;ה;ל;כ;ל;ע;ו;ך;(23, 1, 8, 38, 441)
מ;ה;ל;ע;ג;ל;ו;ד;ה;ל;כ;ל;ע;י;ת;ד;ק;פ;ו;י;(23, 1, 8, 58, 461)
י;ב;ם;י;א;ל;מ;מ;ה;א;ו;ה;ה;ם;ו;י;ב;ן;ת;פ;(23, 1, 9, 20, 481)
