ד;ל;ם;י;ת;ש;ת;נ;ש;ב;י;נ;י;מ;ש;ה;ש;ד;ח;ב;(25, 1, 1, 1, 1)
י;ר;כ;ז;ל;א;ה;ו;ה;י;ר;ב;ד;ה;י;ה;ש;ו;י;ר;(25, 1, 1, 21, 21)
א;ל;א;י;ב;נ;ה;ו;ד;ע;ן;ב;ה;י;כ;ר;ב;ן;ב;ה;(25, 1, 1, 41, 41)
צ;ק;ם;כ;י;ת;ו;ב;א;ל;ע;ה;ו;ה;י;ף;צ;ק;ר;מ;(25, 1, 1, 61, 61)
צ;ה;ו;ה;י;ר;מ;א;ה;כ;ם;ה;ל;א;ת;ר;מ;א;ו;ף;(25, 1, 2, 19, 81)
ב;צ;ה;ו;ה;י;ם;א;נ;י;ל;א;ו;ב;ו;ש;ת;ו;א;ב;(25, 1, 3, 20, 101)
ה;ו;ה;י;ר;מ;א;ם;כ;י;ל;א;ב;ו;ש;א;ו;ת;ו;א;(25, 1, 3, 40, 121)
ש;א;ם;כ;י;ת;ב;א;כ;ו;י;ה;ת;ל;א;ת;ו;א;ב;צ;(25, 1, 3, 60, 141)
א;ר;ה;ם;י;א;י;ב;נ;ה;ם;ה;י;ל;א;ו;א;ר;ק;ר;(25, 1, 4, 16, 161)
א;ב;צ;ה;ו;ה;י;ר;מ;א;ה;כ;ר;מ;א;ל;ם;י;נ;ש;(25, 1, 4, 36, 181)
ם;י;ע;ר;ה;ם;כ;י;כ;ר;ד;מ;א;נ;ו;ב;ו;ש;ת;ו;(25, 1, 4, 56, 201)
ע;מ;ש;א;ל;ו;ם;י;ע;ר;ה;ם;כ;י;ל;י;ל;ע;מ;ו;(25, 1, 4, 76, 221)
ה;ו;ה;י;ם;א;נ;י;ל;א;ו;ב;י;ש;ק;ה;א;ל;ו;ו;(25, 1, 4, 96, 241)
ה;ם;י;א;ב;נ;ה;ו;ם;ה;ה;י;א;ם;כ;י;ת;ו;ב;א;(25, 1, 5, 1, 261)
א;י;ק;ח;ו;י;ר;ב;ד;ך;א;ו;י;ח;י;ם;ל;ו;ע;ל;(25, 1, 5, 21, 281)
ם;י;א;י;ב;נ;ה;י;ד;ב;ע;ת;א;י;ת;י;ו;צ;ר;ש;(25, 1, 6, 12, 301)
ב;ו;ש;י;ו;ם;כ;י;ת;ב;א;ו;ג;י;ש;ה;א;ו;ל;ה;(25, 1, 6, 32, 321)
ב;צ;ה;ו;ה;י;ם;מ;ז;ר;ש;א;כ;ו;ר;מ;א;י;ו;ו;(25, 1, 6, 52, 341)
כ;ו;ו;נ;י;כ;ר;ד;כ;ו;נ;ל;ת;ו;ש;ע;ל;ת;ו;א;(25, 1, 6, 72, 361)
