י;א;ב;ה;ל;א;ר;ש;י;י;נ;ב;ת;ו;מ;ש;ה;ל;א;ו;(2, 1, 1, 1, 1)
ת;י;ב;ו;ש;י;א;ב;ק;ע;י;ת;א;ה;מ;י;ר;צ;מ;ם;(2, 1, 1, 21, 21)
ה;י;ו;י;ו;ל;ן;ו;ע;מ;ש;ן;ב;ו;א;ר;ו;א;ב;ו;(2, 1, 1, 41, 41)
ד;ן;מ;י;נ;ב;ו;ן;ל;ו;ב;ז;ר;כ;ש;ש;י;ה;ד;ו;(2, 1, 2, 17, 61)
נ;ל;כ;י;ה;י;ו;ר;ש;א;ו;ד;ג;י;ל;ת;פ;נ;ו;ן;(2, 1, 4, 2, 81)
פ;נ;ם;י;ע;ב;ש;ב;ק;ע;י;ך;ר;י;י;א;צ;י;ש;פ;(2, 1, 5, 8, 101)
י;ת;מ;י;ו;ם;י;ר;צ;מ;ב;ה;י;ה;ף;ס;ו;י;ו;ש;(2, 1, 5, 28, 121)
ו;ה;ה;ר;ו;ד;ה;ל;כ;ו;ו;י;ח;א;ל;כ;ו;ף;ס;ו;(2, 1, 6, 6, 141)
ו;ו;צ;ר;ש;י;ו;ו;ר;פ;ל;א;ר;ש;י;י;נ;ב;ו;א;(2, 1, 6, 26, 161)
מ;ת;ו;ד;א;מ;ד;א;מ;ב;ו;מ;צ;ע;י;ו;ו;ב;ר;י;(2, 1, 7, 20, 181)
ע;ש;ד;ח;ך;ל;מ;ם;ק;י;ו;ם;ת;א;ץ;ר;א;ה;א;ל;(2, 1, 7, 40, 201)
ף;ס;ו;י;ת;א;ע;ד;י;א;ל;ר;ש;א;ם;י;ר;צ;מ;ל;(2, 1, 8, 12, 221)
ש;י;י;נ;ב;ם;ע;ה;נ;ה;ו;מ;ע;ל;א;ר;מ;א;י;ו;(2, 1, 9, 1, 241)
ח;ת;נ;ה;ב;ה;ו;נ;מ;מ;ם;ו;צ;ע;ו;ב;ר;ל;א;ר;(2, 1, 9, 21, 261)
ר;ק;ת;י;כ;ה;י;ה;ו;ה;ב;ר;י;ן;פ;ו;ל;ה;מ;כ;(2, 1, 10, 7, 281)
ל;ע;א;ו;ה;ם;ג;ף;ס;ו;נ;ו;ה;מ;ח;ל;מ;ה;נ;א;(2, 1, 10, 27, 301)
ן;מ;ה;ל;ע;ו;ו;נ;ב;ם;ח;ל;נ;ו;ו;נ;י;א;נ;ש;(2, 1, 10, 47, 321)
י;ס;מ;י;ר;ש;ו;י;ל;ע;ו;מ;י;ש;י;ו;ץ;ר;א;ה;(2, 1, 10, 67, 341)
ע;ן;ב;י;ו;ם;ת;ל;ב;ס;ב;ו;ת;נ;ע;ן;ע;מ;ל;ם;(2, 1, 11, 17, 361)
א;ו;ם;ת;פ;ת;א;ה;ע;ר;פ;ל;ת;ו;נ;כ;ס;מ;י;ר;(2, 1, 11, 37, 381)
ן;כ;ו;ת;א;ו;נ;ע;י;ר;ש;א;כ;ו;ס;ס;מ;ע;ר;ת;(2, 1, 11, 57, 401)
י;נ;פ;מ;ו;צ;ק;י;ו;ץ;ר;פ;י;ן;כ;ו;ה;ב;ר;י;(2, 1, 12, 15, 421)
א;ם;י;ר;צ;מ;ו;ד;ב;ע;י;ו;ל;א;ר;ש;י;י;נ;ב;(2, 1, 12, 35, 441)
א;ו;ר;ר;מ;י;ו;ך;ר;פ;ב;ל;א;ר;ש;י;י;נ;ב;ת;(2, 1, 13, 13, 461)
ב;ו;ר;מ;ח;ב;ה;ש;ק;ה;ד;ב;ע;ב;ם;ה;י;י;ח;ת;(2, 1, 14, 8, 481)
כ;ת;א;ה;ד;ש;ב;ה;ד;ב;ע;ל;כ;ב;ו;ם;י;נ;ב;ל;(2, 1, 14, 28, 501)
ך;ר;פ;ב;ם;ה;ב;ו;ד;ב;ע;ר;ש;א;ם;ת;ד;ב;ע;ל;(2, 1, 14, 48, 521)
ה;ת;ד;ל;י;מ;ל;ם;י;ר;צ;מ;ך;ל;מ;ר;מ;א;י;ו;(2, 1, 15, 1, 541)
ש;ו;ה;ר;פ;ש;ת;ח;א;ה;ם;ש;ר;ש;א;ת;י;ר;ב;ע;(2, 1, 15, 21, 561)
