י;ה;י;ו;ה;י;ל;כ;ח;ן;ב;ה;י;מ;ח;נ;י;ר;ב;ד;(37, 1, 1, 1, 1)
י;נ;א;ו;ם;י;ר;ש;ע;ת;נ;ש;ו;ל;ס;כ;ש;ד;ח;ב;(37, 1, 1, 21, 21)
ח;א;ב;י;ו;ה;ר;י;ב;ה;ן;ש;ו;ש;ב;י;ת;י;י;ה;(37, 1, 1, 41, 41)
מ;ם;י;ש;נ;א;ו;א;ו;ה;י;ח;א;מ;ד;ח;א;י;נ;נ;(37, 1, 2, 6, 61)
ם;י;ד;ו;ה;י;ה;ל;ע;ם;ל;א;ש;א;ו;ה;ד;ו;ה;י;(37, 1, 2, 26, 81)
י;ב;ש;ה;ן;מ;ו;ר;א;ש;נ;ר;ש;א;ה;ט;י;ל;פ;ה;(37, 1, 2, 46, 101)
ש;נ;ה;י;ל;ו;ר;מ;א;י;ו;ם;ל;ש;ו;ר;י;ל;ע;ו;(37, 1, 2, 66, 121)
ם;ש;י;ב;ש;ה;ן;מ;ו;ר;א;ש;נ;ר;ש;א;ם;י;ר;א;(37, 1, 3, 12, 141)
ה;פ;ר;ח;ב;ו;ה;ל;ד;ג;ה;ע;ר;ב;ה;נ;י;ד;מ;ב;(37, 1, 3, 32, 161)
ר;ע;ש;ו;ת;צ;ר;פ;מ;ם;ל;ש;ו;ר;י;ת;מ;ו;ח;ו;(37, 1, 3, 52, 181)
ת;א;י;ע;מ;ש;כ;י;ה;י;ו;ש;א;ב;ו;ת;צ;נ;ה;י;(37, 1, 3, 72, 201)
ה;כ;ב;א;ו;י;ת;ב;ש;י;ה;ל;א;ה;ם;י;ר;ב;ד;ה;(37, 1, 4, 12, 221)
ת;מ;ו;ם;צ;י;ה;א;ו;ם;י;מ;י;ה;ל;ב;א;ת;א;ו;(37, 1, 4, 32, 241)
ר;מ;א;ו;ם;י;מ;ש;ה;י;ה;ל;א;י;נ;פ;ל;ל;ל;פ;(37, 1, 4, 52, 261)
ה;ל;א;ה;ם;י;מ;ש;ה;י;ה;ל;א;ה;ו;ה;י;א;נ;א;(37, 1, 5, 5, 281)
ח;ו;ת;י;ר;ב;ה;ר;מ;ש;א;ר;ו;נ;ה;ו;ל;ו;ד;ג;(37, 1, 5, 25, 301)
ו;י;ת;ו;צ;מ;י;ר;מ;ש;ל;ו;ו;י;ב;ה;א;ל;ד;ס;(37, 1, 5, 45, 321)
פ;ך;י;נ;י;ע;ו;ת;ב;ש;ק;ך;נ;ז;א;א;נ;י;ה;ת;(37, 1, 6, 1, 341)
א;ך;ד;ב;ע;ת;ל;פ;ת;ל;א;ע;מ;ש;ל;ת;ו;ח;ו;ת;(37, 1, 6, 21, 361)
ם;ו;י;ה;ך;י;נ;פ;ל;ל;ל;פ;ת;מ;י;כ;נ;א;ר;ש;(37, 1, 6, 41, 381)
ע;ל;א;ר;ש;י;י;נ;ב;ל;ע;ה;ל;י;ל;ו;ם;מ;ו;י;(37, 1, 6, 61, 401)
י;נ;ב;ת;ו;א;ט;ח;ל;ע;ה;ד;ו;ת;מ;ו;ך;י;ד;ב;(37, 1, 6, 81, 421)
