י;ל;א;ל;ל;ה;מ;ן;נ;י;ק;ש;ו;נ;א;ת;ש;ם;ד;א;(38, 1, 1, 1, 1)
ח;ם;ש;ח;נ;ך;מ;ל;ח;ל;ש;ו;ת;מ;ך;ו;נ;ח;ד;ר;(38, 1, 2, 12, 21)
ו;ג;ו;ג;מ;ו;ר;מ;ג;ת;פ;י;י;נ;ב;ת;פ;י;ו;ם;(38, 1, 4, 6, 41)
ס;ר;י;ת;ו;ך;ש;מ;ו;ל;ב;ת;ו;ן;ו;י;ו;י;ד;מ;(38, 1, 5, 16, 61)
ו;ת;ו;ת;פ;י;ד;ו;ז;נ;כ;ש;א;ר;מ;ג;י;נ;ב;ו;(38, 1, 6, 1, 81)
ש;ר;ת;ו;ה;ש;י;ל;א;ן;ו;י;י;נ;ב;ו;ה;מ;ר;ג;(38, 1, 6, 21, 101)
כ;ם;ח;י;נ;ב;ם;י;נ;ד;ו;ר;ו;ם;י;ת;כ;ה;ש;י;(38, 1, 7, 17, 121)
י;נ;ב;ו;ן;ע;נ;כ;ו;ט;ו;פ;ם;י;ר;צ;מ;ו;ש;ו;(38, 1, 8, 7, 141)
ע;ר;ו;א;ת;ב;ס;ו;ה;ל;י;ו;ח;ו;א;ב;ס;ש;ו;כ;(38, 1, 9, 5, 161)
ו;א;ב;ש;א;מ;ע;ר;י;נ;ב;ו;א;כ;ת;ב;ס;ו;א;מ;(38, 1, 9, 25, 181)
א;ו;ה;ד;ו;ר;מ;נ;ת;א;ד;ל;י;ש;ו;כ;ו;ן;ד;ד;(38, 1, 9, 45, 201)
ר;צ;מ;ו;ץ;ר;א;ב;ר;ו;ב;ג;ת;ו;י;ה;ל;ל;ח;ה;(38, 1, 10, 18, 221)
י;מ;נ;ע;ת;א;ו;ם;י;י;ד;ו;ל;ת;א;ד;ל;י;ם;י;(38, 1, 11, 5, 241)
א;ו;ם;י;ח;ת;פ;נ;ת;א;ו;ם;י;ב;ה;ל;ת;א;ו;ם;(38, 1, 11, 25, 261)
י;ר;ש;א;ם;י;ח;ל;ס;כ;ת;א;ו;ם;י;ס;ר;ת;פ;ת;(38, 1, 12, 3, 281)
י;ר;ת;פ;כ;ת;א;ו;ם;י;ת;ש;ל;פ;ם;ש;מ;ו;א;צ;(38, 1, 12, 23, 301)
ו;ר;כ;ב;ן;ו;ד;י;צ;ת;א;ד;ל;י;ן;ע;נ;כ;ו;ם;(38, 1, 12, 43, 321)
מ;א;ה;ת;א;ו;י;ס;ו;ב;י;ה;ת;א;ו;ת;ח;ת;א;ו;(38, 1, 13, 20, 341)
