א;ה;ו;ה;י;ר;ב;ד;י;ו;ה;ש;מ;ל;א;א;ר;ק;י;ו;(3, 1, 1, 1, 1)
ל;א;ר;ב;ד;ר;מ;א;ל;ד;ע;ו;מ;ל;ה;א;מ;ו;י;ל;(3, 1, 1, 21, 21)
ם;ד;א;ם;ה;ל;א;ת;ר;מ;א;ו;ל;א;ר;ש;י;י;נ;ב;(3, 1, 2, 6, 41)
מ;ה;ו;ה;י;ל;ן;ב;ר;ק;ם;כ;מ;ב;י;ר;ק;י;י;כ;(3, 1, 2, 26, 61)
ת;ן;א;צ;ה;ן;מ;ו;ר;ק;ב;ה;ן;מ;ה;מ;ה;ב;ה;ן;(3, 1, 2, 46, 81)
ר;ק;ה;ל;ע;ם;א;ם;כ;נ;ב;ר;ק;ת;א;ו;ב;י;ר;ק;(3, 1, 2, 66, 101)
י;ר;ק;י;ם;י;מ;ת;ר;כ;ז;ר;ק;ב;ה;ן;מ;ו;נ;ב;(3, 1, 3, 8, 121)
ב;י;ר;ק;י;ד;ע;ו;מ;ל;ה;א;ח;ת;פ;ל;א;ו;נ;ב;(3, 1, 3, 28, 141)
ך;מ;ס;ו;ה;ו;ה;י;י;נ;פ;ל;ו;נ;צ;ר;ל;ו;ת;א;(3, 1, 3, 48, 161)
ל;ו;ל;ה;צ;ר;נ;ו;ה;ל;ע;ה;ש;א;ר;ל;ע;ו;ד;י;(3, 1, 4, 5, 181)
ל;ר;ק;ב;ה;ן;ב;ת;א;ט;ח;ש;ו;ו;י;ל;ע;ר;פ;כ;(3, 1, 4, 25, 201)
ר;ה;א;י;נ;ב;ו;ב;י;ר;ק;ה;ו;ה;ו;ה;י;י;נ;פ;(3, 1, 5, 14, 221)
ה;ת;א;ו;ק;ר;ז;ו;ם;ד;ה;ת;א;ם;י;נ;ה;כ;ה;ן;(3, 1, 5, 34, 241)
א;ח;ת;פ;ר;ש;א;ב;י;ב;ס;ח;ב;ז;מ;ה;ל;ע;ם;ד;(3, 1, 5, 54, 261)
נ;ו;ה;ל;ע;ה;ת;א;ט;י;ש;פ;ה;ו;ד;ע;ו;מ;ל;ה;(3, 1, 5, 74, 281)
א;י;נ;ב;ו;נ;ת;נ;ו;ה;י;ח;ת;נ;ל;ה;ת;א;ח;ת;(3, 1, 6, 15, 301)
כ;ר;ע;ו;ח;ב;ז;מ;ה;ל;ע;ש;א;ן;ה;כ;ה;ן;ר;ה;(3, 1, 7, 10, 321)
ה;א;י;נ;ב;ו;כ;ר;ע;ו;ש;א;ה;ל;ע;ם;י;צ;ע;ו;(3, 1, 7, 30, 341)
ר;ה;ת;א;ם;י;ח;ת;נ;ה;ת;א;ם;י;נ;ה;כ;ה;ן;ר;(3, 1, 8, 11, 361)
ע;ר;ש;א;ם;י;צ;ע;ה;ל;ע;ר;ד;פ;ה;ת;א;ו;ש;א;(3, 1, 8, 31, 381)
ו;ו;ב;ר;ק;ו;ח;ב;ז;מ;ה;ל;ע;ר;ש;א;ש;א;ה;ל;(3, 1, 8, 51, 401)
ה;ר;י;ט;ק;ה;ו;ם;י;מ;ב;ץ;ח;ר;י;ו;י;ע;ר;כ;(3, 1, 9, 7, 421)
ה;ש;א;ה;ל;ע;ה;ח;ב;ז;מ;ה;ל;כ;ה;ת;א;ן;ה;כ;(3, 1, 9, 27, 441)
צ;ה;ן;מ;ם;א;ו;ה;ו;ה;י;ל;ח;ו;ח;י;נ;ח;י;ר;(3, 1, 9, 47, 461)
ה;ן;מ;ו;א;ם;י;ב;ש;כ;ה;ן;מ;ו;נ;ב;ר;ק;ן;א;(3, 1, 10, 8, 481)
ב;י;ר;ק;י;ם;י;מ;ת;ר;כ;ז;ה;ל;ע;ל;ם;י;ז;ע;(3, 1, 10, 28, 501)
צ;ח;ב;ז;מ;ה;ך;ר;י;ל;ע;ו;ת;א;ט;ח;ש;ו;ו;נ;(3, 1, 10, 48, 521)
א;י;נ;ב;ו;ק;ר;ז;ו;ה;ו;ה;י;י;נ;פ;ל;ה;נ;פ;(3, 1, 11, 19, 541)
ב;ז;מ;ה;ל;ע;ו;מ;ד;ת;א;ם;י;נ;ה;כ;ה;ן;ר;ה;(3, 1, 11, 39, 561)
א;ו;ו;י;ח;ת;נ;ל;ו;ת;א;ח;ת;נ;ו;ב;י;ב;ס;ח;(3, 1, 11, 59, 581)
ן;ה;כ;ה;ך;ר;ע;ו;ו;ר;ד;פ;ת;א;ו;ו;ש;א;ר;ת;(3, 1, 12, 16, 601)
ש;א;ש;א;ה;ל;ע;ר;ש;א;ם;י;צ;ע;ה;ל;ע;ם;ת;א;(3, 1, 12, 36, 621)
ם;י;ע;ר;כ;ה;ו;ב;ר;ק;ה;ו;ח;ב;ז;מ;ה;ל;ע;ר;(3, 1, 12, 56, 641)
ת;א;ן;ה;כ;ה;ב;י;ר;ק;ה;ו;ם;י;מ;ב;ץ;ח;ר;י;(3, 1, 13, 13, 661)
ו;ה;ה;ל;ע;ה;ח;ב;ז;מ;ה;ר;י;ט;ק;ה;ו;ל;כ;ה;(3, 1, 13, 33, 681)
מ;ם;א;ו;ה;ו;ה;י;ל;ח;ח;י;נ;ח;י;ר;ה;ש;א;א;(3, 1, 13, 53, 701)
ה;ו;ה;ו;ה;י;ל;ו;נ;ב;ר;ק;ה;ל;ע;ף;ו;ע;ה;ן;(3, 1, 14, 5, 721)
י;ה;י;נ;ב;ן;מ;ו;א;ם;י;ר;ת;ה;ן;מ;ב;י;ר;ק;(3, 1, 14, 25, 741)
ה;כ;ה;ו;ב;י;ר;ק;ה;ו;ו;נ;ב;ר;ק;ת;א;ה;נ;ו;(3, 1, 14, 45, 761)
ה;ו;ו;ש;א;ר;ת;א;ק;ל;מ;ו;ח;ב;ז;מ;ה;ל;א;ן;(3, 1, 15, 11, 781)
ל;ע;ו;מ;ד;ה;צ;מ;נ;ו;ה;ח;ב;ז;מ;ה;ר;י;ט;ק;(3, 1, 15, 31, 801)
ו;ת;א;ר;מ;ת;א;ר;י;ס;ה;ו;ח;ב;ז;מ;ה;ר;י;ק;(3, 1, 15, 51, 821)
ז;מ;ה;ל;צ;א;ה;ת;א;ך;י;ל;ש;ה;ו;ה;ת;צ;נ;ב;(3, 1, 16, 13, 841)
ע;ס;ש;ו;ן;ש;ד;ה;ם;ו;ק;מ;ל;א;ה;מ;ד;ק;ח;ב;(3, 1, 16, 33, 861)
ט;ק;ה;ו;ל;י;ד;ב;י;א;ל;ו;י;פ;נ;כ;ב;ו;ת;א;(3, 1, 17, 5, 881)
צ;ע;ה;ל;ע;ה;ח;ב;ז;מ;ה;ן;ה;כ;ה;ו;ת;א;ר;י;(3, 1, 17, 25, 901)
ר;ה;ש;א;א;ו;ה;ה;ל;ע;ש;א;ה;ל;ע;ר;ש;א;ם;י;(3, 1, 17, 45, 921)
ר;ק;ת;י;כ;ש;פ;נ;ו;ה;ו;ה;י;ל;ח;ח;י;נ;ח;י;(3, 1, 17, 65, 941)
ה;י;ת;ל;ס;ה;ו;ה;י;ל;ה;ח;נ;מ;ן;ב;ר;ק;ב;י;(3, 2, 1, 10, 961)
נ;ו;ן;מ;ש;ה;י;ל;ע;ק;צ;י;ו;ו;נ;ב;ר;ק;ה;י;(3, 2, 1, 30, 981)
נ;ב;ל;א;ה;א;י;ב;ה;ו;ה;נ;ב;ל;ה;י;ל;ע;ן;ת;(3, 2, 1, 50, 1001)
ל;מ;ם;ש;מ;ץ;מ;ק;ו;ם;י;נ;ה;כ;ה;ן;ר;ה;א;י;(3, 2, 2, 11, 1021)
ל;כ;ל;ע;ה;נ;מ;ש;מ;ו;ה;ת;ל;ס;מ;ו;צ;מ;ק;א;(3, 2, 2, 31, 1041)
כ;ז;א;ת;א;ן;ה;כ;ה;ר;י;ט;ק;ה;ו;ה;ת;נ;ב;ל;(3, 2, 2, 51, 1061)
ל;ח;ח;י;נ;ח;י;ר;ה;ש;א;ה;ח;ב;ז;מ;ה;ה;ת;ר;(3, 2, 2, 71, 1081)
א;ל;ה;ח;נ;מ;ה;ן;מ;ת;ר;ת;ו;נ;ה;ו;ה;ו;ה;י;(3, 2, 2, 91, 1101)
ש;א;מ;ם;י;ש;ד;ק;ש;ד;ק;ו;י;נ;ב;ל;ו;ן;ר;ה;(3, 2, 3, 17, 1121)
ה;ח;נ;מ;ן;ב;ר;ק;ב;ר;ק;ת;י;כ;ו;ה;ו;ה;י;י;(3, 2, 3, 37, 1141)
ל;ב;ת;צ;מ;ת;ו;ל;ח;ת;ל;ס;ר;ו;נ;ת;ה;פ;א;מ;(3, 2, 4, 16, 1161)
ח;ש;מ;ת;ו;צ;מ;י;ק;י;ק;ר;ו;ן;מ;ש;ב;ת;ל;ו;(3, 2, 4, 36, 1181)
ת;ב;ח;מ;ה;ל;ע;ה;ח;נ;מ;ם;א;ו;ן;מ;ש;ב;ם;י;(3, 2, 4, 56, 1201)
ה;צ;מ;ן;מ;ש;ב;ה;ל;ו;ל;ב;ת;ל;ס;ך;נ;ב;ר;ק;(3, 2, 5, 15, 1221)
ת;ק;צ;י;ו;ם;י;ת;פ;ה;ת;א;ת;ו;ת;פ;ה;י;ה;ת;(3, 2, 5, 35, 1241)
ח;נ;מ;ם;א;ו;א;ו;ה;ה;ח;נ;מ;ן;מ;ש;ה;י;ל;ע;(3, 2, 6, 17, 1261)
ע;ת;ן;מ;ש;ב;ת;ל;ס;ך;נ;ב;ר;ק;ת;ש;ח;ר;מ;ת;(3, 2, 7, 7, 1281)
