א;ש;י;ו;ע;ש;ו;ה;י;ת;ו;מ;י;ר;ח;א;י;ה;י;ו;(7, 1, 1, 1, 1)
מ;ר;מ;א;ל;ה;ו;ה;י;ב;ל;א;ר;ש;י;י;נ;ב;ו;ל;(7, 1, 1, 21, 21)
ל;ח;ת;ב;י;נ;ע;נ;כ;ה;ל;א;ו;נ;ל;ה;ל;ע;י;י;(7, 1, 1, 41, 41)
ו;ה;י;ה;ו;ה;י;ר;מ;א;י;ו;ו;ב;ם;ח;ל;ה;ל;ה;(7, 1, 1, 61, 61)
ב;ץ;ר;א;ה;ת;א;י;ת;ת;נ;ה;נ;ה;ה;ל;ע;י;ה;ד;(7, 1, 2, 13, 81)
א;ן;ו;ע;מ;ש;ל;ה;ד;ו;ה;י;ר;מ;א;י;ו;ו;ד;י;(7, 1, 2, 33, 101)
מ;ח;ל;נ;ו;י;ל;ר;ו;ג;ב;י;ת;א;ה;ל;ע;ו;י;ח;(7, 1, 3, 18, 121)
ת;א;י;נ;א;ם;ג;י;ת;כ;ל;ה;ו;י;נ;ע;נ;כ;ב;ה;(7, 1, 3, 38, 141)
ו;ן;ו;ע;מ;ש;ו;ת;א;ך;ל;י;ו;ך;ל;ר;ו;ג;ב;ך;(7, 1, 3, 58, 161)
כ;ה;ת;א;ה;ו;ה;י;ן;ת;י;ו;ה;ד;ו;ה;י;ל;ע;י;(7, 1, 4, 2, 181)
ב;ם;ו;כ;י;ו;ם;ד;י;ב;י;ז;ר;פ;ה;ו;י;נ;ע;נ;(7, 1, 4, 22, 201)
א;צ;מ;י;ו;ש;י;א;ם;י;פ;ל;א;ת;ר;ש;ע;ק;ז;ב;(7, 1, 4, 42, 221)
ו;מ;ח;ל;י;ו;ק;ז;ב;ב;ק;ז;ב;י;נ;ד;א;ת;א;ו;(7, 1, 5, 6, 241)
ר;פ;ה;ת;א;ו;י;נ;ע;נ;כ;ה;ת;א;ו;כ;י;ו;ו;ב;(7, 1, 5, 26, 261)
א;ו;פ;ד;ר;י;ו;ק;ז;ב;י;נ;ד;א;ס;נ;י;ו;י;ז;(7, 1, 5, 46, 281)
א;ו;צ;צ;ק;י;ו;ו;ת;א;ו;ז;ח;א;י;ו;ו;י;ר;ח;(7, 1, 6, 19, 301)
מ;א;י;ו;ו;י;ל;ג;ר;ו;ו;י;ד;י;ת;ו;נ;ה;ב;ת;(7, 1, 6, 39, 321)
