והמלך;(1, [6, 5, 40, 30, 20], 101)
דוד;(2, [4, 6, 4], 14)
זקן;(3, [7, 100, 50], 157)
בא;(4, [2, 1], 3)
בימים;(5, [2, 10, 40, 10, 40], 102)
ויכסהו;(6, [6, 10, 20, 60, 5, 6], 107)
בבגדים;(7, [2, 2, 3, 4, 10, 40], 61)
ולא;(8, [6, 30, 1], 37)
יחם;(9, [10, 8, 40], 58)
לו;(10, [30, 6], 36)
ויאמרו;(11, [6, 10, 1, 40, 200, 6], 263)
לו;(12, [30, 6], 36)
עבדיו;(13, [70, 2, 4, 10, 6], 92)
יבקשו;(14, [10, 2, 100, 300, 6], 418)
לאדני;(15, [30, 1, 4, 50, 10], 95)
המלך;(16, [5, 40, 30, 20], 95)
נערה;(17, [50, 70, 200, 5], 325)
בתולה;(18, [2, 400, 6, 30, 5], 443)
ועמדה;(19, [6, 70, 40, 4, 5], 125)
לפני;(20, [30, 80, 50, 10], 170)
המלך;(21, [5, 40, 30, 20], 95)
ותהי;(22, [6, 400, 5, 10], 421)
לו;(23, [30, 6], 36)
סכנת;(24, [60, 20, 50, 400], 530)
ושכבה;(25, [6, 300, 20, 2, 5], 333)
בחיקך;(26, [2, 8, 10, 100, 20], 140)
וחם;(27, [6, 8, 40], 54)
לאדני;(28, [30, 1, 4, 50, 10], 95)
המלך;(29, [5, 40, 30, 20], 95)
ויבקשו;(30, [6, 10, 2, 100, 300, 6], 424)
נערה;(31, [50, 70, 200, 5], 325)
יפה;(32, [10, 80, 5], 95)
בכל;(33, [2, 20, 30], 52)
גבול;(34, [3, 2, 6, 30], 41)
ישראל;(35, [10, 300, 200, 1, 30], 541)
וימצאו;(36, [6, 10, 40, 90, 1, 6], 153)
את;(37, [1, 400], 401)
אבישג;(38, [1, 2, 10, 300, 3], 316)
השונמית;(39, [5, 300, 6, 50, 40, 10, 400], 811)
ויבאו;(40, [6, 10, 2, 1, 6], 25)
אתה;(41, [1, 400, 5], 406)
למלך;(42, [30, 40, 30, 20], 120)
והנערה;(43, [6, 5, 50, 70, 200, 5], 336)
יפה;(44, [10, 80, 5], 95)
עד;(45, [70, 4], 74)
מאד;(46, [40, 1, 4], 45)
ותהי;(47, [6, 400, 5, 10], 421)
למלך;(48, [30, 40, 30, 20], 120)
סכנת;(49, [60, 20, 50, 400], 530)
ותשרתהו;(50, [6, 400, 300, 200, 400, 5, 6], 1317)
והמלך;(51, [6, 5, 40, 30, 20], 101)
לא;(52, [30, 1], 31)
ידעה;(53, [10, 4, 70, 5], 89)
ואדניה;(54, [6, 1, 4, 50, 10, 5], 76)
בן;(55, [2, 50], 52)
חגית;(56, [8, 3, 10, 400], 421)
מתנשא;(57, [40, 400, 50, 300, 1], 791)
לאמר;(58, [30, 1, 40, 200], 271)
אני;(59, [1, 50, 10], 61)
אמלך;(60, [1, 40, 30, 20], 91)
ויעש;(61, [6, 10, 70, 300], 386)
לו;(62, [30, 6], 36)
רכב;(63, [200, 20, 2], 222)
ופרשים;(64, [6, 80, 200, 300, 10, 40], 636)
וחמשים;(65, [6, 8, 40, 300, 10, 40], 404)
איש;(66, [1, 10, 300], 311)
רצים;(67, [200, 90, 10, 40], 340)
לפניו;(68, [30, 80, 50, 10, 6], 176)
ולא;(69, [6, 30, 1], 37)
עצבו;(70, [70, 90, 2, 6], 168)
אביו;(71, [1, 2, 10, 6], 19)
מימיו;(72, [40, 10, 40, 10, 6], 106)
לאמר;(73, [30, 1, 40, 200], 271)
מדוע;(74, [40, 4, 6, 70], 120)
ככה;(75, [20, 20, 5], 45)
עשית;(76, [70, 300, 10, 400], 780)
וגם;(77, [6, 3, 40], 49)
הוא;(78, [5, 6, 1], 12)
טוב;(79, [9, 6, 2], 17)
תאר;(80, [400, 1, 200], 601)
מאד;(81, [40, 1, 4], 45)
ואתו;(82, [6, 1, 400, 6], 413)
ילדה;(83, [10, 30, 4, 5], 49)
אחרי;(84, [1, 8, 200, 10], 219)
אבשלום;(85, [1, 2, 300, 30, 6, 40], 379)
ויהיו;(86, [6, 10, 5, 10, 6], 37)
דבריו;(87, [4, 2, 200, 10, 6], 222)
עם;(88, [70, 40], 110)
יואב;(89, [10, 6, 1, 2], 19)
בן;(90, [2, 50], 52)
צרויה;(91, [90, 200, 6, 10, 5], 311)
ועם;(92, [6, 70, 40], 116)
אביתר;(93, [1, 2, 10, 400, 200], 613)
הכהן;(94, [5, 20, 5, 50], 80)
ויעזרו;(95, [6, 10, 70, 7, 200, 6], 299)
אחרי;(96, [1, 8, 200, 10], 219)
אדניה;(97, [1, 4, 50, 10, 5], 70)
וצדוק;(98, [6, 90, 4, 6, 100], 206)
הכהן;(99, [5, 20, 5, 50], 80)
ובניהו;(100, [6, 2, 50, 10, 5, 6], 79)
בן;(101, [2, 50], 52)
יהוידע;(102, [10, 5, 6, 10, 4, 70], 105)
ונתן;(103, [6, 50, 400, 50], 506)
הנביא;(104, [5, 50, 2, 10, 1], 68)
ושמעי;(105, [6, 300, 40, 70, 10], 426)
ורעי;(106, [6, 200, 70, 10], 286)
והגבורים;(107, [6, 5, 3, 2, 6, 200, 10, 40], 272)
אשר;(108, [1, 300, 200], 501)
לדוד;(109, [30, 4, 6, 4], 44)
לא;(110, [30, 1], 31)
היו;(111, [5, 10, 6], 21)
עם;(112, [70, 40], 110)
אדניהו;(113, [1, 4, 50, 10, 5, 6], 76)
ויזבח;(114, [6, 10, 7, 2, 8], 33)
אדניהו;(115, [1, 4, 50, 10, 5, 6], 76)
צאן;(116, [90, 1, 50], 141)
ובקר;(117, [6, 2, 100, 200], 308)
ומריא;(118, [6, 40, 200, 10, 1], 257)
עם;(119, [70, 40], 110)
אבן;(120, [1, 2, 50], 53)
הזחלת;(121, [5, 7, 8, 30, 400], 450)
אשר;(122, [1, 300, 200], 501)
אצל;(123, [1, 90, 30], 121)
עין;(124, [70, 10, 50], 130)
רגל;(125, [200, 3, 30], 233)
ויקרא;(126, [6, 10, 100, 200, 1], 317)
את;(127, [1, 400], 401)
כל;(128, [20, 30], 50)
אחיו;(129, [1, 8, 10, 6], 25)
בני;(130, [2, 50, 10], 62)
המלך;(131, [5, 40, 30, 20], 95)
ולכל;(132, [6, 30, 20, 30], 86)
אנשי;(133, [1, 50, 300, 10], 361)
יהודה;(134, [10, 5, 6, 4, 5], 30)
עבדי;(135, [70, 2, 4, 10], 86)
המלך;(136, [5, 40, 30, 20], 95)
ואת;(137, [6, 1, 400], 407)
נתן;(138, [50, 400, 50], 500)
הנביא;(139, [5, 50, 2, 10, 1], 68)
ובניהו;(140, [6, 2, 50, 10, 5, 6], 79)
ואת;(141, [6, 1, 400], 407)
הגבורים;(142, [5, 3, 2, 6, 200, 10, 40], 266)
ואת;(143, [6, 1, 400], 407)
שלמה;(144, [300, 30, 40, 5], 375)
אחיו;(145, [1, 8, 10, 6], 25)
לא;(146, [30, 1], 31)
קרא;(147, [100, 200, 1], 301)
ויאמר;(148, [6, 10, 1, 40, 200], 257)
נתן;(149, [50, 400, 50], 500)
אל;(150, [1, 30], 31)
בת;(151, [2, 400], 402)
שבע;(152, [300, 2, 70], 372)
אם;(153, [1, 40], 41)
שלמה;(154, [300, 30, 40, 5], 375)
לאמר;(155, [30, 1, 40, 200], 271)
הלוא;(156, [5, 30, 6, 1], 42)
שמעת;(157, [300, 40, 70, 400], 810)
כי;(158, [20, 10], 30)
מלך;(159, [40, 30, 20], 90)
אדניהו;(160, [1, 4, 50, 10, 5, 6], 76)
בן;(161, [2, 50], 52)
חגית;(162, [8, 3, 10, 400], 421)
ואדנינו;(163, [6, 1, 4, 50, 10, 50, 6], 127)
דוד;(164, [4, 6, 4], 14)
לא;(165, [30, 1], 31)
ידע;(166, [10, 4, 70], 84)
ועתה;(167, [6, 70, 400, 5], 481)
לכי;(168, [30, 20, 10], 60)
איעצך;(169, [1, 10, 70, 90, 20], 191)
נא;(170, [50, 1], 51)
עצה;(171, [70, 90, 5], 165)
ומלטי;(172, [6, 40, 30, 9, 10], 95)
את;(173, [1, 400], 401)
