ויפשע;(1, [6, 10, 80, 300, 70], 466)
מואב;(2, [40, 6, 1, 2], 49)
בישראל;(3, [2, 10, 300, 200, 1, 30], 543)
אחרי;(4, [1, 8, 200, 10], 219)
מות;(5, [40, 6, 400], 446)
אחאב;(6, [1, 8, 1, 2], 12)
ויפל;(7, [6, 10, 80, 30], 126)
אחזיה;(8, [1, 8, 7, 10, 5], 31)
בעד;(9, [2, 70, 4], 76)
השבכה;(10, [5, 300, 2, 20, 5], 332)
בעליתו;(11, [2, 70, 30, 10, 400, 6], 518)
אשר;(12, [1, 300, 200], 501)
בשמרון;(13, [2, 300, 40, 200, 6, 50], 598)
ויחל;(14, [6, 10, 8, 30], 54)
וישלח;(15, [6, 10, 300, 30, 8], 354)
מלאכים;(16, [40, 30, 1, 20, 10, 40], 141)
ויאמר;(17, [6, 10, 1, 40, 200], 257)
אלהם;(18, [1, 30, 5, 40], 76)
לכו;(19, [30, 20, 6], 56)
דרשו;(20, [4, 200, 300, 6], 510)
בבעל;(21, [2, 2, 70, 30], 104)
זבוב;(22, [7, 2, 6, 2], 17)
אלהי;(23, [1, 30, 5, 10], 46)
עקרון;(24, [70, 100, 200, 6, 50], 426)
אם;(25, [1, 40], 41)
אחיה;(26, [1, 8, 10, 5], 24)
מחלי;(27, [40, 8, 30, 10], 88)
זה;(28, [7, 5], 12)
ומלאך;(29, [6, 40, 30, 1, 20], 97)
יהוה;(30, [10, 5, 6, 5], 26)
דבר;(31, [4, 2, 200], 206)
אל;(32, [1, 30], 31)
אליה;(33, [1, 30, 10, 5], 46)
התשבי;(34, [5, 400, 300, 2, 10], 717)
קום;(35, [100, 6, 40], 146)
עלה;(36, [70, 30, 5], 105)
לקראת;(37, [30, 100, 200, 1, 400], 731)
מלאכי;(38, [40, 30, 1, 20, 10], 101)
מלך;(39, [40, 30, 20], 90)
שמרון;(40, [300, 40, 200, 6, 50], 596)
ודבר;(41, [6, 4, 2, 200], 212)
אלהם;(42, [1, 30, 5, 40], 76)
המבלי;(43, [5, 40, 2, 30, 10], 87)
אין;(44, [1, 10, 50], 61)
אלהים;(45, [1, 30, 5, 10, 40], 86)
בישראל;(46, [2, 10, 300, 200, 1, 30], 543)
אתם;(47, [1, 400, 40], 441)
הלכים;(48, [5, 30, 20, 10, 40], 105)
לדרש;(49, [30, 4, 200, 300], 534)
בבעל;(50, [2, 2, 70, 30], 104)
זבוב;(51, [7, 2, 6, 2], 17)
אלהי;(52, [1, 30, 5, 10], 46)
עקרון;(53, [70, 100, 200, 6, 50], 426)
ולכן;(54, [6, 30, 20, 50], 106)
כה;(55, [20, 5], 25)
אמר;(56, [1, 40, 200], 241)
יהוה;(57, [10, 5, 6, 5], 26)
המטה;(58, [5, 40, 9, 5], 59)
אשר;(59, [1, 300, 200], 501)
עלית;(60, [70, 30, 10, 400], 510)
שם;(61, [300, 40], 340)
לא;(62, [30, 1], 31)
תרד;(63, [400, 200, 4], 604)
ממנה;(64, [40, 40, 50, 5], 135)
כי;(65, [20, 10], 30)
מות;(66, [40, 6, 400], 446)
תמות;(67, [400, 40, 6, 400], 846)
וילך;(68, [6, 10, 30, 20], 66)
אליה;(69, [1, 30, 10, 5], 46)
וישובו;(70, [6, 10, 300, 6, 2, 6], 330)
המלאכים;(71, [5, 40, 30, 1, 20, 10, 40], 146)
