דברי;(1, [4, 2, 200, 10], 216)
ירמיהו;(2, [10, 200, 40, 10, 5, 6], 271)
בן;(3, [2, 50], 52)
חלקיהו;(4, [8, 30, 100, 10, 5, 6], 159)
מן;(5, [40, 50], 90)
הכהנים;(6, [5, 20, 5, 50, 10, 40], 130)
אשר;(7, [1, 300, 200], 501)
בענתות;(8, [2, 70, 50, 400, 6, 400], 928)
בארץ;(9, [2, 1, 200, 90], 293)
בנימן;(10, [2, 50, 10, 40, 50], 152)
אשר;(11, [1, 300, 200], 501)
היה;(12, [5, 10, 5], 20)
דבר;(13, [4, 2, 200], 206)
יהוה;(14, [10, 5, 6, 5], 26)
אליו;(15, [1, 30, 10, 6], 47)
בימי;(16, [2, 10, 40, 10], 62)
יאשיהו;(17, [10, 1, 300, 10, 5, 6], 332)
בן;(18, [2, 50], 52)
אמון;(19, [1, 40, 6, 50], 97)
מלך;(20, [40, 30, 20], 90)
יהודה;(21, [10, 5, 6, 4, 5], 30)
בשלש;(22, [2, 300, 30, 300], 632)
עשרה;(23, [70, 300, 200, 5], 575)
שנה;(24, [300, 50, 5], 355)
למלכו;(25, [30, 40, 30, 20, 6], 126)
ויהי;(26, [6, 10, 5, 10], 31)
בימי;(27, [2, 10, 40, 10], 62)
יהויקים;(28, [10, 5, 6, 10, 100, 10, 40], 181)
בן;(29, [2, 50], 52)
יאשיהו;(30, [10, 1, 300, 10, 5, 6], 332)
מלך;(31, [40, 30, 20], 90)
יהודה;(32, [10, 5, 6, 4, 5], 30)
עד;(33, [70, 4], 74)
תם;(34, [400, 40], 440)
עשתי;(35, [70, 300, 400, 10], 780)
עשרה;(36, [70, 300, 200, 5], 575)
שנה;(37, [300, 50, 5], 355)
לצדקיהו;(38, [30, 90, 4, 100, 10, 5, 6], 245)
בן;(39, [2, 50], 52)
יאשיהו;(40, [10, 1, 300, 10, 5, 6], 332)
מלך;(41, [40, 30, 20], 90)
יהודה;(42, [10, 5, 6, 4, 5], 30)
עד;(43, [70, 4], 74)
גלות;(44, [3, 30, 6, 400], 439)
ירושלם;(45, [10, 200, 6, 300, 30, 40], 586)
בחדש;(46, [2, 8, 4, 300], 314)
החמישי;(47, [5, 8, 40, 10, 300, 10], 373)
ויהי;(48, [6, 10, 5, 10], 31)
דבר;(49, [4, 2, 200], 206)
יהוה;(50, [10, 5, 6, 5], 26)
אלי;(51, [1, 30, 10], 41)
לאמר;(52, [30, 1, 40, 200], 271)
בטרם;(53, [2, 9, 200, 40], 251)
אצורך;(54, [1, 90, 6, 200, 20], 317)
בבטן;(55, [2, 2, 9, 50], 63)
ידעתיך;(56, [10, 4, 70, 400, 10, 20], 514)
ובטרם;(57, [6, 2, 9, 200, 40], 257)
תצא;(58, [400, 90, 1], 491)
מרחם;(59, [40, 200, 8, 40], 288)
הקדשתיך;(60, [5, 100, 4, 300, 400, 10, 20], 839)
נביא;(61, [50, 2, 10, 1], 63)
לגוים;(62, [30, 3, 6, 10, 40], 89)
נתתיך;(63, [50, 400, 400, 10, 20], 880)
ואמר;(64, [6, 1, 40, 200], 247)
אהה;(65, [1, 5, 5], 11)
אדני;(66, [1, 4, 50, 10], 65)
יהוה;(67, [10, 5, 6, 5], 26)
הנה;(68, [5, 50, 5], 60)
לא;(69, [30, 1], 31)
ידעתי;(70, [10, 4, 70, 400, 10], 494)
דבר;(71, [4, 2, 200], 206)
כי;(72, [20, 10], 30)
נער;(73, [50, 70, 200], 320)
אנכי;(74, [1, 50, 20, 10], 81)
ויאמר;(75, [6, 10, 1, 40, 200], 257)
יהוה;(76, [10, 5, 6, 5], 26)
אלי;(77, [1, 30, 10], 41)
אל;(78, [1, 30], 31)
תאמר;(79, [400, 1, 40, 200], 641)
נער;(80, [50, 70, 200], 320)
אנכי;(81, [1, 50, 20, 10], 81)
כי;(82, [20, 10], 30)
על;(83, [70, 30], 100)
כל;(84, [20, 30], 50)
אשר;(85, [1, 300, 200], 501)
