דבר;(1, [4, 2, 200], 206)
יהוה;(2, [10, 5, 6, 5], 26)
אשר;(3, [1, 300, 200], 501)
היה;(4, [5, 10, 5], 20)
אל;(5, [1, 30], 31)
הושע;(6, [5, 6, 300, 70], 381)
בן;(7, [2, 50], 52)
בארי;(8, [2, 1, 200, 10], 213)
בימי;(9, [2, 10, 40, 10], 62)
עזיה;(10, [70, 7, 10, 5], 92)
יותם;(11, [10, 6, 400, 40], 456)
אחז;(12, [1, 8, 7], 16)
יחזקיה;(13, [10, 8, 7, 100, 10, 5], 140)
מלכי;(14, [40, 30, 20, 10], 100)
יהודה;(15, [10, 5, 6, 4, 5], 30)
ובימי;(16, [6, 2, 10, 40, 10], 68)
ירבעם;(17, [10, 200, 2, 70, 40], 322)
בן;(18, [2, 50], 52)
יואש;(19, [10, 6, 1, 300], 317)
מלך;(20, [40, 30, 20], 90)
ישראל;(21, [10, 300, 200, 1, 30], 541)
תחלת;(22, [400, 8, 30, 400], 838)
דבר;(23, [4, 2, 200], 206)
יהוה;(24, [10, 5, 6, 5], 26)
בהושע;(25, [2, 5, 6, 300, 70], 383)
ויאמר;(26, [6, 10, 1, 40, 200], 257)
יהוה;(27, [10, 5, 6, 5], 26)
אל;(28, [1, 30], 31)
הושע;(29, [5, 6, 300, 70], 381)
לך;(30, [30, 20], 50)
קח;(31, [100, 8], 108)
לך;(32, [30, 20], 50)
אשת;(33, [1, 300, 400], 701)
זנונים;(34, [7, 50, 6, 50, 10, 40], 163)
וילדי;(35, [6, 10, 30, 4, 10], 60)
זנונים;(36, [7, 50, 6, 50, 10, 40], 163)
כי;(37, [20, 10], 30)
זנה;(38, [7, 50, 5], 62)
תזנה;(39, [400, 7, 50, 5], 462)
הארץ;(40, [5, 1, 200, 90], 296)
מאחרי;(41, [40, 1, 8, 200, 10], 259)
יהוה;(42, [10, 5, 6, 5], 26)
וילך;(43, [6, 10, 30, 20], 66)
ויקח;(44, [6, 10, 100, 8], 124)
את;(45, [1, 400], 401)
גמר;(46, [3, 40, 200], 243)
בת;(47, [2, 400], 402)
דבלים;(48, [4, 2, 30, 10, 40], 86)
