דבר;(1, [4, 2, 200], 206)
יהוה;(2, [10, 5, 6, 5], 26)
אשר;(3, [1, 300, 200], 501)
היה;(4, [5, 10, 5], 20)
אל;(5, [1, 30], 31)
יואל;(6, [10, 6, 1, 30], 47)
בן;(7, [2, 50], 52)
פתואל;(8, [80, 400, 6, 1, 30], 517)
שמעו;(9, [300, 40, 70, 6], 416)
זאת;(10, [7, 1, 400], 408)
הזקנים;(11, [5, 7, 100, 50, 10, 40], 212)
והאזינו;(12, [6, 5, 1, 7, 10, 50, 6], 85)
כל;(13, [20, 30], 50)
יושבי;(14, [10, 6, 300, 2, 10], 328)
הארץ;(15, [5, 1, 200, 90], 296)
ההיתה;(16, [5, 5, 10, 400, 5], 425)
זאת;(17, [7, 1, 400], 408)
בימיכם;(18, [2, 10, 40, 10, 20, 40], 122)
ואם;(19, [6, 1, 40], 47)
בימי;(20, [2, 10, 40, 10], 62)
אבתיכם;(21, [1, 2, 400, 10, 20, 40], 473)
עליה;(22, [70, 30, 10, 5], 115)
לבניכם;(23, [30, 2, 50, 10, 20, 40], 152)
ספרו;(24, [60, 80, 200, 6], 346)
ובניכם;(25, [6, 2, 50, 10, 20, 40], 128)
לבניהם;(26, [30, 2, 50, 10, 5, 40], 137)
ובניהם;(27, [6, 2, 50, 10, 5, 40], 113)
לדור;(28, [30, 4, 6, 200], 240)
אחר;(29, [1, 8, 200], 209)
יתר;(30, [10, 400, 200], 610)
הגזם;(31, [5, 3, 7, 40], 55)
אכל;(32, [1, 20, 30], 51)
הארבה;(33, [5, 1, 200, 2, 5], 213)
ויתר;(34, [6, 10, 400, 200], 616)
הארבה;(35, [5, 1, 200, 2, 5], 213)
אכל;(36, [1, 20, 30], 51)
הילק;(37, [5, 10, 30, 100], 145)
ויתר;(38, [6, 10, 400, 200], 616)
הילק;(39, [5, 10, 30, 100], 145)
אכל;(40, [1, 20, 30], 51)
החסיל;(41, [5, 8, 60, 10, 30], 113)
הקיצו;(42, [5, 100, 10, 90, 6], 211)
שכורים;(43, [300, 20, 6, 200, 10, 40], 576)
ובכו;(44, [6, 2, 20, 6], 34)
