דברי;(1, [4, 2, 200, 10], 216)
עמוס;(2, [70, 40, 6, 60], 176)
אשר;(3, [1, 300, 200], 501)
היה;(4, [5, 10, 5], 20)
בנקדים;(5, [2, 50, 100, 4, 10, 40], 206)
מתקוע;(6, [40, 400, 100, 6, 70], 616)
אשר;(7, [1, 300, 200], 501)
חזה;(8, [8, 7, 5], 20)
על;(9, [70, 30], 100)
ישראל;(10, [10, 300, 200, 1, 30], 541)
בימי;(11, [2, 10, 40, 10], 62)
עזיה;(12, [70, 7, 10, 5], 92)
מלך;(13, [40, 30, 20], 90)
יהודה;(14, [10, 5, 6, 4, 5], 30)
ובימי;(15, [6, 2, 10, 40, 10], 68)
ירבעם;(16, [10, 200, 2, 70, 40], 322)
בן;(17, [2, 50], 52)
יואש;(18, [10, 6, 1, 300], 317)
מלך;(19, [40, 30, 20], 90)
ישראל;(20, [10, 300, 200, 1, 30], 541)
שנתים;(21, [300, 50, 400, 10, 40], 800)
לפני;(22, [30, 80, 50, 10], 170)
הרעש;(23, [5, 200, 70, 300], 575)
ויאמר;(24, [6, 10, 1, 40, 200], 257)
יהוה;(25, [10, 5, 6, 5], 26)
מציון;(26, [40, 90, 10, 6, 50], 196)
ישאג;(27, [10, 300, 1, 3], 314)
ומירושלם;(28, [6, 40, 10, 200, 6, 300, 30, 40], 632)
יתן;(29, [10, 400, 50], 460)
קולו;(30, [100, 6, 30, 6], 142)
ואבלו;(31, [6, 1, 2, 30, 6], 45)
נאות;(32, [50, 1, 6, 400], 457)
הרעים;(33, [5, 200, 70, 10, 40], 325)
ויבש;(34, [6, 10, 2, 300], 318)
ראש;(35, [200, 1, 300], 501)
הכרמל;(36, [5, 20, 200, 40, 30], 295)
כה;(37, [20, 5], 25)
אמר;(38, [1, 40, 200], 241)
יהוה;(39, [10, 5, 6, 5], 26)
על;(40, [70, 30], 100)
שלשה;(41, [300, 30, 300, 5], 635)
פשעי;(42, [80, 300, 70, 10], 460)
דמשק;(43, [4, 40, 300, 100], 444)
ועל;(44, [6, 70, 30], 106)
ארבעה;(45, [1, 200, 2, 70, 5], 278)
לא;(46, [30, 1], 31)
אשיבנו;(47, [1, 300, 10, 2, 50, 6], 369)
על;(48, [70, 30], 100)
דושם;(49, [4, 6, 300, 40], 350)
בחרצות;(50, [2, 8, 200, 90, 6, 400], 706)
הברזל;(51, [5, 2, 200, 7, 30], 244)
את;(52, [1, 400], 401)
הגלעד;(53, [5, 3, 30, 70, 4], 112)
ושלחתי;(54, [6, 300, 30, 8, 400, 10], 754)
אש;(55, [1, 300], 301)
בבית;(56, [2, 2, 10, 400], 414)
חזאל;(57, [8, 7, 1, 30], 46)
ואכלה;(58, [6, 1, 20, 30, 5], 62)
ארמנות;(59, [1, 200, 40, 50, 6, 400], 697)
בן;(60, [2, 50], 52)
הדד;(61, [5, 4, 4], 13)
ושברתי;(62, [6, 300, 2, 200, 400, 10], 918)
בריח;(63, [2, 200, 10, 8], 220)
דמשק;(64, [4, 40, 300, 100], 444)
והכרתי;(65, [6, 5, 20, 200, 400, 10], 641)
יושב;(66, [10, 6, 300, 2], 318)
מבקעת;(67, [40, 2, 100, 70, 400], 612)
און;(68, [1, 6, 50], 57)
ותומך;(69, [6, 400, 6, 40, 20], 472)
שבט;(70, [300, 2, 9], 311)
מבית;(71, [40, 2, 10, 400], 452)
עדן;(72, [70, 4, 50], 124)
וגלו;(73, [6, 3, 30, 6], 45)
עם;(74, [70, 40], 110)
ארם;(75, [1, 200, 40], 241)
קירה;(76, [100, 10, 200, 5], 315)
אמר;(77, [1, 40, 200], 241)
יהוה;(78, [10, 5, 6, 5], 26)
כה;(79, [20, 5], 25)
אמר;(80, [1, 40, 200], 241)
יהוה;(81, [10, 5, 6, 5], 26)
על;(82, [70, 30], 100)
שלשה;(83, [300, 30, 300, 5], 635)
פשעי;(84, [80, 300, 70, 10], 460)
עזה;(85, [70, 7, 5], 82)
ועל;(86, [6, 70, 30], 106)
ארבעה;(87, [1, 200, 2, 70, 5], 278)
לא;(88, [30, 1], 31)
אשיבנו;(89, [1, 300, 10, 2, 50, 6], 369)
על;(90, [70, 30], 100)
הגלותם;(91, [5, 3, 30, 6, 400, 40], 484)
גלות;(92, [3, 30, 6, 400], 439)
