חזון;(1, [8, 7, 6, 50], 71)
עבדיה;(2, [70, 2, 4, 10, 5], 91)
כה;(3, [20, 5], 25)
אמר;(4, [1, 40, 200], 241)
אדני;(5, [1, 4, 50, 10], 65)
יהוה;(6, [10, 5, 6, 5], 26)
לאדום;(7, [30, 1, 4, 6, 40], 81)
שמועה;(8, [300, 40, 6, 70, 5], 421)
שמענו;(9, [300, 40, 70, 50, 6], 466)
מאת;(10, [40, 1, 400], 441)
יהוה;(11, [10, 5, 6, 5], 26)
וציר;(12, [6, 90, 10, 200], 306)
בגוים;(13, [2, 3, 6, 10, 40], 61)
שלח;(14, [300, 30, 8], 338)
קומו;(15, [100, 6, 40, 6], 152)
ונקומה;(16, [6, 50, 100, 6, 40, 5], 207)
עליה;(17, [70, 30, 10, 5], 115)
למלחמה;(18, [30, 40, 30, 8, 40, 5], 153)
הנה;(19, [5, 50, 5], 60)
קטן;(20, [100, 9, 50], 159)
נתתיך;(21, [50, 400, 400, 10, 20], 880)
בגוים;(22, [2, 3, 6, 10, 40], 61)
בזוי;(23, [2, 7, 6, 10], 25)
אתה;(24, [1, 400, 5], 406)
מאד;(25, [40, 1, 4], 45)
זדון;(26, [7, 4, 6, 50], 67)
לבך;(27, [30, 2, 20], 52)
השיאך;(28, [5, 300, 10, 1, 20], 336)
שכני;(29, [300, 20, 50, 10], 380)
בחגוי;(30, [2, 8, 3, 6, 10], 29)
סלע;(31, [60, 30, 70], 160)
מרום;(32, [40, 200, 6, 40], 286)
שבתו;(33, [300, 2, 400, 6], 708)
אמר;(34, [1, 40, 200], 241)
בלבו;(35, [2, 30, 2, 6], 40)
מי;(36, [40, 10], 50)
יורדני;(37, [10, 6, 200, 4, 50, 10], 280)
ארץ;(38, [1, 200, 90], 291)
אם;(39, [1, 40], 41)
תגביה;(40, [400, 3, 2, 10, 5], 420)
כנשר;(41, [20, 50, 300, 200], 570)
ואם;(42, [6, 1, 40], 47)
בין;(43, [2, 10, 50], 62)
כוכבים;(44, [20, 6, 20, 2, 10, 40], 98)
שים;(45, [300, 10, 40], 350)
קנך;(46, [100, 50, 20], 170)
משם;(47, [40, 300, 40], 380)
אורידך;(48, [1, 6, 200, 10, 4, 20], 241)
נאם;(49, [50, 1, 40], 91)
יהוה;(50, [10, 5, 6, 5], 26)
אם;(51, [1, 40], 41)
גנבים;(52, [3, 50, 2, 10, 40], 105)
באו;(53, [2, 1, 6], 9)
לך;(54, [30, 20], 50)
אם;(55, [1, 40], 41)
שודדי;(56, [300, 6, 4, 4, 10], 324)
לילה;(57, [30, 10, 30, 5], 75)
איך;(58, [1, 10, 20], 31)
נדמיתה;(59, [50, 4, 40, 10, 400, 5], 509)
הלוא;(60, [5, 30, 6, 1], 42)
יגנבו;(61, [10, 3, 50, 2, 6], 71)
