ויהי;(1, [6, 10, 5, 10], 31)
דבר;(2, [4, 2, 200], 206)
יהוה;(3, [10, 5, 6, 5], 26)
אל;(4, [1, 30], 31)
יונה;(5, [10, 6, 50, 5], 71)
בן;(6, [2, 50], 52)
אמתי;(7, [1, 40, 400, 10], 451)
לאמר;(8, [30, 1, 40, 200], 271)
קום;(9, [100, 6, 40], 146)
לך;(10, [30, 20], 50)
אל;(11, [1, 30], 31)
נינוה;(12, [50, 10, 50, 6, 5], 121)
העיר;(13, [5, 70, 10, 200], 285)
הגדולה;(14, [5, 3, 4, 6, 30, 5], 53)
וקרא;(15, [6, 100, 200, 1], 307)
עליה;(16, [70, 30, 10, 5], 115)
כי;(17, [20, 10], 30)
עלתה;(18, [70, 30, 400, 5], 505)
רעתם;(19, [200, 70, 400, 40], 710)
לפני;(20, [30, 80, 50, 10], 170)
ויקם;(21, [6, 10, 100, 40], 156)
יונה;(22, [10, 6, 50, 5], 71)
לברח;(23, [30, 2, 200, 8], 240)
תרשישה;(24, [400, 200, 300, 10, 300, 5], 1215)
מלפני;(25, [40, 30, 80, 50, 10], 210)
יהוה;(26, [10, 5, 6, 5], 26)
וירד;(27, [6, 10, 200, 4], 220)
יפו;(28, [10, 80, 6], 96)
וימצא;(29, [6, 10, 40, 90, 1], 147)
אניה;(30, [1, 50, 10, 5], 66)
באה;(31, [2, 1, 5], 8)
תרשיש;(32, [400, 200, 300, 10, 300], 1210)
ויתן;(33, [6, 10, 400, 50], 466)
שכרה;(34, [300, 20, 200, 5], 525)
וירד;(35, [6, 10, 200, 4], 220)
בה;(36, [2, 5], 7)
לבוא;(37, [30, 2, 6, 1], 39)
עמהם;(38, [70, 40, 5, 40], 155)
תרשישה;(39, [400, 200, 300, 10, 300, 5], 1215)
מלפני;(40, [40, 30, 80, 50, 10], 210)
יהוה;(41, [10, 5, 6, 5], 26)
ויהוה;(42, [6, 10, 5, 6, 5], 32)
הטיל;(43, [5, 9, 10, 30], 54)
רוח;(44, [200, 6, 8], 214)
גדולה;(45, [3, 4, 6, 30, 5], 48)
אל;(46, [1, 30], 31)
הים;(47, [5, 10, 40], 55)
ויהי;(48, [6, 10, 5, 10], 31)
סער;(49, [60, 70, 200], 330)
גדול;(50, [3, 4, 6, 30], 43)
בים;(51, [2, 10, 40], 52)
והאניה;(52, [6, 5, 1, 50, 10, 5], 77)
חשבה;(53, [8, 300, 2, 5], 315)
להשבר;(54, [30, 5, 300, 2, 200], 537)
וייראו;(55, [6, 10, 10, 200, 1, 6], 233)
המלחים;(56, [5, 40, 30, 8, 10, 40], 133)
