בראשית;(1, [2, 200, 1, 300, 10, 400], 913)
ברא;(2, [2, 200, 1], 203)
אלהים;(3, [1, 30, 5, 10, 40], 86)
את;(4, [1, 400], 401)
השמים;(5, [5, 300, 40, 10, 40], 395)
ואת;(6, [6, 1, 400], 407)
הארץ;(7, [5, 1, 200, 90], 296)
והארץ;(8, [6, 5, 1, 200, 90], 302)
היתה;(9, [5, 10, 400, 5], 420)
תהו;(10, [400, 5, 6], 411)
ובהו;(11, [6, 2, 5, 6], 19)
וחשך;(12, [6, 8, 300, 20], 334)
על;(13, [70, 30], 100)
פני;(14, [80, 50, 10], 140)
תהום;(15, [400, 5, 6, 40], 451)
ורוח;(16, [6, 200, 6, 8], 220)
אלהים;(17, [1, 30, 5, 10, 40], 86)
מרחפת;(18, [40, 200, 8, 80, 400], 728)
על;(19, [70, 30], 100)
פני;(20, [80, 50, 10], 140)
המים;(21, [5, 40, 10, 40], 95)
ויאמר;(22, [6, 10, 1, 40, 200], 257)
אלהים;(23, [1, 30, 5, 10, 40], 86)
יהי;(24, [10, 5, 10], 25)
אור;(25, [1, 6, 200], 207)
ויהי;(26, [6, 10, 5, 10], 31)
אור;(27, [1, 6, 200], 207)
וירא;(28, [6, 10, 200, 1], 217)
אלהים;(29, [1, 30, 5, 10, 40], 86)
את;(30, [1, 400], 401)
האור;(31, [5, 1, 6, 200], 212)
כי;(32, [20, 10], 30)
טוב;(33, [9, 6, 2], 17)
ויבדל;(34, [6, 10, 2, 4, 30], 52)
אלהים;(35, [1, 30, 5, 10, 40], 86)
בין;(36, [2, 10, 50], 62)
האור;(37, [5, 1, 6, 200], 212)
ובין;(38, [6, 2, 10, 50], 68)
החשך;(39, [5, 8, 300, 20], 333)
ויקרא;(40, [6, 10, 100, 200, 1], 317)
אלהים;(41, [1, 30, 5, 10, 40], 86)
לאור;(42, [30, 1, 6, 200], 237)
יום;(43, [10, 6, 40], 56)
ולחשך;(44, [6, 30, 8, 300, 20], 364)
קרא;(45, [100, 200, 1], 301)
לילה;(46, [30, 10, 30, 5], 75)
ויהי;(47, [6, 10, 5, 10], 31)
ערב;(48, [70, 200, 2], 272)
ויהי;(49, [6, 10, 5, 10], 31)
בקר;(50, [2, 100, 200], 302)
יום;(51, [10, 6, 40], 56)
אחד;(52, [1, 8, 4], 13)
ויאמר;(53, [6, 10, 1, 40, 200], 257)
אלהים;(54, [1, 30, 5, 10, 40], 86)
יהי;(55, [10, 5, 10], 25)
רקיע;(56, [200, 100, 10, 70], 380)
בתוך;(57, [2, 400, 6, 20], 428)
המים;(58, [5, 40, 10, 40], 95)
ויהי;(59, [6, 10, 5, 10], 31)
מבדיל;(60, [40, 2, 4, 10, 30], 86)
בין;(61, [2, 10, 50], 62)
מים;(62, [40, 10, 40], 90)
למים;(63, [30, 40, 10, 40], 120)
ויעש;(64, [6, 10, 70, 300], 386)
אלהים;(65, [1, 30, 5, 10, 40], 86)
את;(66, [1, 400], 401)
הרקיע;(67, [5, 200, 100, 10, 70], 385)
ויבדל;(68, [6, 10, 2, 4, 30], 52)
בין;(69, [2, 10, 50], 62)
המים;(70, [5, 40, 10, 40], 95)
אשר;(71, [1, 300, 200], 501)
מתחת;(72, [40, 400, 8, 400], 848)
לרקיע;(73, [30, 200, 100, 10, 70], 410)
ובין;(74, [6, 2, 10, 50], 68)
המים;(75, [5, 40, 10, 40], 95)
אשר;(76, [1, 300, 200], 501)
מעל;(77, [40, 70, 30], 140)
לרקיע;(78, [30, 200, 100, 10, 70], 410)
ויהי;(79, [6, 10, 5, 10], 31)
כן;(80, [20, 50], 70)
ויקרא;(81, [6, 10, 100, 200, 1], 317)
אלהים;(82, [1, 30, 5, 10, 40], 86)
לרקיע;(83, [30, 200, 100, 10, 70], 410)
שמים;(84, [300, 40, 10, 40], 390)
ויהי;(85, [6, 10, 5, 10], 31)
ערב;(86, [70, 200, 2], 272)
ויהי;(87, [6, 10, 5, 10], 31)
בקר;(88, [2, 100, 200], 302)
