דבר;(1, [4, 2, 200], 206)
יהוה;(2, [10, 5, 6, 5], 26)
אשר;(3, [1, 300, 200], 501)
היה;(4, [5, 10, 5], 20)
אל;(5, [1, 30], 31)
מיכה;(6, [40, 10, 20, 5], 75)
המרשתי;(7, [5, 40, 200, 300, 400, 10], 955)
בימי;(8, [2, 10, 40, 10], 62)
יותם;(9, [10, 6, 400, 40], 456)
אחז;(10, [1, 8, 7], 16)
יחזקיה;(11, [10, 8, 7, 100, 10, 5], 140)
מלכי;(12, [40, 30, 20, 10], 100)
יהודה;(13, [10, 5, 6, 4, 5], 30)
אשר;(14, [1, 300, 200], 501)
חזה;(15, [8, 7, 5], 20)
על;(16, [70, 30], 100)
שמרון;(17, [300, 40, 200, 6, 50], 596)
וירושלם;(18, [6, 10, 200, 6, 300, 30, 40], 592)
שמעו;(19, [300, 40, 70, 6], 416)
עמים;(20, [70, 40, 10, 40], 160)
כלם;(21, [20, 30, 40], 90)
הקשיבי;(22, [5, 100, 300, 10, 2, 10], 427)
ארץ;(23, [1, 200, 90], 291)
ומלאה;(24, [6, 40, 30, 1, 5], 82)
ויהי;(25, [6, 10, 5, 10], 31)
אדני;(26, [1, 4, 50, 10], 65)
יהוה;(27, [10, 5, 6, 5], 26)
בכם;(28, [2, 20, 40], 62)
לעד;(29, [30, 70, 4], 104)
אדני;(30, [1, 4, 50, 10], 65)
מהיכל;(31, [40, 5, 10, 20, 30], 105)
קדשו;(32, [100, 4, 300, 6], 410)
כי;(33, [20, 10], 30)
הנה;(34, [5, 50, 5], 60)
יהוה;(35, [10, 5, 6, 5], 26)
יצא;(36, [10, 90, 1], 101)
ממקומו;(37, [40, 40, 100, 6, 40, 6], 232)
וירד;(38, [6, 10, 200, 4], 220)
ודרך;(39, [6, 4, 200, 20], 230)
על;(40, [70, 30], 100)
במותי;(41, [2, 40, 6, 400, 10], 458)
ארץ;(42, [1, 200, 90], 291)
ונמסו;(43, [6, 50, 40, 60, 6], 162)
ההרים;(44, [5, 5, 200, 10, 40], 260)
תחתיו;(45, [400, 8, 400, 10, 6], 824)
