משא;(1, [40, 300, 1], 341)
נינוה;(2, [50, 10, 50, 6, 5], 121)
ספר;(3, [60, 80, 200], 340)
חזון;(4, [8, 7, 6, 50], 71)
נחום;(5, [50, 8, 6, 40], 104)
האלקשי;(6, [5, 1, 30, 100, 300, 10], 446)
אל;(7, [1, 30], 31)
קנוא;(8, [100, 50, 6, 1], 157)
ונקם;(9, [6, 50, 100, 40], 196)
יהוה;(10, [10, 5, 6, 5], 26)
נקם;(11, [50, 100, 40], 190)
יהוה;(12, [10, 5, 6, 5], 26)
ובעל;(13, [6, 2, 70, 30], 108)
חמה;(14, [8, 40, 5], 53)
נקם;(15, [50, 100, 40], 190)
יהוה;(16, [10, 5, 6, 5], 26)
לצריו;(17, [30, 90, 200, 10, 6], 336)
ונוטר;(18, [6, 50, 6, 9, 200], 271)
הוא;(19, [5, 6, 1], 12)
לאיביו;(20, [30, 1, 10, 2, 10, 6], 59)
יהוה;(21, [10, 5, 6, 5], 26)
ארך;(22, [1, 200, 20], 221)
אפים;(23, [1, 80, 10, 40], 131)
וגדול;(24, [6, 3, 4, 6, 30], 49)
כח;(25, [20, 8], 28)
ונקה;(26, [6, 50, 100, 5], 161)
לא;(27, [30, 1], 31)
ינקה;(28, [10, 50, 100, 5], 165)
יהוה;(29, [10, 5, 6, 5], 26)
בסופה;(30, [2, 60, 6, 80, 5], 153)
ובשערה;(31, [6, 2, 300, 70, 200, 5], 583)
דרכו;(32, [4, 200, 20, 6], 230)
וענן;(33, [6, 70, 50, 50], 176)
אבק;(34, [1, 2, 100], 103)
רגליו;(35, [200, 3, 30, 10, 6], 249)
גוער;(36, [3, 6, 70, 200], 279)
בים;(37, [2, 10, 40], 52)
ויבשהו;(38, [6, 10, 2, 300, 5, 6], 329)
וכל;(39, [6, 20, 30], 56)
הנהרות;(40, [5, 50, 5, 200, 6, 400], 666)
החריב;(41, [5, 8, 200, 10, 2], 225)
אמלל;(42, [1, 40, 30, 30], 101)
בשן;(43, [2, 300, 50], 352)
וכרמל;(44, [6, 20, 200, 40, 30], 296)
ופרח;(45, [6, 80, 200, 8], 294)
לבנון;(46, [30, 2, 50, 6, 50], 138)
אמלל;(47, [1, 40, 30, 30], 101)
הרים;(48, [5, 200, 10, 40], 255)
רעשו;(49, [200, 70, 300, 6], 576)
ממנו;(50, [40, 40, 50, 6], 136)
והגבעות;(51, [6, 5, 3, 2, 70, 6, 400], 492)
התמגגו;(52, [5, 400, 40, 3, 3, 6], 457)
ותשא;(53, [6, 400, 300, 1], 707)
הארץ;(54, [5, 1, 200, 90], 296)
מפניו;(55, [40, 80, 50, 10, 6], 186)
ותבל;(56, [6, 400, 2, 30], 438)
וכל;(57, [6, 20, 30], 56)
ישבי;(58, [10, 300, 2, 10], 322)
בה;(59, [2, 5], 7)
לפני;(60, [30, 80, 50, 10], 170)
זעמו;(61, [7, 70, 40, 6], 123)
מי;(62, [40, 10], 50)
יעמוד;(63, [10, 70, 40, 6, 4], 130)
ומי;(64, [6, 40, 10], 56)
יקום;(65, [10, 100, 6, 40], 156)
בחרון;(66, [2, 8, 200, 6, 50], 266)
אפו;(67, [1, 80, 6], 87)
חמתו;(68, [8, 40, 400, 6], 454)
נתכה;(69, [50, 400, 20, 5], 475)
כאש;(70, [20, 1, 300], 321)
והצרים;(71, [6, 5, 90, 200, 10, 40], 351)
נתצו;(72, [50, 400, 90, 6], 546)
ממנו;(73, [40, 40, 50, 6], 136)
טוב;(74, [9, 6, 2], 17)
יהוה;(75, [10, 5, 6, 5], 26)
למעוז;(76, [30, 40, 70, 6, 7], 153)
ביום;(77, [2, 10, 6, 40], 58)
צרה;(78, [90, 200, 5], 295)
וידע;(79, [6, 10, 4, 70], 90)
חסי;(80, [8, 60, 10], 78)
בו;(81, [2, 6], 8)
ובשטף;(82, [6, 2, 300, 9, 80], 397)
עבר;(83, [70, 2, 200], 272)
כלה;(84, [20, 30, 5], 55)
יעשה;(85, [10, 70, 300, 5], 385)
מקומה;(86, [40, 100, 6, 40, 5], 191)
ואיביו;(87, [6, 1, 10, 2, 10, 6], 35)
ירדף;(88, [10, 200, 4, 80], 294)
חשך;(89, [8, 300, 20], 328)
מה;(90, [40, 5], 45)
תחשבון;(91, [400, 8, 300, 2, 6, 50], 766)
אל;(92, [1, 30], 31)
יהוה;(93, [10, 5, 6, 5], 26)
כלה;(94, [20, 30, 5], 55)
הוא;(95, [5, 6, 1], 12)
עשה;(96, [70, 300, 5], 375)
לא;(97, [30, 1], 31)
תקום;(98, [400, 100, 6, 40], 546)
פעמים;(99, [80, 70, 40, 10, 40], 240)
צרה;(100, [90, 200, 5], 295)
