דבר;(1, [4, 2, 200], 206)
יהוה;(2, [10, 5, 6, 5], 26)
אשר;(3, [1, 300, 200], 501)
היה;(4, [5, 10, 5], 20)
אל;(5, [1, 30], 31)
צפניה;(6, [90, 80, 50, 10, 5], 235)
בן;(7, [2, 50], 52)
כושי;(8, [20, 6, 300, 10], 336)
בן;(9, [2, 50], 52)
גדליה;(10, [3, 4, 30, 10, 5], 52)
בן;(11, [2, 50], 52)
אמריה;(12, [1, 40, 200, 10, 5], 256)
בן;(13, [2, 50], 52)
חזקיה;(14, [8, 7, 100, 10, 5], 130)
בימי;(15, [2, 10, 40, 10], 62)
יאשיהו;(16, [10, 1, 300, 10, 5, 6], 332)
בן;(17, [2, 50], 52)
אמון;(18, [1, 40, 6, 50], 97)
מלך;(19, [40, 30, 20], 90)
יהודה;(20, [10, 5, 6, 4, 5], 30)
אסף;(21, [1, 60, 80], 141)
אסף;(22, [1, 60, 80], 141)
כל;(23, [20, 30], 50)
מעל;(24, [40, 70, 30], 140)
פני;(25, [80, 50, 10], 140)
האדמה;(26, [5, 1, 4, 40, 5], 55)
נאם;(27, [50, 1, 40], 91)
יהוה;(28, [10, 5, 6, 5], 26)
אסף;(29, [1, 60, 80], 141)
אדם;(30, [1, 4, 40], 45)
ובהמה;(31, [6, 2, 5, 40, 5], 58)
אסף;(32, [1, 60, 80], 141)
עוף;(33, [70, 6, 80], 156)
השמים;(34, [5, 300, 40, 10, 40], 395)
ודגי;(35, [6, 4, 3, 10], 23)
הים;(36, [5, 10, 40], 55)
והמכשלות;(37, [6, 5, 40, 20, 300, 30, 6, 400], 807)
את;(38, [1, 400], 401)
הרשעים;(39, [5, 200, 300, 70, 10, 40], 625)
והכרתי;(40, [6, 5, 20, 200, 400, 10], 641)
את;(41, [1, 400], 401)
האדם;(42, [5, 1, 4, 40], 50)
מעל;(43, [40, 70, 30], 140)
פני;(44, [80, 50, 10], 140)
האדמה;(45, [5, 1, 4, 40, 5], 55)
נאם;(46, [50, 1, 40], 91)
יהוה;(47, [10, 5, 6, 5], 26)
ונטיתי;(48, [6, 50, 9, 10, 400, 10], 485)
