משא;(1, [40, 300, 1], 341)
דבר;(2, [4, 2, 200], 206)
יהוה;(3, [10, 5, 6, 5], 26)
אל;(4, [1, 30], 31)
ישראל;(5, [10, 300, 200, 1, 30], 541)
ביד;(6, [2, 10, 4], 16)
מלאכי;(7, [40, 30, 1, 20, 10], 101)
אהבתי;(8, [1, 5, 2, 400, 10], 418)
אתכם;(9, [1, 400, 20, 40], 461)
אמר;(10, [1, 40, 200], 241)
יהוה;(11, [10, 5, 6, 5], 26)
ואמרתם;(12, [6, 1, 40, 200, 400, 40], 687)
במה;(13, [2, 40, 5], 47)
אהבתנו;(14, [1, 5, 2, 400, 50, 6], 464)
הלוא;(15, [5, 30, 6, 1], 42)
אח;(16, [1, 8], 9)
עשו;(17, [70, 300, 6], 376)
ליעקב;(18, [30, 10, 70, 100, 2], 212)
נאם;(19, [50, 1, 40], 91)
יהוה;(20, [10, 5, 6, 5], 26)
ואהב;(21, [6, 1, 5, 2], 14)
את;(22, [1, 400], 401)
יעקב;(23, [10, 70, 100, 2], 182)
ואת;(24, [6, 1, 400], 407)
עשו;(25, [70, 300, 6], 376)
שנאתי;(26, [300, 50, 1, 400, 10], 761)
ואשים;(27, [6, 1, 300, 10, 40], 357)
את;(28, [1, 400], 401)
הריו;(29, [5, 200, 10, 6], 221)
שממה;(30, [300, 40, 40, 5], 385)
ואת;(31, [6, 1, 400], 407)
נחלתו;(32, [50, 8, 30, 400, 6], 494)
לתנות;(33, [30, 400, 50, 6, 400], 886)
מדבר;(34, [40, 4, 2, 200], 246)
כי;(35, [20, 10], 30)
תאמר;(36, [400, 1, 40, 200], 641)
אדום;(37, [1, 4, 6, 40], 51)
רששנו;(38, [200, 300, 300, 50, 6], 856)
ונשוב;(39, [6, 50, 300, 6, 2], 364)
ונבנה;(40, [6, 50, 2, 50, 5], 113)
חרבות;(41, [8, 200, 2, 6, 400], 616)
כה;(42, [20, 5], 25)
אמר;(43, [1, 40, 200], 241)
יהוה;(44, [10, 5, 6, 5], 26)
צבאות;(45, [90, 2, 1, 6, 400], 499)
המה;(46, [5, 40, 5], 50)
יבנו;(47, [10, 2, 50, 6], 68)
ואני;(48, [6, 1, 50, 10], 67)
אהרוס;(49, [1, 5, 200, 6, 60], 272)
וקראו;(50, [6, 100, 200, 1, 6], 313)
להם;(51, [30, 5, 40], 75)
גבול;(52, [3, 2, 6, 30], 41)
