משלי;(1, [40, 300, 30, 10], 380)
שלמה;(2, [300, 30, 40, 5], 375)
בן;(3, [2, 50], 52)
דוד;(4, [4, 6, 4], 14)
מלך;(5, [40, 30, 20], 90)
ישראל;(6, [10, 300, 200, 1, 30], 541)
לדעת;(7, [30, 4, 70, 400], 504)
חכמה;(8, [8, 20, 40, 5], 73)
ומוסר;(9, [6, 40, 6, 60, 200], 312)
להבין;(10, [30, 5, 2, 10, 50], 97)
אמרי;(11, [1, 40, 200, 10], 251)
בינה;(12, [2, 10, 50, 5], 67)
לקחת;(13, [30, 100, 8, 400], 538)
מוסר;(14, [40, 6, 60, 200], 306)
השכל;(15, [5, 300, 20, 30], 355)
צדק;(16, [90, 4, 100], 194)
ומשפט;(17, [6, 40, 300, 80, 9], 435)
ומישרים;(18, [6, 40, 10, 300, 200, 10, 40], 606)
לתת;(19, [30, 400, 400], 830)
לפתאים;(20, [30, 80, 400, 1, 10, 40], 561)
ערמה;(21, [70, 200, 40, 5], 315)
לנער;(22, [30, 50, 70, 200], 350)
דעת;(23, [4, 70, 400], 474)
ומזמה;(24, [6, 40, 7, 40, 5], 98)
ישמע;(25, [10, 300, 40, 70], 420)
חכם;(26, [8, 20, 40], 68)
ויוסף;(27, [6, 10, 6, 60, 80], 162)
לקח;(28, [30, 100, 8], 138)
ונבון;(29, [6, 50, 2, 6, 50], 114)
תחבלות;(30, [400, 8, 2, 30, 6, 400], 846)
יקנה;(31, [10, 100, 50, 5], 165)
להבין;(32, [30, 5, 2, 10, 50], 97)
משל;(33, [40, 300, 30], 370)
ומליצה;(34, [6, 40, 30, 10, 90, 5], 181)
דברי;(35, [4, 2, 200, 10], 216)
חכמים;(36, [8, 20, 40, 10, 40], 118)
וחידתם;(37, [6, 8, 10, 4, 400, 40], 468)
יראת;(38, [10, 200, 1, 400], 611)
יהוה;(39, [10, 5, 6, 5], 26)
ראשית;(40, [200, 1, 300, 10, 400], 911)
דעת;(41, [4, 70, 400], 474)
חכמה;(42, [8, 20, 40, 5], 73)
ומוסר;(43, [6, 40, 6, 60, 200], 312)
אוילים;(44, [1, 6, 10, 30, 10, 40], 97)
בזו;(45, [2, 7, 6], 15)
שמע;(46, [300, 40, 70], 410)
בני;(47, [2, 50, 10], 62)
מוסר;(48, [40, 6, 60, 200], 306)
אביך;(49, [1, 2, 10, 20], 33)
ואל;(50, [6, 1, 30], 37)
תטש;(51, [400, 9, 300], 709)
תורת;(52, [400, 6, 200, 400], 1006)
אמך;(53, [1, 40, 20], 61)
כי;(54, [20, 10], 30)
לוית;(55, [30, 6, 10, 400], 446)
חן;(56, [8, 50], 58)
הם;(57, [5, 40], 45)
לראשך;(58, [30, 200, 1, 300, 20], 551)
וענקים;(59, [6, 70, 50, 100, 10, 40], 276)
לגרגרתיך;(60, [30, 3, 200, 3, 200, 400, 10, 20], 866)
בני;(61, [2, 50, 10], 62)
אם;(62, [1, 40], 41)
יפתוך;(63, [10, 80, 400, 6, 20], 516)
חטאים;(64, [8, 9, 1, 10, 40], 68)
אל;(65, [1, 30], 31)
תבא;(66, [400, 2, 1], 403)
אם;(67, [1, 40], 41)
יאמרו;(68, [10, 1, 40, 200, 6], 257)
לכה;(69, [30, 20, 5], 55)
אתנו;(70, [1, 400, 50, 6], 457)
נארבה;(71, [50, 1, 200, 2, 5], 258)
