איש;(1, [1, 10, 300], 311)
היה;(2, [5, 10, 5], 20)
בארץ;(3, [2, 1, 200, 90], 293)
עוץ;(4, [70, 6, 90], 166)
איוב;(5, [1, 10, 6, 2], 19)
שמו;(6, [300, 40, 6], 346)
והיה;(7, [6, 5, 10, 5], 26)
האיש;(8, [5, 1, 10, 300], 316)
ההוא;(9, [5, 5, 6, 1], 17)
תם;(10, [400, 40], 440)
וישר;(11, [6, 10, 300, 200], 516)
וירא;(12, [6, 10, 200, 1], 217)
אלהים;(13, [1, 30, 5, 10, 40], 86)
וסר;(14, [6, 60, 200], 266)
מרע;(15, [40, 200, 70], 310)
ויולדו;(16, [6, 10, 6, 30, 4, 6], 62)
לו;(17, [30, 6], 36)
שבעה;(18, [300, 2, 70, 5], 377)
בנים;(19, [2, 50, 10, 40], 102)
ושלוש;(20, [6, 300, 30, 6, 300], 642)
בנות;(21, [2, 50, 6, 400], 458)
ויהי;(22, [6, 10, 5, 10], 31)
מקנהו;(23, [40, 100, 50, 5, 6], 201)
שבעת;(24, [300, 2, 70, 400], 772)
אלפי;(25, [1, 30, 80, 10], 121)
צאן;(26, [90, 1, 50], 141)
ושלשת;(27, [6, 300, 30, 300, 400], 1036)
אלפי;(28, [1, 30, 80, 10], 121)
גמלים;(29, [3, 40, 30, 10, 40], 123)
וחמש;(30, [6, 8, 40, 300], 354)
מאות;(31, [40, 1, 6, 400], 447)
צמד;(32, [90, 40, 4], 134)
בקר;(33, [2, 100, 200], 302)
וחמש;(34, [6, 8, 40, 300], 354)
מאות;(35, [40, 1, 6, 400], 447)
אתונות;(36, [1, 400, 6, 50, 6, 400], 863)
ועבדה;(37, [6, 70, 2, 4, 5], 87)
רבה;(38, [200, 2, 5], 207)
מאד;(39, [40, 1, 4], 45)
ויהי;(40, [6, 10, 5, 10], 31)
האיש;(41, [5, 1, 10, 300], 316)
ההוא;(42, [5, 5, 6, 1], 17)
גדול;(43, [3, 4, 6, 30], 43)
מכל;(44, [40, 20, 30], 90)
בני;(45, [2, 50, 10], 62)
קדם;(46, [100, 4, 40], 144)
והלכו;(47, [6, 5, 30, 20, 6], 67)
בניו;(48, [2, 50, 10, 6], 68)
ועשו;(49, [6, 70, 300, 6], 382)
משתה;(50, [40, 300, 400, 5], 745)
בית;(51, [2, 10, 400], 412)
איש;(52, [1, 10, 300], 311)
יומו;(53, [10, 6, 40, 6], 62)
ושלחו;(54, [6, 300, 30, 8, 6], 350)
וקראו;(55, [6, 100, 200, 1, 6], 313)
לשלשת;(56, [30, 300, 30, 300, 400], 1060)
אחיתיהם;(57, [1, 8, 10, 400, 10, 5, 40], 474)
לאכל;(58, [30, 1, 20, 30], 81)
ולשתות;(59, [6, 30, 300, 400, 6, 400], 1142)
עמהם;(60, [70, 40, 5, 40], 155)
ויהי;(61, [6, 10, 5, 10], 31)
כי;(62, [20, 10], 30)
הקיפו;(63, [5, 100, 10, 80, 6], 201)
ימי;(64, [10, 40, 10], 60)
המשתה;(65, [5, 40, 300, 400, 5], 750)
וישלח;(66, [6, 10, 300, 30, 8], 354)
איוב;(67, [1, 10, 6, 2], 19)
ויקדשם;(68, [6, 10, 100, 4, 300, 40], 460)
והשכים;(69, [6, 5, 300, 20, 10, 40], 381)
