ואלה;(1, [6, 1, 30, 5], 42)
שמות;(2, [300, 40, 6, 400], 746)
בני;(3, [2, 50, 10], 62)
ישראל;(4, [10, 300, 200, 1, 30], 541)
הבאים;(5, [5, 2, 1, 10, 40], 58)
מצרימה;(6, [40, 90, 200, 10, 40, 5], 385)
את;(7, [1, 400], 401)
יעקב;(8, [10, 70, 100, 2], 182)
איש;(9, [1, 10, 300], 311)
וביתו;(10, [6, 2, 10, 400, 6], 424)
באו;(11, [2, 1, 6], 9)
ראובן;(12, [200, 1, 6, 2, 50], 259)
שמעון;(13, [300, 40, 70, 6, 50], 466)
לוי;(14, [30, 6, 10], 46)
ויהודה;(15, [6, 10, 5, 6, 4, 5], 36)
יששכר;(16, [10, 300, 300, 20, 200], 830)
זבולן;(17, [7, 2, 6, 30, 50], 95)
ובנימן;(18, [6, 2, 50, 10, 40, 50], 158)
דן;(19, [4, 50], 54)
ונפתלי;(20, [6, 50, 80, 400, 30, 10], 576)
גד;(21, [3, 4], 7)
ואשר;(22, [6, 1, 300, 200], 507)
ויהי;(23, [6, 10, 5, 10], 31)
כל;(24, [20, 30], 50)
נפש;(25, [50, 80, 300], 430)
יצאי;(26, [10, 90, 1, 10], 111)
ירך;(27, [10, 200, 20], 230)
יעקב;(28, [10, 70, 100, 2], 182)
שבעים;(29, [300, 2, 70, 10, 40], 422)
נפש;(30, [50, 80, 300], 430)
ויוסף;(31, [6, 10, 6, 60, 80], 162)
היה;(32, [5, 10, 5], 20)
במצרים;(33, [2, 40, 90, 200, 10, 40], 382)
וימת;(34, [6, 10, 40, 400], 456)
יוסף;(35, [10, 6, 60, 80], 156)
וכל;(36, [6, 20, 30], 56)
אחיו;(37, [1, 8, 10, 6], 25)
וכל;(38, [6, 20, 30], 56)
הדור;(39, [5, 4, 6, 200], 215)
ההוא;(40, [5, 5, 6, 1], 17)
ובני;(41, [6, 2, 50, 10], 68)
ישראל;(42, [10, 300, 200, 1, 30], 541)
פרו;(43, [80, 200, 6], 286)
וישרצו;(44, [6, 10, 300, 200, 90, 6], 612)
וירבו;(45, [6, 10, 200, 2, 6], 224)
ויעצמו;(46, [6, 10, 70, 90, 40, 6], 222)
במאד;(47, [2, 40, 1, 4], 47)
מאד;(48, [40, 1, 4], 45)
ותמלא;(49, [6, 400, 40, 30, 1], 477)
הארץ;(50, [5, 1, 200, 90], 296)
אתם;(51, [1, 400, 40], 441)
ויקם;(52, [6, 10, 100, 40], 156)
מלך;(53, [40, 30, 20], 90)
חדש;(54, [8, 4, 300], 312)
על;(55, [70, 30], 100)
מצרים;(56, [40, 90, 200, 10, 40], 380)
אשר;(57, [1, 300, 200], 501)
