שיר;(1, [300, 10, 200], 510)
השירים;(2, [5, 300, 10, 200, 10, 40], 565)
אשר;(3, [1, 300, 200], 501)
לשלמה;(4, [30, 300, 30, 40, 5], 405)
ישקני;(5, [10, 300, 100, 50, 10], 470)
מנשיקות;(6, [40, 50, 300, 10, 100, 6, 400], 906)
פיהו;(7, [80, 10, 5, 6], 101)
כי;(8, [20, 10], 30)
טובים;(9, [9, 6, 2, 10, 40], 67)
דדיך;(10, [4, 4, 10, 20], 38)
מיין;(11, [40, 10, 10, 50], 110)
לריח;(12, [30, 200, 10, 8], 248)
שמניך;(13, [300, 40, 50, 10, 20], 420)
טובים;(14, [9, 6, 2, 10, 40], 67)
שמן;(15, [300, 40, 50], 390)
תורק;(16, [400, 6, 200, 100], 706)
שמך;(17, [300, 40, 20], 360)
על;(18, [70, 30], 100)
כן;(19, [20, 50], 70)
עלמות;(20, [70, 30, 40, 6, 400], 546)
אהבוך;(21, [1, 5, 2, 6, 20], 34)
משכני;(22, [40, 300, 20, 50, 10], 420)
אחריך;(23, [1, 8, 200, 10, 20], 239)
נרוצה;(24, [50, 200, 6, 90, 5], 351)
הביאני;(25, [5, 2, 10, 1, 50, 10], 78)
המלך;(26, [5, 40, 30, 20], 95)
חדריו;(27, [8, 4, 200, 10, 6], 228)
נגילה;(28, [50, 3, 10, 30, 5], 98)
ונשמחה;(29, [6, 50, 300, 40, 8, 5], 409)
בך;(30, [2, 20], 22)
נזכירה;(31, [50, 7, 20, 10, 200, 5], 292)
דדיך;(32, [4, 4, 10, 20], 38)
מיין;(33, [40, 10, 10, 50], 110)
מישרים;(34, [40, 10, 300, 200, 10, 40], 600)
אהבוך;(35, [1, 5, 2, 6, 20], 34)
שחורה;(36, [300, 8, 6, 200, 5], 519)
אני;(37, [1, 50, 10], 61)
ונאוה;(38, [6, 50, 1, 6, 5], 68)
בנות;(39, [2, 50, 6, 400], 458)
ירושלם;(40, [10, 200, 6, 300, 30, 40], 586)
כאהלי;(41, [20, 1, 5, 30, 10], 66)
קדר;(42, [100, 4, 200], 304)
כיריעות;(43, [20, 10, 200, 10, 70, 6, 400], 716)
שלמה;(44, [300, 30, 40, 5], 375)
אל;(45, [1, 30], 31)
תראוני;(46, [400, 200, 1, 6, 50, 10], 667)
שאני;(47, [300, 1, 50, 10], 361)
שחרחרת;(48, [300, 8, 200, 8, 200, 400], 1116)
ששזפתני;(49, [300, 300, 7, 80, 400, 50, 10], 1147)
השמש;(50, [5, 300, 40, 300], 645)
בני;(51, [2, 50, 10], 62)
אמי;(52, [1, 40, 10], 51)
נחרו;(53, [50, 8, 200, 6], 264)
בי;(54, [2, 10], 12)
שמני;(55, [300, 40, 50, 10], 400)
נטרה;(56, [50, 9, 200, 5], 264)
את;(57, [1, 400], 401)
הכרמים;(58, [5, 20, 200, 40, 10, 40], 315)
כרמי;(59, [20, 200, 40, 10], 270)
שלי;(60, [300, 30, 10], 340)
לא;(61, [30, 1], 31)
נטרתי;(62, [50, 9, 200, 400, 10], 669)
הגידה;(63, [5, 3, 10, 4, 5], 27)
לי;(64, [30, 10], 40)
שאהבה;(65, [300, 1, 5, 2, 5], 313)
נפשי;(66, [50, 80, 300, 10], 440)
איכה;(67, [1, 10, 20, 5], 36)
תרעה;(68, [400, 200, 70, 5], 675)
איכה;(69, [1, 10, 20, 5], 36)
תרביץ;(70, [400, 200, 2, 10, 90], 702)
בצהרים;(71, [2, 90, 5, 200, 10, 40], 347)
שלמה;(72, [300, 30, 40, 5], 375)
אהיה;(73, [1, 5, 10, 5], 21)
כעטיה;(74, [20, 70, 9, 10, 5], 114)
על;(75, [70, 30], 100)
עדרי;(76, [70, 4, 200, 10], 284)
חבריך;(77, [8, 2, 200, 10, 20], 240)
אם;(78, [1, 40], 41)
לא;(79, [30, 1], 31)
תדעי;(80, [400, 4, 70, 10], 484)
לך;(81, [30, 20], 50)
היפה;(82, [5, 10, 80, 5], 100)
בנשים;(83, [2, 50, 300, 10, 40], 402)
צאי;(84, [90, 1, 10], 101)
לך;(85, [30, 20], 50)
בעקבי;(86, [2, 70, 100, 2, 10], 184)
הצאן;(87, [5, 90, 1, 50], 146)
ורעי;(88, [6, 200, 70, 10], 286)
את;(89, [1, 400], 401)
גדיתיך;(90, [3, 4, 10, 400, 10, 20], 447)
על;(91, [70, 30], 100)
משכנות;(92, [40, 300, 20, 50, 6, 400], 816)
הרעים;(93, [5, 200, 70, 10, 40], 325)
לססתי;(94, [30, 60, 60, 400, 10], 560)
ברכבי;(95, [2, 200, 20, 2, 10], 234)
פרעה;(96, [80, 200, 70, 5], 355)
דמיתיך;(97, [4, 40, 10, 400, 10, 20], 484)
רעיתי;(98, [200, 70, 10, 400, 10], 690)
נאוו;(99, [50, 1, 6, 6], 63)
לחייך;(100, [30, 8, 10, 10, 20], 78)
בתרים;(101, [2, 400, 200, 10, 40], 652)
צוארך;(102, [90, 6, 1, 200, 20], 317)
בחרוזים;(103, [2, 8, 200, 6, 7, 10, 40], 273)
תורי;(104, [400, 6, 200, 10], 616)
זהב;(105, [7, 5, 2], 14)
נעשה;(106, [50, 70, 300, 5], 425)
לך;(107, [30, 20], 50)
עם;(108, [70, 40], 110)
נקדות;(109, [50, 100, 4, 6, 400], 560)
הכסף;(110, [5, 20, 60, 80], 165)
עד;(111, [70, 4], 74)
שהמלך;(112, [300, 5, 40, 30, 20], 395)
במסבו;(113, [2, 40, 60, 2, 6], 110)
נרדי;(114, [50, 200, 4, 10], 264)
נתן;(115, [50, 400, 50], 500)
ריחו;(116, [200, 10, 8, 6], 224)
צרור;(117, [90, 200, 6, 200], 496)
המר;(118, [5, 40, 200], 245)
דודי;(119, [4, 6, 4, 10], 24)
לי;(120, [30, 10], 40)
בין;(121, [2, 10, 50], 62)
שדי;(122, [300, 4, 10], 314)
ילין;(123, [10, 30, 10, 50], 100)
אשכל;(124, [1, 300, 20, 30], 351)
הכפר;(125, [5, 20, 80, 200], 305)
דודי;(126, [4, 6, 4, 10], 24)
לי;(127, [30, 10], 40)
בכרמי;(128, [2, 20, 200, 40, 10], 272)
עין;(129, [70, 10, 50], 130)
גדי;(130, [3, 4, 10], 17)
הנך;(131, [5, 50, 20], 75)
יפה;(132, [10, 80, 5], 95)
רעיתי;(133, [200, 70, 10, 400, 10], 690)
הנך;(134, [5, 50, 20], 75)
יפה;(135, [10, 80, 5], 95)
עיניך;(136, [70, 10, 50, 10, 20], 160)
יונים;(137, [10, 6, 50, 10, 40], 116)
הנך;(138, [5, 50, 20], 75)
יפה;(139, [10, 80, 5], 95)
דודי;(140, [4, 6, 4, 10], 24)
אף;(141, [1, 80], 81)
נעים;(142, [50, 70, 10, 40], 170)
אף;(143, [1, 80], 81)
ערשנו;(144, [70, 200, 300, 50, 6], 626)
רעננה;(145, [200, 70, 50, 50, 5], 375)
קרות;(146, [100, 200, 6, 400], 706)
בתינו;(147, [2, 400, 10, 50, 6], 468)
ארזים;(148, [1, 200, 7, 10, 40], 258)
רחיטנו;(149, [200, 8, 10, 9, 50, 6], 283)
ברותים;(150, [2, 200, 6, 400, 10, 40], 658)
אני;(151, [1, 50, 10], 61)
חבצלת;(152, [8, 2, 90, 30, 400], 530)
השרון;(153, [5, 300, 200, 6, 50], 561)
שושנת;(154, [300, 6, 300, 50, 400], 1056)
העמקים;(155, [5, 70, 40, 100, 10, 40], 265)
כשושנה;(156, [20, 300, 6, 300, 50, 5], 681)
בין;(157, [2, 10, 50], 62)
החוחים;(158, [5, 8, 6, 8, 10, 40], 77)
כן;(159, [20, 50], 70)
רעיתי;(160, [200, 70, 10, 400, 10], 690)
בין;(161, [2, 10, 50], 62)
הבנות;(162, [5, 2, 50, 6, 400], 463)
כתפוח;(163, [20, 400, 80, 6, 8], 514)
בעצי;(164, [2, 70, 90, 10], 172)
היער;(165, [5, 10, 70, 200], 285)
כן;(166, [20, 50], 70)
דודי;(167, [4, 6, 4, 10], 24)
בין;(168, [2, 10, 50], 62)
הבנים;(169, [5, 2, 50, 10, 40], 107)
בצלו;(170, [2, 90, 30, 6], 128)
חמדתי;(171, [8, 40, 4, 400, 10], 462)
וישבתי;(172, [6, 10, 300, 2, 400, 10], 728)
ופריו;(173, [6, 80, 200, 10, 6], 302)
מתוק;(174, [40, 400, 6, 100], 546)
לחכי;(175, [30, 8, 20, 10], 68)
הביאני;(176, [5, 2, 10, 1, 50, 10], 78)
אל;(177, [1, 30], 31)
בית;(178, [2, 10, 400], 412)
היין;(179, [5, 10, 10, 50], 75)
ודגלו;(180, [6, 4, 3, 30, 6], 49)
עלי;(181, [70, 30, 10], 110)
אהבה;(182, [1, 5, 2, 5], 13)
סמכוני;(183, [60, 40, 20, 6, 50, 10], 186)
באשישות;(184, [2, 1, 300, 10, 300, 6, 400], 1019)
רפדוני;(185, [200, 80, 4, 6, 50, 10], 350)
בתפוחים;(186, [2, 400, 80, 6, 8, 10, 40], 546)
כי;(187, [20, 10], 30)
חולת;(188, [8, 6, 30, 400], 444)
אהבה;(189, [1, 5, 2, 5], 13)
אני;(190, [1, 50, 10], 61)
שמאלו;(191, [300, 40, 1, 30, 6], 377)
תחת;(192, [400, 8, 400], 808)
לראשי;(193, [30, 200, 1, 300, 10], 541)
וימינו;(194, [6, 10, 40, 10, 50, 6], 122)
תחבקני;(195, [400, 8, 2, 100, 50, 10], 570)
השבעתי;(196, [5, 300, 2, 70, 400, 10], 787)
אתכם;(197, [1, 400, 20, 40], 461)
בנות;(198, [2, 50, 6, 400], 458)
ירושלם;(199, [10, 200, 6, 300, 30, 40], 586)
בצבאות;(200, [2, 90, 2, 1, 6, 400], 501)
או;(201, [1, 6], 7)
באילות;(202, [2, 1, 10, 30, 6, 400], 449)
השדה;(203, [5, 300, 4, 5], 314)
אם;(204, [1, 40], 41)
תעירו;(205, [400, 70, 10, 200, 6], 686)
ואם;(206, [6, 1, 40], 47)
תעוררו;(207, [400, 70, 6, 200, 200, 6], 882)
את;(208, [1, 400], 401)
האהבה;(209, [5, 1, 5, 2, 5], 18)
עד;(210, [70, 4], 74)
שתחפץ;(211, [300, 400, 8, 80, 90], 878)
קול;(212, [100, 6, 30], 136)
דודי;(213, [4, 6, 4, 10], 24)
הנה;(214, [5, 50, 5], 60)
זה;(215, [7, 5], 12)
בא;(216, [2, 1], 3)
מדלג;(217, [40, 4, 30, 3], 77)
על;(218, [70, 30], 100)
ההרים;(219, [5, 5, 200, 10, 40], 260)
מקפץ;(220, [40, 100, 80, 90], 310)
על;(221, [70, 30], 100)
הגבעות;(222, [5, 3, 2, 70, 6, 400], 486)
דומה;(223, [4, 6, 40, 5], 55)
דודי;(224, [4, 6, 4, 10], 24)
לצבי;(225, [30, 90, 2, 10], 132)
או;(226, [1, 6], 7)
לעפר;(227, [30, 70, 80, 200], 380)
האילים;(228, [5, 1, 10, 30, 10, 40], 96)
הנה;(229, [5, 50, 5], 60)
זה;(230, [7, 5], 12)
עומד;(231, [70, 6, 40, 4], 120)
אחר;(232, [1, 8, 200], 209)
כתלנו;(233, [20, 400, 30, 50, 6], 506)
משגיח;(234, [40, 300, 3, 10, 8], 361)
מן;(235, [40, 50], 90)
החלנות;(236, [5, 8, 30, 50, 6, 400], 499)
מציץ;(237, [40, 90, 10, 90], 230)
מן;(238, [40, 50], 90)
החרכים;(239, [5, 8, 200, 20, 10, 40], 283)
ענה;(240, [70, 50, 5], 125)
דודי;(241, [4, 6, 4, 10], 24)
ואמר;(242, [6, 1, 40, 200], 247)
לי;(243, [30, 10], 40)
קומי;(244, [100, 6, 40, 10], 156)
לך;(245, [30, 20], 50)
רעיתי;(246, [200, 70, 10, 400, 10], 690)
יפתי;(247, [10, 80, 400, 10], 500)
ולכי;(248, [6, 30, 20, 10], 66)
לך;(249, [30, 20], 50)
כי;(250, [20, 10], 30)
הנה;(251, [5, 50, 5], 60)
הסתו;(252, [5, 60, 400, 6], 471)
עבר;(253, [70, 2, 200], 272)
הגשם;(254, [5, 3, 300, 40], 348)
חלף;(255, [8, 30, 80], 118)
הלך;(256, [5, 30, 20], 55)
לו;(257, [30, 6], 36)
הנצנים;(258, [5, 50, 90, 50, 10, 40], 245)
נראו;(259, [50, 200, 1, 6], 257)
בארץ;(260, [2, 1, 200, 90], 293)
עת;(261, [70, 400], 470)
הזמיר;(262, [5, 7, 40, 10, 200], 262)
הגיע;(263, [5, 3, 10, 70], 88)
וקול;(264, [6, 100, 6, 30], 142)
התור;(265, [5, 400, 6, 200], 611)
נשמע;(266, [50, 300, 40, 70], 460)
בארצנו;(267, [2, 1, 200, 90, 50, 6], 349)
התאנה;(268, [5, 400, 1, 50, 5], 461)
חנטה;(269, [8, 50, 9, 5], 72)
פגיה;(270, [80, 3, 10, 5], 98)
והגפנים;(271, [6, 5, 3, 80, 50, 10, 40], 194)
סמדר;(272, [60, 40, 4, 200], 304)
נתנו;(273, [50, 400, 50, 6], 506)
ריח;(274, [200, 10, 8], 218)
קומי;(275, [100, 6, 40, 10], 156)
לכי;(276, [30, 20, 10], 60)
רעיתי;(277, [200, 70, 10, 400, 10], 690)
יפתי;(278, [10, 80, 400, 10], 500)
ולכי;(279, [6, 30, 20, 10], 66)
לך;(280, [30, 20], 50)
יונתי;(281, [10, 6, 50, 400, 10], 476)
בחגוי;(282, [2, 8, 3, 6, 10], 29)
הסלע;(283, [5, 60, 30, 70], 165)
בסתר;(284, [2, 60, 400, 200], 662)
המדרגה;(285, [5, 40, 4, 200, 3, 5], 257)
הראיני;(286, [5, 200, 1, 10, 50, 10], 276)
את;(287, [1, 400], 401)
מראיך;(288, [40, 200, 1, 10, 20], 271)
השמיעיני;(289, [5, 300, 40, 10, 70, 10, 50, 10], 495)
