ויהי;(1, [6, 10, 5, 10], 31)
בימי;(2, [2, 10, 40, 10], 62)
שפט;(3, [300, 80, 9], 389)
השפטים;(4, [5, 300, 80, 9, 10, 40], 444)
ויהי;(5, [6, 10, 5, 10], 31)
רעב;(6, [200, 70, 2], 272)
בארץ;(7, [2, 1, 200, 90], 293)
וילך;(8, [6, 10, 30, 20], 66)
איש;(9, [1, 10, 300], 311)
מבית;(10, [40, 2, 10, 400], 452)
לחם;(11, [30, 8, 40], 78)
יהודה;(12, [10, 5, 6, 4, 5], 30)
לגור;(13, [30, 3, 6, 200], 239)
בשדי;(14, [2, 300, 4, 10], 316)
מואב;(15, [40, 6, 1, 2], 49)
הוא;(16, [5, 6, 1], 12)
ואשתו;(17, [6, 1, 300, 400, 6], 713)
ושני;(18, [6, 300, 50, 10], 366)
בניו;(19, [2, 50, 10, 6], 68)
ושם;(20, [6, 300, 40], 346)
האיש;(21, [5, 1, 10, 300], 316)
אלימלך;(22, [1, 30, 10, 40, 30, 20], 131)
ושם;(23, [6, 300, 40], 346)
אשתו;(24, [1, 300, 400, 6], 707)
נעמי;(25, [50, 70, 40, 10], 170)
ושם;(26, [6, 300, 40], 346)
שני;(27, [300, 50, 10], 360)
בניו;(28, [2, 50, 10, 6], 68)
מחלון;(29, [40, 8, 30, 6, 50], 134)
וכליון;(30, [6, 20, 30, 10, 6, 50], 122)
אפרתים;(31, [1, 80, 200, 400, 10, 40], 731)
מבית;(32, [40, 2, 10, 400], 452)
לחם;(33, [30, 8, 40], 78)
יהודה;(34, [10, 5, 6, 4, 5], 30)
ויבאו;(35, [6, 10, 2, 1, 6], 25)
שדי;(36, [300, 4, 10], 314)
מואב;(37, [40, 6, 1, 2], 49)
ויהיו;(38, [6, 10, 5, 10, 6], 37)
שם;(39, [300, 40], 340)
וימת;(40, [6, 10, 40, 400], 456)
אלימלך;(41, [1, 30, 10, 40, 30, 20], 131)
איש;(42, [1, 10, 300], 311)
נעמי;(43, [50, 70, 40, 10], 170)
ותשאר;(44, [6, 400, 300, 1, 200], 907)
היא;(45, [5, 10, 1], 16)
ושני;(46, [6, 300, 50, 10], 366)
בניה;(47, [2, 50, 10, 5], 67)
וישאו;(48, [6, 10, 300, 1, 6], 323)
להם;(49, [30, 5, 40], 75)
נשים;(50, [50, 300, 10, 40], 400)
מאביות;(51, [40, 1, 2, 10, 6, 400], 459)
שם;(52, [300, 40], 340)
האחת;(53, [5, 1, 8, 400], 414)
ערפה;(54, [70, 200, 80, 5], 355)
ושם;(55, [6, 300, 40], 346)
השנית;(56, [5, 300, 50, 10, 400], 765)
