דברי;(1, [4, 2, 200, 10], 216)
קהלת;(2, [100, 5, 30, 400], 535)
בן;(3, [2, 50], 52)
דוד;(4, [4, 6, 4], 14)
מלך;(5, [40, 30, 20], 90)
בירושלם;(6, [2, 10, 200, 6, 300, 30, 40], 588)
הבל;(7, [5, 2, 30], 37)
הבלים;(8, [5, 2, 30, 10, 40], 87)
אמר;(9, [1, 40, 200], 241)
קהלת;(10, [100, 5, 30, 400], 535)
הבל;(11, [5, 2, 30], 37)
הבלים;(12, [5, 2, 30, 10, 40], 87)
הכל;(13, [5, 20, 30], 55)
הבל;(14, [5, 2, 30], 37)
מה;(15, [40, 5], 45)
יתרון;(16, [10, 400, 200, 6, 50], 666)
לאדם;(17, [30, 1, 4, 40], 75)
בכל;(18, [2, 20, 30], 52)
עמלו;(19, [70, 40, 30, 6], 146)
שיעמל;(20, [300, 10, 70, 40, 30], 450)
תחת;(21, [400, 8, 400], 808)
השמש;(22, [5, 300, 40, 300], 645)
דור;(23, [4, 6, 200], 210)
הלך;(24, [5, 30, 20], 55)
ודור;(25, [6, 4, 6, 200], 216)
בא;(26, [2, 1], 3)
והארץ;(27, [6, 5, 1, 200, 90], 302)
לעולם;(28, [30, 70, 6, 30, 40], 176)
עמדת;(29, [70, 40, 4, 400], 514)
וזרח;(30, [6, 7, 200, 8], 221)
השמש;(31, [5, 300, 40, 300], 645)
ובא;(32, [6, 2, 1], 9)
השמש;(33, [5, 300, 40, 300], 645)
ואל;(34, [6, 1, 30], 37)
מקומו;(35, [40, 100, 6, 40, 6], 192)
שואף;(36, [300, 6, 1, 80], 387)
זורח;(37, [7, 6, 200, 8], 221)
הוא;(38, [5, 6, 1], 12)
שם;(39, [300, 40], 340)
הולך;(40, [5, 6, 30, 20], 61)
אל;(41, [1, 30], 31)
דרום;(42, [4, 200, 6, 40], 250)
וסובב;(43, [6, 60, 6, 2, 2], 76)
אל;(44, [1, 30], 31)
צפון;(45, [90, 80, 6, 50], 226)
סובב;(46, [60, 6, 2, 2], 70)
סבב;(47, [60, 2, 2], 64)
הולך;(48, [5, 6, 30, 20], 61)
הרוח;(49, [5, 200, 6, 8], 219)
ועל;(50, [6, 70, 30], 106)
סביבתיו;(51, [60, 2, 10, 2, 400, 10, 6], 490)
שב;(52, [300, 2], 302)
הרוח;(53, [5, 200, 6, 8], 219)
כל;(54, [20, 30], 50)
הנחלים;(55, [5, 50, 8, 30, 10, 40], 143)
הלכים;(56, [5, 30, 20, 10, 40], 105)
אל;(57, [1, 30], 31)
הים;(58, [5, 10, 40], 55)
והים;(59, [6, 5, 10, 40], 61)
איננו;(60, [1, 10, 50, 50, 6], 117)
מלא;(61, [40, 30, 1], 71)
אל;(62, [1, 30], 31)
מקום;(63, [40, 100, 6, 40], 186)
שהנחלים;(64, [300, 5, 50, 8, 30, 10, 40], 443)
הלכים;(65, [5, 30, 20, 10, 40], 105)
שם;(66, [300, 40], 340)
הם;(67, [5, 40], 45)
שבים;(68, [300, 2, 10, 40], 352)
ללכת;(69, [30, 30, 20, 400], 480)
כל;(70, [20, 30], 50)
הדברים;(71, [5, 4, 2, 200, 10, 40], 261)
יגעים;(72, [10, 3, 70, 10, 40], 133)
לא;(73, [30, 1], 31)
יוכל;(74, [10, 6, 20, 30], 66)
איש;(75, [1, 10, 300], 311)
לדבר;(76, [30, 4, 2, 200], 236)
לא;(77, [30, 1], 31)
תשבע;(78, [400, 300, 2, 70], 772)
עין;(79, [70, 10, 50], 130)
לראות;(80, [30, 200, 1, 6, 400], 637)
ולא;(81, [6, 30, 1], 37)
תמלא;(82, [400, 40, 30, 1], 471)
אזן;(83, [1, 7, 50], 58)
משמע;(84, [40, 300, 40, 70], 450)
מה;(85, [40, 5], 45)
שהיה;(86, [300, 5, 10, 5], 320)
הוא;(87, [5, 6, 1], 12)
שיהיה;(88, [300, 10, 5, 10, 5], 330)
ומה;(89, [6, 40, 5], 51)
שנעשה;(90, [300, 50, 70, 300, 5], 725)
הוא;(91, [5, 6, 1], 12)
שיעשה;(92, [300, 10, 70, 300, 5], 685)
ואין;(93, [6, 1, 10, 50], 67)
כל;(94, [20, 30], 50)
חדש;(95, [8, 4, 300], 312)
תחת;(96, [400, 8, 400], 808)
השמש;(97, [5, 300, 40, 300], 645)
יש;(98, [10, 300], 310)
דבר;(99, [4, 2, 200], 206)
שיאמר;(100, [300, 10, 1, 40, 200], 551)
ראה;(101, [200, 1, 5], 206)
זה;(102, [7, 5], 12)
חדש;(103, [8, 4, 300], 312)
הוא;(104, [5, 6, 1], 12)
כבר;(105, [20, 2, 200], 222)
היה;(106, [5, 10, 5], 20)
לעלמים;(107, [30, 70, 30, 40, 10, 40], 220)
אשר;(108, [1, 300, 200], 501)
היה;(109, [5, 10, 5], 20)
מלפננו;(110, [40, 30, 80, 50, 50, 6], 256)
אין;(111, [1, 10, 50], 61)
זכרון;(112, [7, 20, 200, 6, 50], 283)
לראשנים;(113, [30, 200, 1, 300, 50, 10, 40], 631)
וגם;(114, [6, 3, 40], 49)
לאחרנים;(115, [30, 1, 8, 200, 50, 10, 40], 339)
שיהיו;(116, [300, 10, 5, 10, 6], 331)
לא;(117, [30, 1], 31)
יהיה;(118, [10, 5, 10, 5], 30)
להם;(119, [30, 5, 40], 75)
זכרון;(120, [7, 20, 200, 6, 50], 283)
עם;(121, [70, 40], 110)
שיהיו;(122, [300, 10, 5, 10, 6], 331)
לאחרנה;(123, [30, 1, 8, 200, 50, 5], 294)
אני;(124, [1, 50, 10], 61)
קהלת;(125, [100, 5, 30, 400], 535)
הייתי;(126, [5, 10, 10, 400, 10], 435)
מלך;(127, [40, 30, 20], 90)
על;(128, [70, 30], 100)
ישראל;(129, [10, 300, 200, 1, 30], 541)
בירושלם;(130, [2, 10, 200, 6, 300, 30, 40], 588)
ונתתי;(131, [6, 50, 400, 400, 10], 866)
את;(132, [1, 400], 401)
לבי;(133, [30, 2, 10], 42)
לדרוש;(134, [30, 4, 200, 6, 300], 540)
ולתור;(135, [6, 30, 400, 6, 200], 642)
בחכמה;(136, [2, 8, 20, 40, 5], 75)
על;(137, [70, 30], 100)
כל;(138, [20, 30], 50)
אשר;(139, [1, 300, 200], 501)
נעשה;(140, [50, 70, 300, 5], 425)
תחת;(141, [400, 8, 400], 808)
השמים;(142, [5, 300, 40, 10, 40], 395)
הוא;(143, [5, 6, 1], 12)
ענין;(144, [70, 50, 10, 50], 180)
רע;(145, [200, 70], 270)
נתן;(146, [50, 400, 50], 500)
אלהים;(147, [1, 30, 5, 10, 40], 86)
לבני;(148, [30, 2, 50, 10], 92)
האדם;(149, [5, 1, 4, 40], 50)
לענות;(150, [30, 70, 50, 6, 400], 556)
בו;(151, [2, 6], 8)
ראיתי;(152, [200, 1, 10, 400, 10], 621)
את;(153, [1, 400], 401)
כל;(154, [20, 30], 50)
המעשים;(155, [5, 40, 70, 300, 10, 40], 465)
שנעשו;(156, [300, 50, 70, 300, 6], 726)
תחת;(157, [400, 8, 400], 808)
השמש;(158, [5, 300, 40, 300], 645)
