ויהי;(1, [6, 10, 5, 10], 31)
בימי;(2, [2, 10, 40, 10], 62)
אחשורוש;(3, [1, 8, 300, 6, 200, 6, 300], 821)
הוא;(4, [5, 6, 1], 12)
אחשורוש;(5, [1, 8, 300, 6, 200, 6, 300], 821)
המלך;(6, [5, 40, 30, 20], 95)
מהדו;(7, [40, 5, 4, 6], 55)
ועד;(8, [6, 70, 4], 80)
כוש;(9, [20, 6, 300], 326)
שבע;(10, [300, 2, 70], 372)
ועשרים;(11, [6, 70, 300, 200, 10, 40], 626)
ומאה;(12, [6, 40, 1, 5], 52)
מדינה;(13, [40, 4, 10, 50, 5], 109)
בימים;(14, [2, 10, 40, 10, 40], 102)
ההם;(15, [5, 5, 40], 50)
כשבת;(16, [20, 300, 2, 400], 722)
המלך;(17, [5, 40, 30, 20], 95)
אחשורוש;(18, [1, 8, 300, 6, 200, 6, 300], 821)
על;(19, [70, 30], 100)
כסא;(20, [20, 60, 1], 81)
מלכותו;(21, [40, 30, 20, 6, 400, 6], 502)
אשר;(22, [1, 300, 200], 501)
בשושן;(23, [2, 300, 6, 300, 50], 658)
הבירה;(24, [5, 2, 10, 200, 5], 222)
בשנת;(25, [2, 300, 50, 400], 752)
שלוש;(26, [300, 30, 6, 300], 636)
למלכו;(27, [30, 40, 30, 20, 6], 126)
עשה;(28, [70, 300, 5], 375)
משתה;(29, [40, 300, 400, 5], 745)
לכל;(30, [30, 20, 30], 80)
שריו;(31, [300, 200, 10, 6], 516)
ועבדיו;(32, [6, 70, 2, 4, 10, 6], 98)
חיל;(33, [8, 10, 30], 48)
פרס;(34, [80, 200, 60], 340)
ומדי;(35, [6, 40, 4, 10], 60)
הפרתמים;(36, [5, 80, 200, 400, 40, 10, 40], 775)
ושרי;(37, [6, 300, 200, 10], 516)
המדינות;(38, [5, 40, 4, 10, 50, 6, 400], 515)
לפניו;(39, [30, 80, 50, 10, 6], 176)
בהראתו;(40, [2, 5, 200, 1, 400, 6], 614)
את;(41, [1, 400], 401)
עשר;(42, [70, 300, 200], 570)
כבוד;(43, [20, 2, 6, 4], 32)
מלכותו;(44, [40, 30, 20, 6, 400, 6], 502)
ואת;(45, [6, 1, 400], 407)
יקר;(46, [10, 100, 200], 310)
תפארת;(47, [400, 80, 1, 200, 400], 1081)
גדולתו;(48, [3, 4, 6, 30, 400, 6], 449)
ימים;(49, [10, 40, 10, 40], 100)
רבים;(50, [200, 2, 10, 40], 252)
שמונים;(51, [300, 40, 6, 50, 10, 40], 446)
ומאת;(52, [6, 40, 1, 400], 447)
יום;(53, [10, 6, 40], 56)
