בשנת;(1, [2, 300, 50, 400], 752)
שלוש;(2, [300, 30, 6, 300], 636)
למלכות;(3, [30, 40, 30, 20, 6, 400], 526)
יהויקים;(4, [10, 5, 6, 10, 100, 10, 40], 181)
מלך;(5, [40, 30, 20], 90)
יהודה;(6, [10, 5, 6, 4, 5], 30)
בא;(7, [2, 1], 3)
נבוכדנאצר;(8, [50, 2, 6, 20, 4, 50, 1, 90, 200], 423)
מלך;(9, [40, 30, 20], 90)
בבל;(10, [2, 2, 30], 34)
ירושלם;(11, [10, 200, 6, 300, 30, 40], 586)
ויצר;(12, [6, 10, 90, 200], 306)
עליה;(13, [70, 30, 10, 5], 115)
ויתן;(14, [6, 10, 400, 50], 466)
אדני;(15, [1, 4, 50, 10], 65)
בידו;(16, [2, 10, 4, 6], 22)
את;(17, [1, 400], 401)
יהויקים;(18, [10, 5, 6, 10, 100, 10, 40], 181)
מלך;(19, [40, 30, 20], 90)
יהודה;(20, [10, 5, 6, 4, 5], 30)
ומקצת;(21, [6, 40, 100, 90, 400], 636)
כלי;(22, [20, 30, 10], 60)
בית;(23, [2, 10, 400], 412)
האלהים;(24, [5, 1, 30, 5, 10, 40], 91)
ויביאם;(25, [6, 10, 2, 10, 1, 40], 69)
ארץ;(26, [1, 200, 90], 291)
שנער;(27, [300, 50, 70, 200], 620)
בית;(28, [2, 10, 400], 412)
אלהיו;(29, [1, 30, 5, 10, 6], 52)
ואת;(30, [6, 1, 400], 407)
הכלים;(31, [5, 20, 30, 10, 40], 105)
הביא;(32, [5, 2, 10, 1], 18)
בית;(33, [2, 10, 400], 412)
אוצר;(34, [1, 6, 90, 200], 297)
אלהיו;(35, [1, 30, 5, 10, 6], 52)
ויאמר;(36, [6, 10, 1, 40, 200], 257)
המלך;(37, [5, 40, 30, 20], 95)
לאשפנז;(38, [30, 1, 300, 80, 50, 7], 468)
רב;(39, [200, 2], 202)
סריסיו;(40, [60, 200, 10, 60, 10, 6], 346)
להביא;(41, [30, 5, 2, 10, 1], 48)
מבני;(42, [40, 2, 50, 10], 102)
ישראל;(43, [10, 300, 200, 1, 30], 541)
ומזרע;(44, [6, 40, 7, 200, 70], 323)
המלוכה;(45, [5, 40, 30, 6, 20, 5], 106)
ומן;(46, [6, 40, 50], 96)
הפרתמים;(47, [5, 80, 200, 400, 40, 10, 40], 775)
ילדים;(48, [10, 30, 4, 10, 40], 94)
אשר;(49, [1, 300, 200], 501)
אין;(50, [1, 10, 50], 61)
בהם;(51, [2, 5, 40], 47)
כל;(52, [20, 30], 50)
מאום;(53, [40, 1, 6, 40], 87)
וטובי;(54, [6, 9, 6, 2, 10], 33)
מראה;(55, [40, 200, 1, 5], 246)
ומשכילים;(56, [6, 40, 300, 20, 10, 30, 10, 40], 456)
בכל;(57, [2, 20, 30], 52)
חכמה;(58, [8, 20, 40, 5], 73)
וידעי;(59, [6, 10, 4, 70, 10], 100)
דעת;(60, [4, 70, 400], 474)
ומביני;(61, [6, 40, 2, 10, 50, 10], 118)
מדע;(62, [40, 4, 70], 114)
ואשר;(63, [6, 1, 300, 200], 507)
כח;(64, [20, 8], 28)
בהם;(65, [2, 5, 40], 47)
לעמד;(66, [30, 70, 40, 4], 144)
בהיכל;(67, [2, 5, 10, 20, 30], 67)
המלך;(68, [5, 40, 30, 20], 95)
וללמדם;(69, [6, 30, 30, 40, 4, 40], 150)
ספר;(70, [60, 80, 200], 340)
ולשון;(71, [6, 30, 300, 6, 50], 392)
כשדים;(72, [20, 300, 4, 10, 40], 374)
וימן;(73, [6, 10, 40, 50], 106)
להם;(74, [30, 5, 40], 75)
המלך;(75, [5, 40, 30, 20], 95)
דבר;(76, [4, 2, 200], 206)
יום;(77, [10, 6, 40], 56)
ביומו;(78, [2, 10, 6, 40, 6], 64)
מפת;(79, [40, 80, 400], 520)
בג;(80, [2, 3], 5)
המלך;(81, [5, 40, 30, 20], 95)
ומיין;(82, [6, 40, 10, 10, 50], 116)
משתיו;(83, [40, 300, 400, 10, 6], 756)
ולגדלם;(84, [6, 30, 3, 4, 30, 40], 113)
שנים;(85, [300, 50, 10, 40], 400)
שלוש;(86, [300, 30, 6, 300], 636)
ומקצתם;(87, [6, 40, 100, 90, 400, 40], 676)
יעמדו;(88, [10, 70, 40, 4, 6], 130)
לפני;(89, [30, 80, 50, 10], 170)
המלך;(90, [5, 40, 30, 20], 95)
ויהי;(91, [6, 10, 5, 10], 31)
בהם;(92, [2, 5, 40], 47)
מבני;(93, [40, 2, 50, 10], 102)
יהודה;(94, [10, 5, 6, 4, 5], 30)
דניאל;(95, [4, 50, 10, 1, 30], 95)
חנניה;(96, [8, 50, 50, 10, 5], 123)
מישאל;(97, [40, 10, 300, 1, 30], 381)
ועזריה;(98, [6, 70, 7, 200, 10, 5], 298)
וישם;(99, [6, 10, 300, 40], 356)
להם;(100, [30, 5, 40], 75)
שר;(101, [300, 200], 500)
הסריסים;(102, [5, 60, 200, 10, 60, 10, 40], 385)
שמות;(103, [300, 40, 6, 400], 746)
וישם;(104, [6, 10, 300, 40], 356)
לדניאל;(105, [30, 4, 50, 10, 1, 30], 125)
בלטשאצר;(106, [2, 30, 9, 300, 1, 90, 200], 632)
ולחנניה;(107, [6, 30, 8, 50, 50, 10, 5], 159)
שדרך;(108, [300, 4, 200, 20], 524)
ולמישאל;(109, [6, 30, 40, 10, 300, 1, 30], 417)
מישך;(110, [40, 10, 300, 20], 370)
ולעזריה;(111, [6, 30, 70, 7, 200, 10, 5], 328)
עבד;(112, [70, 2, 4], 76)
נגו;(113, [50, 3, 6], 59)
וישם;(114, [6, 10, 300, 40], 356)
דניאל;(115, [4, 50, 10, 1, 30], 95)
על;(116, [70, 30], 100)
לבו;(117, [30, 2, 6], 38)
אשר;(118, [1, 300, 200], 501)
לא;(119, [30, 1], 31)
יתגאל;(120, [10, 400, 3, 1, 30], 444)
בפתבג;(121, [2, 80, 400, 2, 3], 487)
המלך;(122, [5, 40, 30, 20], 95)
וביין;(123, [6, 2, 10, 10, 50], 78)
משתיו;(124, [40, 300, 400, 10, 6], 756)
