ובשנת;(1, [6, 2, 300, 50, 400], 758)
אחת;(2, [1, 8, 400], 409)
לכורש;(3, [30, 20, 6, 200, 300], 556)
מלך;(4, [40, 30, 20], 90)
פרס;(5, [80, 200, 60], 340)
לכלות;(6, [30, 20, 30, 6, 400], 486)
דבר;(7, [4, 2, 200], 206)
יהוה;(8, [10, 5, 6, 5], 26)
מפי;(9, [40, 80, 10], 130)
ירמיה;(10, [10, 200, 40, 10, 5], 265)
העיר;(11, [5, 70, 10, 200], 285)
יהוה;(12, [10, 5, 6, 5], 26)
את;(13, [1, 400], 401)
רוח;(14, [200, 6, 8], 214)
כרש;(15, [20, 200, 300], 520)
מלך;(16, [40, 30, 20], 90)
פרס;(17, [80, 200, 60], 340)
ויעבר;(18, [6, 10, 70, 2, 200], 288)
קול;(19, [100, 6, 30], 136)
בכל;(20, [2, 20, 30], 52)
מלכותו;(21, [40, 30, 20, 6, 400, 6], 502)
וגם;(22, [6, 3, 40], 49)
במכתב;(23, [2, 40, 20, 400, 2], 464)
לאמר;(24, [30, 1, 40, 200], 271)
כה;(25, [20, 5], 25)
אמר;(26, [1, 40, 200], 241)
כרש;(27, [20, 200, 300], 520)
מלך;(28, [40, 30, 20], 90)
פרס;(29, [80, 200, 60], 340)
כל;(30, [20, 30], 50)
ממלכות;(31, [40, 40, 30, 20, 6, 400], 536)
הארץ;(32, [5, 1, 200, 90], 296)
נתן;(33, [50, 400, 50], 500)
לי;(34, [30, 10], 40)
יהוה;(35, [10, 5, 6, 5], 26)
אלהי;(36, [1, 30, 5, 10], 46)
השמים;(37, [5, 300, 40, 10, 40], 395)
והוא;(38, [6, 5, 6, 1], 18)
פקד;(39, [80, 100, 4], 184)
עלי;(40, [70, 30, 10], 110)
לבנות;(41, [30, 2, 50, 6, 400], 488)
לו;(42, [30, 6], 36)
בית;(43, [2, 10, 400], 412)
בירושלם;(44, [2, 10, 200, 6, 300, 30, 40], 588)
אשר;(45, [1, 300, 200], 501)
ביהודה;(46, [2, 10, 5, 6, 4, 5], 32)
מי;(47, [40, 10], 50)
בכם;(48, [2, 20, 40], 62)
מכל;(49, [40, 20, 30], 90)
עמו;(50, [70, 40, 6], 116)
יהי;(51, [10, 5, 10], 25)
אלהיו;(52, [1, 30, 5, 10, 6], 52)
עמו;(53, [70, 40, 6], 116)
ויעל;(54, [6, 10, 70, 30], 116)
לירושלם;(55, [30, 10, 200, 6, 300, 30, 40], 616)
אשר;(56, [1, 300, 200], 501)
ביהודה;(57, [2, 10, 5, 6, 4, 5], 32)
ויבן;(58, [6, 10, 2, 50], 68)
את;(59, [1, 400], 401)
בית;(60, [2, 10, 400], 412)
יהוה;(61, [10, 5, 6, 5], 26)
אלהי;(62, [1, 30, 5, 10], 46)
ישראל;(63, [10, 300, 200, 1, 30], 541)
הוא;(64, [5, 6, 1], 12)
האלהים;(65, [5, 1, 30, 5, 10, 40], 91)
אשר;(66, [1, 300, 200], 501)
בירושלם;(67, [2, 10, 200, 6, 300, 30, 40], 588)
וכל;(68, [6, 20, 30], 56)
הנשאר;(69, [5, 50, 300, 1, 200], 556)
מכל;(70, [40, 20, 30], 90)
המקמות;(71, [5, 40, 100, 40, 6, 400], 591)
אשר;(72, [1, 300, 200], 501)
הוא;(73, [5, 6, 1], 12)
גר;(74, [3, 200], 203)
שם;(75, [300, 40], 340)
ינשאוהו;(76, [10, 50, 300, 1, 6, 5, 6], 378)
אנשי;(77, [1, 50, 300, 10], 361)
מקמו;(78, [40, 100, 40, 6], 186)
בכסף;(79, [2, 20, 60, 80], 162)
ובזהב;(80, [6, 2, 7, 5, 2], 22)
וברכוש;(81, [6, 2, 200, 20, 6, 300], 534)
ובבהמה;(82, [6, 2, 2, 5, 40, 5], 60)
עם;(83, [70, 40], 110)
הנדבה;(84, [5, 50, 4, 2, 5], 66)
לבית;(85, [30, 2, 10, 400], 442)
האלהים;(86, [5, 1, 30, 5, 10, 40], 91)
אשר;(87, [1, 300, 200], 501)
בירושלם;(88, [2, 10, 200, 6, 300, 30, 40], 588)
ויקומו;(89, [6, 10, 100, 6, 40, 6], 168)
ראשי;(90, [200, 1, 300, 10], 511)
האבות;(91, [5, 1, 2, 6, 400], 414)
ליהודה;(92, [30, 10, 5, 6, 4, 5], 60)
ובנימן;(93, [6, 2, 50, 10, 40, 50], 158)
והכהנים;(94, [6, 5, 20, 5, 50, 10, 40], 136)
והלוים;(95, [6, 5, 30, 6, 10, 40], 97)
לכל;(96, [30, 20, 30], 80)
העיר;(97, [5, 70, 10, 200], 285)
האלהים;(98, [5, 1, 30, 5, 10, 40], 91)
את;(99, [1, 400], 401)
רוחו;(100, [200, 6, 8, 6], 220)
לעלות;(101, [30, 70, 30, 6, 400], 536)
לבנות;(102, [30, 2, 50, 6, 400], 488)
את;(103, [1, 400], 401)
בית;(104, [2, 10, 400], 412)
יהוה;(105, [10, 5, 6, 5], 26)
אשר;(106, [1, 300, 200], 501)
בירושלם;(107, [2, 10, 200, 6, 300, 30, 40], 588)
וכל;(108, [6, 20, 30], 56)
סביבתיהם;(109, [60, 2, 10, 2, 400, 10, 5, 40], 529)
חזקו;(110, [8, 7, 100, 6], 121)
בידיהם;(111, [2, 10, 4, 10, 5, 40], 71)
בכלי;(112, [2, 20, 30, 10], 62)
כסף;(113, [20, 60, 80], 160)
בזהב;(114, [2, 7, 5, 2], 16)
ברכוש;(115, [2, 200, 20, 6, 300], 528)
ובבהמה;(116, [6, 2, 2, 5, 40, 5], 60)
ובמגדנות;(117, [6, 2, 40, 3, 4, 50, 6, 400], 511)
לבד;(118, [30, 2, 4], 36)
על;(119, [70, 30], 100)
כל;(120, [20, 30], 50)
התנדב;(121, [5, 400, 50, 4, 2], 461)
והמלך;(122, [6, 5, 40, 30, 20], 101)
כורש;(123, [20, 6, 200, 300], 526)
הוציא;(124, [5, 6, 90, 10, 1], 112)
את;(125, [1, 400], 401)
כלי;(126, [20, 30, 10], 60)
בית;(127, [2, 10, 400], 412)
יהוה;(128, [10, 5, 6, 5], 26)
אשר;(129, [1, 300, 200], 501)
הוציא;(130, [5, 6, 90, 10, 1], 112)
נבוכדנצר;(131, [50, 2, 6, 20, 4, 50, 90, 200], 422)
מירושלם;(132, [40, 10, 200, 6, 300, 30, 40], 626)
ויתנם;(133, [6, 10, 400, 50, 40], 506)
בבית;(134, [2, 2, 10, 400], 414)
אלהיו;(135, [1, 30, 5, 10, 6], 52)
ויוציאם;(136, [6, 10, 6, 90, 10, 1, 40], 163)
כורש;(137, [20, 6, 200, 300], 526)
מלך;(138, [40, 30, 20], 90)
פרס;(139, [80, 200, 60], 340)
על;(140, [70, 30], 100)
יד;(141, [10, 4], 14)
מתרדת;(142, [40, 400, 200, 4, 400], 1044)
הגזבר;(143, [5, 3, 7, 2, 200], 217)
ויספרם;(144, [6, 10, 60, 80, 200, 40], 396)
לששבצר;(145, [30, 300, 300, 2, 90, 200], 922)
הנשיא;(146, [5, 50, 300, 10, 1], 366)
ליהודה;(147, [30, 10, 5, 6, 4, 5], 60)
ואלה;(148, [6, 1, 30, 5], 42)
מספרם;(149, [40, 60, 80, 200, 40], 420)
אגרטלי;(150, [1, 3, 200, 9, 30, 10], 253)
זהב;(151, [7, 5, 2], 14)
שלשים;(152, [300, 30, 300, 10, 40], 680)
אגרטלי;(153, [1, 3, 200, 9, 30, 10], 253)
כסף;(154, [20, 60, 80], 160)
אלף;(155, [1, 30, 80], 111)
מחלפים;(156, [40, 8, 30, 80, 10, 40], 208)
תשעה;(157, [400, 300, 70, 5], 775)
ועשרים;(158, [6, 70, 300, 200, 10, 40], 626)
כפורי;(159, [20, 80, 6, 200, 10], 316)
זהב;(160, [7, 5, 2], 14)
שלשים;(161, [300, 30, 300, 10, 40], 680)
כפורי;(162, [20, 80, 6, 200, 10], 316)
כסף;(163, [20, 60, 80], 160)
משנים;(164, [40, 300, 50, 10, 40], 440)
ארבע;(165, [1, 200, 2, 70], 273)
מאות;(166, [40, 1, 6, 400], 447)
ועשרה;(167, [6, 70, 300, 200, 5], 581)
כלים;(168, [20, 30, 10, 40], 100)
אחרים;(169, [1, 8, 200, 10, 40], 259)
אלף;(170, [1, 30, 80], 111)
כל;(171, [20, 30], 50)
כלים;(172, [20, 30, 10, 40], 100)
לזהב;(173, [30, 7, 5, 2], 44)
ולכסף;(174, [6, 30, 20, 60, 80], 196)
חמשת;(175, [8, 40, 300, 400], 748)
אלפים;(176, [1, 30, 80, 10, 40], 161)
וארבע;(177, [6, 1, 200, 2, 70], 279)
מאות;(178, [40, 1, 6, 400], 447)
הכל;(179, [5, 20, 30], 55)
העלה;(180, [5, 70, 30, 5], 110)
ששבצר;(181, [300, 300, 2, 90, 200], 892)
עם;(182, [70, 40], 110)
העלות;(183, [5, 70, 30, 6, 400], 511)
הגולה;(184, [5, 3, 6, 30, 5], 49)
מבבל;(185, [40, 2, 2, 30], 74)
לירושלם;(186, [30, 10, 200, 6, 300, 30, 40], 616)
ואלה;(187, [6, 1, 30, 5], 42)
בני;(188, [2, 50, 10], 62)
המדינה;(189, [5, 40, 4, 10, 50, 5], 114)
העלים;(190, [5, 70, 30, 10, 40], 155)
משבי;(191, [40, 300, 2, 10], 352)
הגולה;(192, [5, 3, 6, 30, 5], 49)
אשר;(193, [1, 300, 200], 501)
הגלה;(194, [5, 3, 30, 5], 43)
נבוכדנצור;(195, [50, 2, 6, 20, 4, 50, 90, 6, 200], 428)
מלך;(196, [40, 30, 20], 90)
בבל;(197, [2, 2, 30], 34)
לבבל;(198, [30, 2, 2, 30], 64)
וישובו;(199, [6, 10, 300, 6, 2, 6], 330)
לירושלם;(200, [30, 10, 200, 6, 300, 30, 40], 616)
ויהודה;(201, [6, 10, 5, 6, 4, 5], 36)
איש;(202, [1, 10, 300], 311)
לעירו;(203, [30, 70, 10, 200, 6], 316)
אשר;(204, [1, 300, 200], 501)
באו;(205, [2, 1, 6], 9)
עם;(206, [70, 40], 110)
זרבבל;(207, [7, 200, 2, 2, 30], 241)
ישוע;(208, [10, 300, 6, 70], 386)
נחמיה;(209, [50, 8, 40, 10, 5], 113)
שריה;(210, [300, 200, 10, 5], 515)
רעליה;(211, [200, 70, 30, 10, 5], 315)
מרדכי;(212, [40, 200, 4, 20, 10], 274)
בלשן;(213, [2, 30, 300, 50], 382)
מספר;(214, [40, 60, 80, 200], 380)
בגוי;(215, [2, 3, 6, 10], 21)
רחום;(216, [200, 8, 6, 40], 254)
בענה;(217, [2, 70, 50, 5], 127)
מספר;(218, [40, 60, 80, 200], 380)
אנשי;(219, [1, 50, 300, 10], 361)
עם;(220, [70, 40], 110)
ישראל;(221, [10, 300, 200, 1, 30], 541)
בני;(222, [2, 50, 10], 62)
פרעש;(223, [80, 200, 70, 300], 650)
אלפים;(224, [1, 30, 80, 10, 40], 161)
מאה;(225, [40, 1, 5], 46)
שבעים;(226, [300, 2, 70, 10, 40], 422)
ושנים;(227, [6, 300, 50, 10, 40], 406)
בני;(228, [2, 50, 10], 62)
שפטיה;(229, [300, 80, 9, 10, 5], 404)
שלש;(230, [300, 30, 300], 630)
מאות;(231, [40, 1, 6, 400], 447)
שבעים;(232, [300, 2, 70, 10, 40], 422)
ושנים;(233, [6, 300, 50, 10, 40], 406)
בני;(234, [2, 50, 10], 62)
ארח;(235, [1, 200, 8], 209)
שבע;(236, [300, 2, 70], 372)
מאות;(237, [40, 1, 6, 400], 447)
חמשה;(238, [8, 40, 300, 5], 353)
ושבעים;(239, [6, 300, 2, 70, 10, 40], 428)
בני;(240, [2, 50, 10], 62)
פחת;(241, [80, 8, 400], 488)
מואב;(242, [40, 6, 1, 2], 49)
לבני;(243, [30, 2, 50, 10], 92)
ישוע;(244, [10, 300, 6, 70], 386)
יואב;(245, [10, 6, 1, 2], 19)
אלפים;(246, [1, 30, 80, 10, 40], 161)
שמנה;(247, [300, 40, 50, 5], 395)
מאות;(248, [40, 1, 6, 400], 447)
ושנים;(249, [6, 300, 50, 10, 40], 406)
עשר;(250, [70, 300, 200], 570)
בני;(251, [2, 50, 10], 62)
עילם;(252, [70, 10, 30, 40], 150)
אלף;(253, [1, 30, 80], 111)
מאתים;(254, [40, 1, 400, 10, 40], 491)
חמשים;(255, [8, 40, 300, 10, 40], 398)
וארבעה;(256, [6, 1, 200, 2, 70, 5], 284)
בני;(257, [2, 50, 10], 62)
זתוא;(258, [7, 400, 6, 1], 414)
תשע;(259, [400, 300, 70], 770)
מאות;(260, [40, 1, 6, 400], 447)
וארבעים;(261, [6, 1, 200, 2, 70, 10, 40], 329)
וחמשה;(262, [6, 8, 40, 300, 5], 359)
בני;(263, [2, 50, 10], 62)
זכי;(264, [7, 20, 10], 37)
שבע;(265, [300, 2, 70], 372)
מאות;(266, [40, 1, 6, 400], 447)
וששים;(267, [6, 300, 300, 10, 40], 656)
בני;(268, [2, 50, 10], 62)
בני;(269, [2, 50, 10], 62)
שש;(270, [300, 300], 600)
מאות;(271, [40, 1, 6, 400], 447)
ארבעים;(272, [1, 200, 2, 70, 10, 40], 323)
ושנים;(273, [6, 300, 50, 10, 40], 406)
בני;(274, [2, 50, 10], 62)
בבי;(275, [2, 2, 10], 14)
שש;(276, [300, 300], 600)
מאות;(277, [40, 1, 6, 400], 447)
עשרים;(278, [70, 300, 200, 10, 40], 620)
ושלשה;(279, [6, 300, 30, 300, 5], 641)
בני;(280, [2, 50, 10], 62)
עזגד;(281, [70, 7, 3, 4], 84)
אלף;(282, [1, 30, 80], 111)
מאתים;(283, [40, 1, 400, 10, 40], 491)
עשרים;(284, [70, 300, 200, 10, 40], 620)
ושנים;(285, [6, 300, 50, 10, 40], 406)
בני;(286, [2, 50, 10], 62)
אדניקם;(287, [1, 4, 50, 10, 100, 40], 205)
שש;(288, [300, 300], 600)
מאות;(289, [40, 1, 6, 400], 447)
ששים;(290, [300, 300, 10, 40], 650)
וששה;(291, [6, 300, 300, 5], 611)
בני;(292, [2, 50, 10], 62)
בגוי;(293, [2, 3, 6, 10], 21)
אלפים;(294, [1, 30, 80, 10, 40], 161)
חמשים;(295, [8, 40, 300, 10, 40], 398)
וששה;(296, [6, 300, 300, 5], 611)
בני;(297, [2, 50, 10], 62)
עדין;(298, [70, 4, 10, 50], 134)
ארבע;(299, [1, 200, 2, 70], 273)
מאות;(300, [40, 1, 6, 400], 447)
חמשים;(301, [8, 40, 300, 10, 40], 398)
וארבעה;(302, [6, 1, 200, 2, 70, 5], 284)
בני;(303, [2, 50, 10], 62)
אטר;(304, [1, 9, 200], 210)
ליחזקיה;(305, [30, 10, 8, 7, 100, 10, 5], 170)
תשעים;(306, [400, 300, 70, 10, 40], 820)
ושמנה;(307, [6, 300, 40, 50, 5], 401)
בני;(308, [2, 50, 10], 62)
בצי;(309, [2, 90, 10], 102)
שלש;(310, [300, 30, 300], 630)
מאות;(311, [40, 1, 6, 400], 447)
עשרים;(312, [70, 300, 200, 10, 40], 620)
ושלשה;(313, [6, 300, 30, 300, 5], 641)
בני;(314, [2, 50, 10], 62)
יורה;(315, [10, 6, 200, 5], 221)
מאה;(316, [40, 1, 5], 46)
ושנים;(317, [6, 300, 50, 10, 40], 406)
עשר;(318, [70, 300, 200], 570)
בני;(319, [2, 50, 10], 62)
חשם;(320, [8, 300, 40], 348)
מאתים;(321, [40, 1, 400, 10, 40], 491)
עשרים;(322, [70, 300, 200, 10, 40], 620)
ושלשה;(323, [6, 300, 30, 300, 5], 641)
בני;(324, [2, 50, 10], 62)
גבר;(325, [3, 2, 200], 205)
תשעים;(326, [400, 300, 70, 10, 40], 820)
וחמשה;(327, [6, 8, 40, 300, 5], 359)
בני;(328, [2, 50, 10], 62)
בית;(329, [2, 10, 400], 412)
לחם;(330, [30, 8, 40], 78)
מאה;(331, [40, 1, 5], 46)
עשרים;(332, [70, 300, 200, 10, 40], 620)
ושלשה;(333, [6, 300, 30, 300, 5], 641)
אנשי;(334, [1, 50, 300, 10], 361)
נטפה;(335, [50, 9, 80, 5], 144)
חמשים;(336, [8, 40, 300, 10, 40], 398)
וששה;(337, [6, 300, 300, 5], 611)
אנשי;(338, [1, 50, 300, 10], 361)
ענתות;(339, [70, 50, 400, 6, 400], 926)
מאה;(340, [40, 1, 5], 46)
עשרים;(341, [70, 300, 200, 10, 40], 620)
ושמנה;(342, [6, 300, 40, 50, 5], 401)
בני;(343, [2, 50, 10], 62)
עזמות;(344, [70, 7, 40, 6, 400], 523)
ארבעים;(345, [1, 200, 2, 70, 10, 40], 323)
ושנים;(346, [6, 300, 50, 10, 40], 406)
בני;(347, [2, 50, 10], 62)
קרית;(348, [100, 200, 10, 400], 710)
ערים;(349, [70, 200, 10, 40], 320)
כפירה;(350, [20, 80, 10, 200, 5], 315)
ובארות;(351, [6, 2, 1, 200, 6, 400], 615)
שבע;(352, [300, 2, 70], 372)
מאות;(353, [40, 1, 6, 400], 447)
וארבעים;(354, [6, 1, 200, 2, 70, 10, 40], 329)
ושלשה;(355, [6, 300, 30, 300, 5], 641)
בני;(356, [2, 50, 10], 62)
הרמה;(357, [5, 200, 40, 5], 250)
וגבע;(358, [6, 3, 2, 70], 81)
שש;(359, [300, 300], 600)
מאות;(360, [40, 1, 6, 400], 447)
עשרים;(361, [70, 300, 200, 10, 40], 620)
ואחד;(362, [6, 1, 8, 4], 19)
אנשי;(363, [1, 50, 300, 10], 361)
מכמס;(364, [40, 20, 40, 60], 160)
מאה;(365, [40, 1, 5], 46)
עשרים;(366, [70, 300, 200, 10, 40], 620)
ושנים;(367, [6, 300, 50, 10, 40], 406)
אנשי;(368, [1, 50, 300, 10], 361)
בית;(369, [2, 10, 400], 412)
אל;(370, [1, 30], 31)
והעי;(371, [6, 5, 70, 10], 91)
מאתים;(372, [40, 1, 400, 10, 40], 491)
עשרים;(373, [70, 300, 200, 10, 40], 620)
ושלשה;(374, [6, 300, 30, 300, 5], 641)
בני;(375, [2, 50, 10], 62)
נבו;(376, [50, 2, 6], 58)
חמשים;(377, [8, 40, 300, 10, 40], 398)
ושנים;(378, [6, 300, 50, 10, 40], 406)
בני;(379, [2, 50, 10], 62)
מגביש;(380, [40, 3, 2, 10, 300], 355)
מאה;(381, [40, 1, 5], 46)
חמשים;(382, [8, 40, 300, 10, 40], 398)
וששה;(383, [6, 300, 300, 5], 611)
בני;(384, [2, 50, 10], 62)
עילם;(385, [70, 10, 30, 40], 150)
אחר;(386, [1, 8, 200], 209)
אלף;(387, [1, 30, 80], 111)
