ויתחזק;(1, [6, 10, 400, 8, 7, 100], 531)
שלמה;(2, [300, 30, 40, 5], 375)
בן;(3, [2, 50], 52)
דויד;(4, [4, 6, 10, 4], 24)
על;(5, [70, 30], 100)
מלכותו;(6, [40, 30, 20, 6, 400, 6], 502)
ויהוה;(7, [6, 10, 5, 6, 5], 32)
אלהיו;(8, [1, 30, 5, 10, 6], 52)
עמו;(9, [70, 40, 6], 116)
ויגדלהו;(10, [6, 10, 3, 4, 30, 5, 6], 64)
למעלה;(11, [30, 40, 70, 30, 5], 175)
ויאמר;(12, [6, 10, 1, 40, 200], 257)
שלמה;(13, [300, 30, 40, 5], 375)
לכל;(14, [30, 20, 30], 80)
ישראל;(15, [10, 300, 200, 1, 30], 541)
לשרי;(16, [30, 300, 200, 10], 540)
האלפים;(17, [5, 1, 30, 80, 10, 40], 166)
והמאות;(18, [6, 5, 40, 1, 6, 400], 458)
ולשפטים;(19, [6, 30, 300, 80, 9, 10, 40], 475)
ולכל;(20, [6, 30, 20, 30], 86)
נשיא;(21, [50, 300, 10, 1], 361)
לכל;(22, [30, 20, 30], 80)
ישראל;(23, [10, 300, 200, 1, 30], 541)
ראשי;(24, [200, 1, 300, 10], 511)
האבות;(25, [5, 1, 2, 6, 400], 414)
וילכו;(26, [6, 10, 30, 20, 6], 72)
שלמה;(27, [300, 30, 40, 5], 375)
וכל;(28, [6, 20, 30], 56)
הקהל;(29, [5, 100, 5, 30], 140)
עמו;(30, [70, 40, 6], 116)
לבמה;(31, [30, 2, 40, 5], 77)
אשר;(32, [1, 300, 200], 501)
בגבעון;(33, [2, 3, 2, 70, 6, 50], 133)
כי;(34, [20, 10], 30)
שם;(35, [300, 40], 340)
היה;(36, [5, 10, 5], 20)
אהל;(37, [1, 5, 30], 36)
מועד;(38, [40, 6, 70, 4], 120)
האלהים;(39, [5, 1, 30, 5, 10, 40], 91)
אשר;(40, [1, 300, 200], 501)
עשה;(41, [70, 300, 5], 375)
משה;(42, [40, 300, 5], 345)
עבד;(43, [70, 2, 4], 76)
יהוה;(44, [10, 5, 6, 5], 26)
במדבר;(45, [2, 40, 4, 2, 200], 248)
אבל;(46, [1, 2, 30], 33)
ארון;(47, [1, 200, 6, 50], 257)
האלהים;(48, [5, 1, 30, 5, 10, 40], 91)
העלה;(49, [5, 70, 30, 5], 110)
דויד;(50, [4, 6, 10, 4], 24)
מקרית;(51, [40, 100, 200, 10, 400], 750)
יערים;(52, [10, 70, 200, 10, 40], 330)
בהכין;(53, [2, 5, 20, 10, 50], 87)
לו;(54, [30, 6], 36)
דויד;(55, [4, 6, 10, 4], 24)
כי;(56, [20, 10], 30)
נטה;(57, [50, 9, 5], 64)
לו;(58, [30, 6], 36)
אהל;(59, [1, 5, 30], 36)
בירושלם;(60, [2, 10, 200, 6, 300, 30, 40], 588)
ומזבח;(61, [6, 40, 7, 2, 8], 63)
הנחשת;(62, [5, 50, 8, 300, 400], 763)
אשר;(63, [1, 300, 200], 501)
עשה;(64, [70, 300, 5], 375)
בצלאל;(65, [2, 90, 30, 1, 30], 153)
בן;(66, [2, 50], 52)
אורי;(67, [1, 6, 200, 10], 217)
בן;(68, [2, 50], 52)
חור;(69, [8, 6, 200], 214)
שם;(70, [300, 40], 340)
לפני;(71, [30, 80, 50, 10], 170)
משכן;(72, [40, 300, 20, 50], 410)
יהוה;(73, [10, 5, 6, 5], 26)
וידרשהו;(74, [6, 10, 4, 200, 300, 5, 6], 531)
שלמה;(75, [300, 30, 40, 5], 375)
והקהל;(76, [6, 5, 100, 5, 30], 146)
ויעל;(77, [6, 10, 70, 30], 116)
שלמה;(78, [300, 30, 40, 5], 375)
שם;(79, [300, 40], 340)
על;(80, [70, 30], 100)
מזבח;(81, [40, 7, 2, 8], 57)
הנחשת;(82, [5, 50, 8, 300, 400], 763)
לפני;(83, [30, 80, 50, 10], 170)
יהוה;(84, [10, 5, 6, 5], 26)
אשר;(85, [1, 300, 200], 501)
לאהל;(86, [30, 1, 5, 30], 66)
מועד;(87, [40, 6, 70, 4], 120)
ויעל;(88, [6, 10, 70, 30], 116)
עליו;(89, [70, 30, 10, 6], 116)
עלות;(90, [70, 30, 6, 400], 506)
אלף;(91, [1, 30, 80], 111)
בלילה;(92, [2, 30, 10, 30, 5], 77)
ההוא;(93, [5, 5, 6, 1], 17)
נראה;(94, [50, 200, 1, 5], 256)
אלהים;(95, [1, 30, 5, 10, 40], 86)
לשלמה;(96, [30, 300, 30, 40, 5], 405)
ויאמר;(97, [6, 10, 1, 40, 200], 257)
לו;(98, [30, 6], 36)
שאל;(99, [300, 1, 30], 331)
מה;(100, [40, 5], 45)
אתן;(101, [1, 400, 50], 451)
לך;(102, [30, 20], 50)
ויאמר;(103, [6, 10, 1, 40, 200], 257)
שלמה;(104, [300, 30, 40, 5], 375)
לאלהים;(105, [30, 1, 30, 5, 10, 40], 116)
אתה;(106, [1, 400, 5], 406)
עשית;(107, [70, 300, 10, 400], 780)
עם;(108, [70, 40], 110)
דויד;(109, [4, 6, 10, 4], 24)
אבי;(110, [1, 2, 10], 13)
חסד;(111, [8, 60, 4], 72)
גדול;(112, [3, 4, 6, 30], 43)
והמלכתני;(113, [6, 5, 40, 30, 20, 400, 50, 10], 561)
תחתיו;(114, [400, 8, 400, 10, 6], 824)
עתה;(115, [70, 400, 5], 475)
יהוה;(116, [10, 5, 6, 5], 26)
אלהים;(117, [1, 30, 5, 10, 40], 86)
יאמן;(118, [10, 1, 40, 50], 101)
דברך;(119, [4, 2, 200, 20], 226)
עם;(120, [70, 40], 110)
דויד;(121, [4, 6, 10, 4], 24)
אבי;(122, [1, 2, 10], 13)
כי;(123, [20, 10], 30)
אתה;(124, [1, 400, 5], 406)
המלכתני;(125, [5, 40, 30, 20, 400, 50, 10], 555)
על;(126, [70, 30], 100)
עם;(127, [70, 40], 110)
רב;(128, [200, 2], 202)
כעפר;(129, [20, 70, 80, 200], 370)
הארץ;(130, [5, 1, 200, 90], 296)
עתה;(131, [70, 400, 5], 475)
חכמה;(132, [8, 20, 40, 5], 73)
ומדע;(133, [6, 40, 4, 70], 120)
תן;(134, [400, 50], 450)
לי;(135, [30, 10], 40)
ואצאה;(136, [6, 1, 90, 1, 5], 103)
לפני;(137, [30, 80, 50, 10], 170)
העם;(138, [5, 70, 40], 115)
הזה;(139, [5, 7, 5], 17)
ואבואה;(140, [6, 1, 2, 6, 1, 5], 21)
כי;(141, [20, 10], 30)
מי;(142, [40, 10], 50)
ישפט;(143, [10, 300, 80, 9], 399)
את;(144, [1, 400], 401)
עמך;(145, [70, 40, 20], 130)
הזה;(146, [5, 7, 5], 17)
הגדול;(147, [5, 3, 4, 6, 30], 48)
ויאמר;(148, [6, 10, 1, 40, 200], 257)
אלהים;(149, [1, 30, 5, 10, 40], 86)
לשלמה;(150, [30, 300, 30, 40, 5], 405)
יען;(151, [10, 70, 50], 130)
אשר;(152, [1, 300, 200], 501)
היתה;(153, [5, 10, 400, 5], 420)
זאת;(154, [7, 1, 400], 408)
עם;(155, [70, 40], 110)
לבבך;(156, [30, 2, 2, 20], 54)
ולא;(157, [6, 30, 1], 37)
שאלת;(158, [300, 1, 30, 400], 731)
עשר;(159, [70, 300, 200], 570)
נכסים;(160, [50, 20, 60, 10, 40], 180)
וכבוד;(161, [6, 20, 2, 6, 4], 38)
ואת;(162, [6, 1, 400], 407)
נפש;(163, [50, 80, 300], 430)
שנאיך;(164, [300, 50, 1, 10, 20], 381)
וגם;(165, [6, 3, 40], 49)
ימים;(166, [10, 40, 10, 40], 100)
רבים;(167, [200, 2, 10, 40], 252)
לא;(168, [30, 1], 31)
שאלת;(169, [300, 1, 30, 400], 731)
ותשאל;(170, [6, 400, 300, 1, 30], 737)
לך;(171, [30, 20], 50)
חכמה;(172, [8, 20, 40, 5], 73)
ומדע;(173, [6, 40, 4, 70], 120)
אשר;(174, [1, 300, 200], 501)
תשפוט;(175, [400, 300, 80, 6, 9], 795)
את;(176, [1, 400], 401)
עמי;(177, [70, 40, 10], 120)
אשר;(178, [1, 300, 200], 501)
המלכתיך;(179, [5, 40, 30, 20, 400, 10, 20], 525)
עליו;(180, [70, 30, 10, 6], 116)
החכמה;(181, [5, 8, 20, 40, 5], 78)
והמדע;(182, [6, 5, 40, 4, 70], 125)
נתון;(183, [50, 400, 6, 50], 506)
לך;(184, [30, 20], 50)
ועשר;(185, [6, 70, 300, 200], 576)
ונכסים;(186, [6, 50, 20, 60, 10, 40], 186)
וכבוד;(187, [6, 20, 2, 6, 4], 38)
אתן;(188, [1, 400, 50], 451)
לך;(189, [30, 20], 50)
אשר;(190, [1, 300, 200], 501)
לא;(191, [30, 1], 31)
היה;(192, [5, 10, 5], 20)
כן;(193, [20, 50], 70)
למלכים;(194, [30, 40, 30, 20, 10, 40], 170)
אשר;(195, [1, 300, 200], 501)
לפניך;(196, [30, 80, 50, 10, 20], 190)
ואחריך;(197, [6, 1, 8, 200, 10, 20], 245)
לא;(198, [30, 1], 31)
יהיה;(199, [10, 5, 10, 5], 30)
כן;(200, [20, 50], 70)
ויבא;(201, [6, 10, 2, 1], 19)
שלמה;(202, [300, 30, 40, 5], 375)
לבמה;(203, [30, 2, 40, 5], 77)
אשר;(204, [1, 300, 200], 501)
בגבעון;(205, [2, 3, 2, 70, 6, 50], 133)
ירושלם;(206, [10, 200, 6, 300, 30, 40], 586)
מלפני;(207, [40, 30, 80, 50, 10], 210)
אהל;(208, [1, 5, 30], 36)
מועד;(209, [40, 6, 70, 4], 120)
וימלך;(210, [6, 10, 40, 30, 20], 106)
על;(211, [70, 30], 100)
ישראל;(212, [10, 300, 200, 1, 30], 541)
ויאסף;(213, [6, 10, 1, 60, 80], 157)
שלמה;(214, [300, 30, 40, 5], 375)
רכב;(215, [200, 20, 2], 222)
ופרשים;(216, [6, 80, 200, 300, 10, 40], 636)
ויהי;(217, [6, 10, 5, 10], 31)
לו;(218, [30, 6], 36)
אלף;(219, [1, 30, 80], 111)
וארבע;(220, [6, 1, 200, 2, 70], 279)
מאות;(221, [40, 1, 6, 400], 447)
רכב;(222, [200, 20, 2], 222)
ושנים;(223, [6, 300, 50, 10, 40], 406)
עשר;(224, [70, 300, 200], 570)
אלף;(225, [1, 30, 80], 111)
פרשים;(226, [80, 200, 300, 10, 40], 630)
ויניחם;(227, [6, 10, 50, 10, 8, 40], 124)
בערי;(228, [2, 70, 200, 10], 282)
הרכב;(229, [5, 200, 20, 2], 227)
ועם;(230, [6, 70, 40], 116)
המלך;(231, [5, 40, 30, 20], 95)
בירושלם;(232, [2, 10, 200, 6, 300, 30, 40], 588)
ויתן;(233, [6, 10, 400, 50], 466)
המלך;(234, [5, 40, 30, 20], 95)
את;(235, [1, 400], 401)
הכסף;(236, [5, 20, 60, 80], 165)
ואת;(237, [6, 1, 400], 407)
הזהב;(238, [5, 7, 5, 2], 19)
בירושלם;(239, [2, 10, 200, 6, 300, 30, 40], 588)
כאבנים;(240, [20, 1, 2, 50, 10, 40], 123)
ואת;(241, [6, 1, 400], 407)
הארזים;(242, [5, 1, 200, 7, 10, 40], 263)
נתן;(243, [50, 400, 50], 500)
כשקמים;(244, [20, 300, 100, 40, 10, 40], 510)
אשר;(245, [1, 300, 200], 501)
בשפלה;(246, [2, 300, 80, 30, 5], 417)
לרב;(247, [30, 200, 2], 232)
ומוצא;(248, [6, 40, 6, 90, 1], 143)
הסוסים;(249, [5, 60, 6, 60, 10, 40], 181)
אשר;(250, [1, 300, 200], 501)
לשלמה;(251, [30, 300, 30, 40, 5], 405)
ממצרים;(252, [40, 40, 90, 200, 10, 40], 420)
ומקוא;(253, [6, 40, 100, 6, 1], 153)
סחרי;(254, [60, 8, 200, 10], 278)
המלך;(255, [5, 40, 30, 20], 95)
מקוא;(256, [40, 100, 6, 1], 147)
יקחו;(257, [10, 100, 8, 6], 124)
במחיר;(258, [2, 40, 8, 10, 200], 260)
ויעלו;(259, [6, 10, 70, 30, 6], 122)
ויוציאו;(260, [6, 10, 6, 90, 10, 1, 6], 129)
ממצרים;(261, [40, 40, 90, 200, 10, 40], 420)
מרכבה;(262, [40, 200, 20, 2, 5], 267)
בשש;(263, [2, 300, 300], 602)
מאות;(264, [40, 1, 6, 400], 447)
כסף;(265, [20, 60, 80], 160)
וסוס;(266, [6, 60, 6, 60], 132)
בחמשים;(267, [2, 8, 40, 300, 10, 40], 400)
ומאה;(268, [6, 40, 1, 5], 52)
וכן;(269, [6, 20, 50], 76)
לכל;(270, [30, 20, 30], 80)
מלכי;(271, [40, 30, 20, 10], 100)
החתים;(272, [5, 8, 400, 10, 40], 463)
ומלכי;(273, [6, 40, 30, 20, 10], 106)
ארם;(274, [1, 200, 40], 241)
בידם;(275, [2, 10, 4, 40], 56)
יוציאו;(276, [10, 6, 90, 10, 1, 6], 123)
ויאמר;(277, [6, 10, 1, 40, 200], 257)
שלמה;(278, [300, 30, 40, 5], 375)
לבנות;(279, [30, 2, 50, 6, 400], 488)
בית;(280, [2, 10, 400], 412)
לשם;(281, [30, 300, 40], 370)
יהוה;(282, [10, 5, 6, 5], 26)
ובית;(283, [6, 2, 10, 400], 418)
