וידבר;(1, [6, 10, 4, 2, 200], 222)
יהוה;(2, [10, 5, 6, 5], 26)
אל;(3, [1, 30], 31)
משה;(4, [40, 300, 5], 345)
במדבר;(5, [2, 40, 4, 2, 200], 248)
סיני;(6, [60, 10, 50, 10], 130)
באהל;(7, [2, 1, 5, 30], 38)
מועד;(8, [40, 6, 70, 4], 120)
באחד;(9, [2, 1, 8, 4], 15)
לחדש;(10, [30, 8, 4, 300], 342)
השני;(11, [5, 300, 50, 10], 365)
בשנה;(12, [2, 300, 50, 5], 357)
השנית;(13, [5, 300, 50, 10, 400], 765)
לצאתם;(14, [30, 90, 1, 400, 40], 561)
מארץ;(15, [40, 1, 200, 90], 331)
מצרים;(16, [40, 90, 200, 10, 40], 380)
לאמר;(17, [30, 1, 40, 200], 271)
שאו;(18, [300, 1, 6], 307)
את;(19, [1, 400], 401)
ראש;(20, [200, 1, 300], 501)
כל;(21, [20, 30], 50)
עדת;(22, [70, 4, 400], 474)
בני;(23, [2, 50, 10], 62)
ישראל;(24, [10, 300, 200, 1, 30], 541)
למשפחתם;(25, [30, 40, 300, 80, 8, 400, 40], 898)
לבית;(26, [30, 2, 10, 400], 442)
אבתם;(27, [1, 2, 400, 40], 443)
במספר;(28, [2, 40, 60, 80, 200], 382)
שמות;(29, [300, 40, 6, 400], 746)
כל;(30, [20, 30], 50)
זכר;(31, [7, 20, 200], 227)
לגלגלתם;(32, [30, 3, 30, 3, 30, 400, 40], 536)
מבן;(33, [40, 2, 50], 92)
עשרים;(34, [70, 300, 200, 10, 40], 620)
שנה;(35, [300, 50, 5], 355)
ומעלה;(36, [6, 40, 70, 30, 5], 151)
כל;(37, [20, 30], 50)
יצא;(38, [10, 90, 1], 101)
צבא;(39, [90, 2, 1], 93)
בישראל;(40, [2, 10, 300, 200, 1, 30], 543)
תפקדו;(41, [400, 80, 100, 4, 6], 590)
אתם;(42, [1, 400, 40], 441)
לצבאתם;(43, [30, 90, 2, 1, 400, 40], 563)
אתה;(44, [1, 400, 5], 406)
ואהרן;(45, [6, 1, 5, 200, 50], 262)
ואתכם;(46, [6, 1, 400, 20, 40], 467)
יהיו;(47, [10, 5, 10, 6], 31)
איש;(48, [1, 10, 300], 311)
איש;(49, [1, 10, 300], 311)
למטה;(50, [30, 40, 9, 5], 84)
איש;(51, [1, 10, 300], 311)
ראש;(52, [200, 1, 300], 501)
לבית;(53, [30, 2, 10, 400], 442)
אבתיו;(54, [1, 2, 400, 10, 6], 419)
הוא;(55, [5, 6, 1], 12)
ואלה;(56, [6, 1, 30, 5], 42)
שמות;(57, [300, 40, 6, 400], 746)
האנשים;(58, [5, 1, 50, 300, 10, 40], 406)
אשר;(59, [1, 300, 200], 501)
יעמדו;(60, [10, 70, 40, 4, 6], 130)
אתכם;(61, [1, 400, 20, 40], 461)
לראובן;(62, [30, 200, 1, 6, 2, 50], 289)
אליצור;(63, [1, 30, 10, 90, 6, 200], 337)
בן;(64, [2, 50], 52)
שדיאור;(65, [300, 4, 10, 1, 6, 200], 521)
לשמעון;(66, [30, 300, 40, 70, 6, 50], 496)
שלמיאל;(67, [300, 30, 40, 10, 1, 30], 411)
בן;(68, [2, 50], 52)
צורישדי;(69, [90, 6, 200, 10, 300, 4, 10], 620)
ליהודה;(70, [30, 10, 5, 6, 4, 5], 60)
נחשון;(71, [50, 8, 300, 6, 50], 414)
בן;(72, [2, 50], 52)
עמינדב;(73, [70, 40, 10, 50, 4, 2], 176)
ליששכר;(74, [30, 10, 300, 300, 20, 200], 860)
