אלה;(1, [1, 30, 5], 36)
הדברים;(2, [5, 4, 2, 200, 10, 40], 261)
אשר;(3, [1, 300, 200], 501)
דבר;(4, [4, 2, 200], 206)
משה;(5, [40, 300, 5], 345)
אל;(6, [1, 30], 31)
כל;(7, [20, 30], 50)
ישראל;(8, [10, 300, 200, 1, 30], 541)
בעבר;(9, [2, 70, 2, 200], 274)
הירדן;(10, [5, 10, 200, 4, 50], 269)
במדבר;(11, [2, 40, 4, 2, 200], 248)
בערבה;(12, [2, 70, 200, 2, 5], 279)
מול;(13, [40, 6, 30], 76)
סוף;(14, [60, 6, 80], 146)
בין;(15, [2, 10, 50], 62)
פארן;(16, [80, 1, 200, 50], 331)
ובין;(17, [6, 2, 10, 50], 68)
תפל;(18, [400, 80, 30], 510)
ולבן;(19, [6, 30, 2, 50], 88)
וחצרת;(20, [6, 8, 90, 200, 400], 704)
ודי;(21, [6, 4, 10], 20)
זהב;(22, [7, 5, 2], 14)
אחד;(23, [1, 8, 4], 13)
עשר;(24, [70, 300, 200], 570)
יום;(25, [10, 6, 40], 56)
מחרב;(26, [40, 8, 200, 2], 250)
דרך;(27, [4, 200, 20], 224)
הר;(28, [5, 200], 205)
שעיר;(29, [300, 70, 10, 200], 580)
עד;(30, [70, 4], 74)
קדש;(31, [100, 4, 300], 404)
ברנע;(32, [2, 200, 50, 70], 322)
ויהי;(33, [6, 10, 5, 10], 31)
בארבעים;(34, [2, 1, 200, 2, 70, 10, 40], 325)
שנה;(35, [300, 50, 5], 355)
בעשתי;(36, [2, 70, 300, 400, 10], 782)
עשר;(37, [70, 300, 200], 570)
חדש;(38, [8, 4, 300], 312)
באחד;(39, [2, 1, 8, 4], 15)
לחדש;(40, [30, 8, 4, 300], 342)
דבר;(41, [4, 2, 200], 206)
משה;(42, [40, 300, 5], 345)
אל;(43, [1, 30], 31)
בני;(44, [2, 50, 10], 62)
ישראל;(45, [10, 300, 200, 1, 30], 541)
ככל;(46, [20, 20, 30], 70)
אשר;(47, [1, 300, 200], 501)
צוה;(48, [90, 6, 5], 101)
יהוה;(49, [10, 5, 6, 5], 26)
אתו;(50, [1, 400, 6], 407)
אלהם;(51, [1, 30, 5, 40], 76)
אחרי;(52, [1, 8, 200, 10], 219)
הכתו;(53, [5, 20, 400, 6], 431)
את;(54, [1, 400], 401)
סיחן;(55, [60, 10, 8, 50], 128)
מלך;(56, [40, 30, 20], 90)
האמרי;(57, [5, 1, 40, 200, 10], 256)
אשר;(58, [1, 300, 200], 501)
יושב;(59, [10, 6, 300, 2], 318)
בחשבון;(60, [2, 8, 300, 2, 6, 50], 368)
ואת;(61, [6, 1, 400], 407)
עוג;(62, [70, 6, 3], 79)
מלך;(63, [40, 30, 20], 90)
הבשן;(64, [5, 2, 300, 50], 357)
אשר;(65, [1, 300, 200], 501)
יושב;(66, [10, 6, 300, 2], 318)
בעשתרת;(67, [2, 70, 300, 400, 200, 400], 1372)
באדרעי;(68, [2, 1, 4, 200, 70, 10], 287)
בעבר;(69, [2, 70, 2, 200], 274)
הירדן;(70, [5, 10, 200, 4, 50], 269)
בארץ;(71, [2, 1, 200, 90], 293)
מואב;(72, [40, 6, 1, 2], 49)
הואיל;(73, [5, 6, 1, 10, 30], 52)
משה;(74, [40, 300, 5], 345)
באר;(75, [2, 1, 200], 203)
את;(76, [1, 400], 401)
התורה;(77, [5, 400, 6, 200, 5], 616)
הזאת;(78, [5, 7, 1, 400], 413)
לאמר;(79, [30, 1, 40, 200], 271)
יהוה;(80, [10, 5, 6, 5], 26)
אלהינו;(81, [1, 30, 5, 10, 50, 6], 102)
דבר;(82, [4, 2, 200], 206)
אלינו;(83, [1, 30, 10, 50, 6], 97)
בחרב;(84, [2, 8, 200, 2], 212)
לאמר;(85, [30, 1, 40, 200], 271)
רב;(86, [200, 2], 202)
לכם;(87, [30, 20, 40], 90)
שבת;(88, [300, 2, 400], 702)
בהר;(89, [2, 5, 200], 207)
הזה;(90, [5, 7, 5], 17)
פנו;(91, [80, 50, 6], 136)
וסעו;(92, [6, 60, 70, 6], 142)
לכם;(93, [30, 20, 40], 90)
ובאו;(94, [6, 2, 1, 6], 15)
הר;(95, [5, 200], 205)
האמרי;(96, [5, 1, 40, 200, 10], 256)
ואל;(97, [6, 1, 30], 37)
כל;(98, [20, 30], 50)
שכניו;(99, [300, 20, 50, 10, 6], 386)
בערבה;(100, [2, 70, 200, 2, 5], 279)
בהר;(101, [2, 5, 200], 207)
ובשפלה;(102, [6, 2, 300, 80, 30, 5], 423)
ובנגב;(103, [6, 2, 50, 3, 2], 63)
ובחוף;(104, [6, 2, 8, 6, 80], 102)
הים;(105, [5, 10, 40], 55)
ארץ;(106, [1, 200, 90], 291)
הכנעני;(107, [5, 20, 50, 70, 50, 10], 205)
והלבנון;(108, [6, 5, 30, 2, 50, 6, 50], 149)
עד;(109, [70, 4], 74)
הנהר;(110, [5, 50, 5, 200], 260)
הגדל;(111, [5, 3, 4, 30], 42)
נהר;(112, [50, 5, 200], 255)
פרת;(113, [80, 200, 400], 680)
ראה;(114, [200, 1, 5], 206)
