ויהי;(1, [6, 10, 5, 10], 31)
אחרי;(2, [1, 8, 200, 10], 219)
מות;(3, [40, 6, 400], 446)
משה;(4, [40, 300, 5], 345)
עבד;(5, [70, 2, 4], 76)
יהוה;(6, [10, 5, 6, 5], 26)
ויאמר;(7, [6, 10, 1, 40, 200], 257)
יהוה;(8, [10, 5, 6, 5], 26)
אל;(9, [1, 30], 31)
יהושע;(10, [10, 5, 6, 300, 70], 391)
בן;(11, [2, 50], 52)
נון;(12, [50, 6, 50], 106)
משרת;(13, [40, 300, 200, 400], 940)
משה;(14, [40, 300, 5], 345)
לאמר;(15, [30, 1, 40, 200], 271)
משה;(16, [40, 300, 5], 345)
עבדי;(17, [70, 2, 4, 10], 86)
מת;(18, [40, 400], 440)
ועתה;(19, [6, 70, 400, 5], 481)
קום;(20, [100, 6, 40], 146)
עבר;(21, [70, 2, 200], 272)
את;(22, [1, 400], 401)
הירדן;(23, [5, 10, 200, 4, 50], 269)
הזה;(24, [5, 7, 5], 17)
אתה;(25, [1, 400, 5], 406)
וכל;(26, [6, 20, 30], 56)
העם;(27, [5, 70, 40], 115)
הזה;(28, [5, 7, 5], 17)
אל;(29, [1, 30], 31)
הארץ;(30, [5, 1, 200, 90], 296)
אשר;(31, [1, 300, 200], 501)
אנכי;(32, [1, 50, 20, 10], 81)
נתן;(33, [50, 400, 50], 500)
להם;(34, [30, 5, 40], 75)
לבני;(35, [30, 2, 50, 10], 92)
ישראל;(36, [10, 300, 200, 1, 30], 541)
כל;(37, [20, 30], 50)
מקום;(38, [40, 100, 6, 40], 186)
אשר;(39, [1, 300, 200], 501)
תדרך;(40, [400, 4, 200, 20], 624)
כף;(41, [20, 80], 100)
רגלכם;(42, [200, 3, 30, 20, 40], 293)
בו;(43, [2, 6], 8)
לכם;(44, [30, 20, 40], 90)
נתתיו;(45, [50, 400, 400, 10, 6], 866)
כאשר;(46, [20, 1, 300, 200], 521)
דברתי;(47, [4, 2, 200, 400, 10], 616)
אל;(48, [1, 30], 31)
משה;(49, [40, 300, 5], 345)
מהמדבר;(50, [40, 5, 40, 4, 2, 200], 291)
והלבנון;(51, [6, 5, 30, 2, 50, 6, 50], 149)
הזה;(52, [5, 7, 5], 17)
ועד;(53, [6, 70, 4], 80)
הנהר;(54, [5, 50, 5, 200], 260)
הגדול;(55, [5, 3, 4, 6, 30], 48)
נהר;(56, [50, 5, 200], 255)
פרת;(57, [80, 200, 400], 680)
כל;(58, [20, 30], 50)
ארץ;(59, [1, 200, 90], 291)
החתים;(60, [5, 8, 400, 10, 40], 463)
ועד;(61, [6, 70, 4], 80)
הים;(62, [5, 10, 40], 55)
הגדול;(63, [5, 3, 4, 6, 30], 48)
מבוא;(64, [40, 2, 6, 1], 49)
השמש;(65, [5, 300, 40, 300], 645)
יהיה;(66, [10, 5, 10, 5], 30)
גבולכם;(67, [3, 2, 6, 30, 20, 40], 101)
לא;(68, [30, 1], 31)
יתיצב;(69, [10, 400, 10, 90, 2], 512)
איש;(70, [1, 10, 300], 311)
לפניך;(71, [30, 80, 50, 10, 20], 190)
כל;(72, [20, 30], 50)
ימי;(73, [10, 40, 10], 60)
חייך;(74, [8, 10, 10, 20], 48)
כאשר;(75, [20, 1, 300, 200], 521)
הייתי;(76, [5, 10, 10, 400, 10], 435)
עם;(77, [70, 40], 110)
משה;(78, [40, 300, 5], 345)
אהיה;(79, [1, 5, 10, 5], 21)
עמך;(80, [70, 40, 20], 130)
לא;(81, [30, 1], 31)
ארפך;(82, [1, 200, 80, 20], 301)
ולא;(83, [6, 30, 1], 37)
אעזבך;(84, [1, 70, 7, 2, 20], 100)
חזק;(85, [8, 7, 100], 115)
ואמץ;(86, [6, 1, 40, 90], 137)
כי;(87, [20, 10], 30)
אתה;(88, [1, 400, 5], 406)
תנחיל;(89, [400, 50, 8, 10, 30], 498)
את;(90, [1, 400], 401)
העם;(91, [5, 70, 40], 115)
הזה;(92, [5, 7, 5], 17)
את;(93, [1, 400], 401)
הארץ;(94, [5, 1, 200, 90], 296)
אשר;(95, [1, 300, 200], 501)
נשבעתי;(96, [50, 300, 2, 70, 400, 10], 832)
לאבותם;(97, [30, 1, 2, 6, 400, 40], 479)
לתת;(98, [30, 400, 400], 830)
להם;(99, [30, 5, 40], 75)
רק;(100, [200, 100], 300)
חזק;(101, [8, 7, 100], 115)
ואמץ;(102, [6, 1, 40, 90], 137)
מאד;(103, [40, 1, 4], 45)
לשמר;(104, [30, 300, 40, 200], 570)
לעשות;(105, [30, 70, 300, 6, 400], 806)
ככל;(106, [20, 20, 30], 70)
התורה;(107, [5, 400, 6, 200, 5], 616)
אשר;(108, [1, 300, 200], 501)
צוך;(109, [90, 6, 20], 116)
משה;(110, [40, 300, 5], 345)
עבדי;(111, [70, 2, 4, 10], 86)
אל;(112, [1, 30], 31)
תסור;(113, [400, 60, 6, 200], 666)
ממנו;(114, [40, 40, 50, 6], 136)
ימין;(115, [10, 40, 10, 50], 110)
ושמאול;(116, [6, 300, 40, 1, 6, 30], 383)
למען;(117, [30, 40, 70, 50], 190)
תשכיל;(118, [400, 300, 20, 10, 30], 760)
בכל;(119, [2, 20, 30], 52)
אשר;(120, [1, 300, 200], 501)
תלך;(121, [400, 30, 20], 450)
לא;(122, [30, 1], 31)
ימוש;(123, [10, 40, 6, 300], 356)
ספר;(124, [60, 80, 200], 340)
התורה;(125, [5, 400, 6, 200, 5], 616)
הזה;(126, [5, 7, 5], 17)
מפיך;(127, [40, 80, 10, 20], 150)
והגית;(128, [6, 5, 3, 10, 400], 424)
בו;(129, [2, 6], 8)
יומם;(130, [10, 6, 40, 40], 96)
ולילה;(131, [6, 30, 10, 30, 5], 81)
למען;(132, [30, 40, 70, 50], 190)
תשמר;(133, [400, 300, 40, 200], 940)
לעשות;(134, [30, 70, 300, 6, 400], 806)
ככל;(135, [20, 20, 30], 70)
הכתוב;(136, [5, 20, 400, 6, 2], 433)
בו;(137, [2, 6], 8)
כי;(138, [20, 10], 30)
אז;(139, [1, 7], 8)
תצליח;(140, [400, 90, 30, 10, 8], 538)
את;(141, [1, 400], 401)
דרכך;(142, [4, 200, 20, 20], 244)
ואז;(143, [6, 1, 7], 14)
תשכיל;(144, [400, 300, 20, 10, 30], 760)
הלוא;(145, [5, 30, 6, 1], 42)
צויתיך;(146, [90, 6, 10, 400, 10, 20], 536)
חזק;(147, [8, 7, 100], 115)
ואמץ;(148, [6, 1, 40, 90], 137)
אל;(149, [1, 30], 31)
תערץ;(150, [400, 70, 200, 90], 760)
ואל;(151, [6, 1, 30], 37)
תחת;(152, [400, 8, 400], 808)
כי;(153, [20, 10], 30)
עמך;(154, [70, 40, 20], 130)
יהוה;(155, [10, 5, 6, 5], 26)
אלהיך;(156, [1, 30, 5, 10, 20], 66)
בכל;(157, [2, 20, 30], 52)
אשר;(158, [1, 300, 200], 501)
תלך;(159, [400, 30, 20], 450)
ויצו;(160, [6, 10, 90, 6], 112)
יהושע;(161, [10, 5, 6, 300, 70], 391)
את;(162, [1, 400], 401)
שטרי;(163, [300, 9, 200, 10], 519)
העם;(164, [5, 70, 40], 115)
לאמר;(165, [30, 1, 40, 200], 271)
עברו;(166, [70, 2, 200, 6], 278)
בקרב;(167, [2, 100, 200, 2], 304)
המחנה;(168, [5, 40, 8, 50, 5], 108)
וצוו;(169, [6, 90, 6, 6], 108)
את;(170, [1, 400], 401)
העם;(171, [5, 70, 40], 115)
לאמר;(172, [30, 1, 40, 200], 271)
הכינו;(173, [5, 20, 10, 50, 6], 91)
לכם;(174, [30, 20, 40], 90)
צידה;(175, [90, 10, 4, 5], 109)
כי;(176, [20, 10], 30)
בעוד;(177, [2, 70, 6, 4], 82)
שלשת;(178, [300, 30, 300, 400], 1030)
ימים;(179, [10, 40, 10, 40], 100)
אתם;(180, [1, 400, 40], 441)
עברים;(181, [70, 2, 200, 10, 40], 322)
את;(182, [1, 400], 401)
הירדן;(183, [5, 10, 200, 4, 50], 269)
הזה;(184, [5, 7, 5], 17)
לבוא;(185, [30, 2, 6, 1], 39)
לרשת;(186, [30, 200, 300, 400], 930)
את;(187, [1, 400], 401)
הארץ;(188, [5, 1, 200, 90], 296)
אשר;(189, [1, 300, 200], 501)
יהוה;(190, [10, 5, 6, 5], 26)
אלהיכם;(191, [1, 30, 5, 10, 20, 40], 106)
נתן;(192, [50, 400, 50], 500)
לכם;(193, [30, 20, 40], 90)
לרשתה;(194, [30, 200, 300, 400, 5], 935)
ולראובני;(195, [6, 30, 200, 1, 6, 2, 50, 10], 305)
ולגדי;(196, [6, 30, 3, 4, 10], 53)
ולחצי;(197, [6, 30, 8, 90, 10], 144)
שבט;(198, [300, 2, 9], 311)
המנשה;(199, [5, 40, 50, 300, 5], 400)
אמר;(200, [1, 40, 200], 241)
יהושע;(201, [10, 5, 6, 300, 70], 391)
לאמר;(202, [30, 1, 40, 200], 271)
זכור;(203, [7, 20, 6, 200], 233)
את;(204, [1, 400], 401)
הדבר;(205, [5, 4, 2, 200], 211)
אשר;(206, [1, 300, 200], 501)
