חזון;[1, 2, 3, 4];(1, [8, 7, 6, 50], 71)
ישעיהו;[5, 6, 7, 8, 9, 10];(2, [10, 300, 70, 10, 5, 6], 401)
בן;[11, 12];(3, [2, 50], 52)
אמוץ;[13, 14, 15, 16];(4, [1, 40, 6, 90], 137)
אשר;[17, 18, 19];(5, [1, 300, 200], 501)
חזה;[20, 21, 22];(6, [8, 7, 5], 20)
על;[23, 24];(7, [70, 30], 100)
יהודה;[25, 26, 27, 28, 29];(8, [10, 5, 6, 4, 5], 30)
וירושלם;[30, 31, 32, 33, 34, 35, 36];(9, [6, 10, 200, 6, 300, 30, 40], 592)
בימי;[37, 38, 39, 40];(10, [2, 10, 40, 10], 62)
עזיהו;[41, 42, 43, 44, 45];(11, [70, 7, 10, 5, 6], 98)
יותם;[46, 47, 48, 49];(12, [10, 6, 400, 40], 456)
אחז;[50, 51, 52];(13, [1, 8, 7], 16)
יחזקיהו;[53, 54, 55, 56, 57, 58, 59];(14, [10, 8, 7, 100, 10, 5, 6], 146)
מלכי;[60, 61, 62, 63];(15, [40, 30, 20, 10], 100)
יהודה;[64, 65, 66, 67, 68];(16, [10, 5, 6, 4, 5], 30)
שמעו;[69, 70, 71, 72];(17, [300, 40, 70, 6], 416)
שמים;[73, 74, 75, 76];(18, [300, 40, 10, 40], 390)
והאזיני;[77, 78, 79, 80, 81, 82, 83];(19, [6, 5, 1, 7, 10, 50, 10], 89)
ארץ;[84, 85, 86];(20, [1, 200, 90], 291)
כי;[87, 88];(21, [20, 10], 30)
יהוה;[89, 90, 91, 92];(22, [10, 5, 6, 5], 26)
דבר;[93, 94, 95];(23, [4, 2, 200], 206)
בנים;[96, 97, 98, 99];(24, [2, 50, 10, 40], 102)
גדלתי;[100, 101, 102, 103, 104];(25, [3, 4, 30, 400, 10], 447)
ורוממתי;[105, 106, 107, 108, 109, 110, 111];(26, [6, 200, 6, 40, 40, 400, 10], 702)
והם;[112, 113, 114];(27, [6, 5, 40], 51)
פשעו;[115, 116, 117, 118];(28, [80, 300, 70, 6], 456)
בי;[119, 120];(29, [2, 10], 12)
ידע;[121, 122, 123];(30, [10, 4, 70], 84)
שור;[124, 125, 126];(31, [300, 6, 200], 506)
קנהו;[127, 128, 129, 130];(32, [100, 50, 5, 6], 161)
וחמור;[131, 132, 133, 134, 135];(33, [6, 8, 40, 6, 200], 260)
אבוס;[136, 137, 138, 139];(34, [1, 2, 6, 60], 69)
בעליו;[140, 141, 142, 143, 144];(35, [2, 70, 30, 10, 6], 118)
ישראל;[145, 146, 147, 148, 149];(36, [10, 300, 200, 1, 30], 541)
לא;[150, 151];(37, [30, 1], 31)
ידע;[152, 153, 154];(38, [10, 4, 70], 84)
עמי;[155, 156, 157];(39, [70, 40, 10], 120)
לא;[158, 159];(40, [30, 1], 31)
התבונן;[160, 161, 162, 163, 164, 165];(41, [5, 400, 2, 6, 50, 50], 513)
הוי;[166, 167, 168];(42, [5, 6, 10], 21)
גוי;[169, 170, 171];(43, [3, 6, 10], 19)
חטא;[172, 173, 174];(44, [8, 9, 1], 18)
עם;[175, 176];(45, [70, 40], 110)
כבד;[177, 178, 179];(46, [20, 2, 4], 26)
עון;[180, 181, 182];(47, [70, 6, 50], 126)
זרע;[183, 184, 185];(48, [7, 200, 70], 277)
מרעים;[186, 187, 188, 189, 190];(49, [40, 200, 70, 10, 40], 360)
בנים;[191, 192, 193, 194];(50, [2, 50, 10, 40], 102)
משחיתים;[195, 196, 197, 198, 199, 200, 201];(51, [40, 300, 8, 10, 400, 10, 40], 808)
עזבו;[202, 203, 204, 205];(52, [70, 7, 2, 6], 85)
את;[206, 207];(53, [1, 400], 401)
יהוה;[208, 209, 210, 211];(54, [10, 5, 6, 5], 26)
נאצו;[212, 213, 214, 215];(55, [50, 1, 90, 6], 147)
את;[216, 217];(56, [1, 400], 401)
קדוש;[218, 219, 220, 221];(57, [100, 4, 6, 300], 410)
ישראל;[222, 223, 224, 225, 226];(58, [10, 300, 200, 1, 30], 541)
נזרו;[227, 228, 229, 230];(59, [50, 7, 200, 6], 263)
אחור;[231, 232, 233, 234];(60, [1, 8, 6, 200], 215)
על;[235, 236];(61, [70, 30], 100)
מה;[237, 238];(62, [40, 5], 45)
תכו;[239, 240, 241];(63, [400, 20, 6], 426)
עוד;[242, 243, 244];(64, [70, 6, 4], 80)
תוסיפו;[245, 246, 247, 248, 249, 250];(65, [400, 6, 60, 10, 80, 6], 562)
סרה;[251, 252, 253];(66, [60, 200, 5], 265)
כל;[254, 255];(67, [20, 30], 50)
ראש;[256, 257, 258];(68, [200, 1, 300], 501)
לחלי;[259, 260, 261, 262];(69, [30, 8, 30, 10], 78)
וכל;[263, 264, 265];(70, [6, 20, 30], 56)
לבב;[266, 267, 268];(71, [30, 2, 2], 34)
דוי;[269, 270, 271];(72, [4, 6, 10], 20)
מכף;[272, 273, 274];(73, [40, 20, 80], 140)
רגל;[275, 276, 277];(74, [200, 3, 30], 233)
ועד;[278, 279, 280];(75, [6, 70, 4], 80)
ראש;[281, 282, 283];(76, [200, 1, 300], 501)
אין;[284, 285, 286];(77, [1, 10, 50], 61)
בו;[287, 288];(78, [2, 6], 8)
מתם;[289, 290, 291];(79, [40, 400, 40], 480)
פצע;[292, 293, 294];(80, [80, 90, 70], 240)
וחבורה;[295, 296, 297, 298, 299, 300];(81, [6, 8, 2, 6, 200, 5], 227)
ומכה;[301, 302, 303, 304];(82, [6, 40, 20, 5], 71)
טריה;[305, 306, 307, 308];(83, [9, 200, 10, 5], 224)
לא;[309, 310];(84, [30, 1], 31)
זרו;[311, 312, 313];(85, [7, 200, 6], 213)
ולא;[314, 315, 316];(86, [6, 30, 1], 37)
חבשו;[317, 318, 319, 320];(87, [8, 2, 300, 6], 316)
ולא;[321, 322, 323];(88, [6, 30, 1], 37)
רככה;[324, 325, 326, 327];(89, [200, 20, 20, 5], 245)
בשמן;[328, 329, 330, 331];(90, [2, 300, 40, 50], 392)
ארצכם;[332, 333, 334, 335, 336];(91, [1, 200, 90, 20, 40], 351)
שממה;[337, 338, 339, 340];(92, [300, 40, 40, 5], 385)
עריכם;[341, 342, 343, 344, 345];(93, [70, 200, 10, 20, 40], 340)
שרפות;[346, 347, 348, 349, 350];(94, [300, 200, 80, 6, 400], 986)
אש;[351, 352];(95, [1, 300], 301)
אדמתכם;[353, 354, 355, 356, 357, 358];(96, [1, 4, 40, 400, 20, 40], 505)
לנגדכם;[359, 360, 361, 362, 363, 364];(97, [30, 50, 3, 4, 20, 40], 147)
זרים;[365, 366, 367, 368];(98, [7, 200, 10, 40], 257)
אכלים;[369, 370, 371, 372, 373];(99, [1, 20, 30, 10, 40], 101)
אתה;[374, 375, 376];(100, [1, 400, 5], 406)
ושממה;[377, 378, 379, 380, 381];(101, [6, 300, 40, 40, 5], 391)
כמהפכת;[382, 383, 384, 385, 386, 387];(102, [20, 40, 5, 80, 20, 400], 565)
זרים;[388, 389, 390, 391];(103, [7, 200, 10, 40], 257)
ונותרה;[392, 393, 394, 395, 396, 397];(104, [6, 50, 6, 400, 200, 5], 667)
בת;[398, 399];(105, [2, 400], 402)
ציון;[400, 401, 402, 403];(106, [90, 10, 6, 50], 156)
כסכה;[404, 405, 406, 407];(107, [20, 60, 20, 5], 105)
בכרם;[408, 409, 410, 411];(108, [2, 20, 200, 40], 262)
כמלונה;[412, 413, 414, 415, 416, 417];(109, [20, 40, 30, 6, 50, 5], 151)
במקשה;[418, 419, 420, 421, 422];(110, [2, 40, 100, 300, 5], 447)
כעיר;[423, 424, 425, 426];(111, [20, 70, 10, 200], 300)
נצורה;[427, 428, 429, 430, 431];(112, [50, 90, 6, 200, 5], 351)
לולי;[432, 433, 434, 435];(113, [30, 6, 30, 10], 76)
יהוה;[436, 437, 438, 439];(114, [10, 5, 6, 5], 26)
צבאות;[440, 441, 442, 443, 444];(115, [90, 2, 1, 6, 400], 499)
הותיר;[445, 446, 447, 448, 449];(116, [5, 6, 400, 10, 200], 621)
לנו;[450, 451, 452];(117, [30, 50, 6], 86)
שריד;[453, 454, 455, 456];(118, [300, 200, 10, 4], 514)
כמעט;[457, 458, 459, 460];(119, [20, 40, 70, 9], 139)
כסדם;[461, 462, 463, 464];(120, [20, 60, 4, 40], 124)
היינו;[465, 466, 467, 468, 469];(121, [5, 10, 10, 50, 6], 81)
לעמרה;[470, 471, 472, 473, 474];(122, [30, 70, 40, 200, 5], 345)
דמינו;[475, 476, 477, 478, 479];(123, [4, 40, 10, 50, 6], 110)
שמעו;[480, 481, 482, 483];(124, [300, 40, 70, 6], 416)
דבר;[484, 485, 486];(125, [4, 2, 200], 206)
יהוה;[487, 488, 489, 490];(126, [10, 5, 6, 5], 26)
קציני;[491, 492, 493, 494, 495];(127, [100, 90, 10, 50, 10], 260)
סדם;[496, 497, 498];(128, [60, 4, 40], 104)
האזינו;[499, 500, 501, 502, 503, 504];(129, [5, 1, 7, 10, 50, 6], 79)
תורת;[505, 506, 507, 508];(130, [400, 6, 200, 400], 1006)
אלהינו;[509, 510, 511, 512, 513, 514];(131, [1, 30, 5, 10, 50, 6], 102)
עם;[515, 516];(132, [70, 40], 110)
עמרה;[517, 518, 519, 520];(133, [70, 40, 200, 5], 315)
למה;[521, 522, 523];(134, [30, 40, 5], 75)
לי;[524, 525];(135, [30, 10], 40)
רב;[526, 527];(136, [200, 2], 202)
זבחיכם;[528, 529, 530, 531, 532, 533];(137, [7, 2, 8, 10, 20, 40], 87)
יאמר;[534, 535, 536, 537];(138, [10, 1, 40, 200], 251)
יהוה;[538, 539, 540, 541];(139, [10, 5, 6, 5], 26)
שבעתי;[542, 543, 544, 545, 546];(140, [300, 2, 70, 400, 10], 782)
עלות;[547, 548, 549, 550];(141, [70, 30, 6, 400], 506)
אילים;[551, 552, 553, 554, 555];(142, [1, 10, 30, 10, 40], 91)
וחלב;[556, 557, 558, 559];(143, [6, 8, 30, 2], 46)
מריאים;[560, 561, 562, 563, 564, 565];(144, [40, 200, 10, 1, 10, 40], 301)
ודם;[566, 567, 568];(145, [6, 4, 40], 50)
פרים;[569, 570, 571, 572];(146, [80, 200, 10, 40], 330)
וכבשים;[573, 574, 575, 576, 577, 578];(147, [6, 20, 2, 300, 10, 40], 378)
ועתודים;[579, 580, 581, 582, 583, 584, 585];(148, [6, 70, 400, 6, 4, 10, 40], 536)
לא;[586, 587];(149, [30, 1], 31)
חפצתי;[588, 589, 590, 591, 592];(150, [8, 80, 90, 400, 10], 588)
כי;[593, 594];(151, [20, 10], 30)
תבאו;[595, 596, 597, 598];(152, [400, 2, 1, 6], 409)
לראות;[599, 600, 601, 602, 603];(153, [30, 200, 1, 6, 400], 637)
פני;[604, 605, 606];(154, [80, 50, 10], 140)
מי;[607, 608];(155, [40, 10], 50)
בקש;[609, 610, 611];(156, [2, 100, 300], 402)
זאת;[612, 613, 614];(157, [7, 1, 400], 408)
מידכם;[615, 616, 617, 618, 619];(158, [40, 10, 4, 20, 40], 114)
רמס;[620, 621, 622];(159, [200, 40, 60], 300)
חצרי;[623, 624, 625, 626];(160, [8, 90, 200, 10], 308)
לא;[627, 628];(161, [30, 1], 31)
תוסיפו;[629, 630, 631, 632, 633, 634];(162, [400, 6, 60, 10, 80, 6], 562)
הביא;[635, 636, 637, 638];(163, [5, 2, 10, 1], 18)
מנחת;[639, 640, 641, 642];(164, [40, 50, 8, 400], 498)
שוא;[643, 644, 645];(165, [300, 6, 1], 307)
קטרת;[646, 647, 648, 649];(166, [100, 9, 200, 400], 709)
תועבה;[650, 651, 652, 653, 654];(167, [400, 6, 70, 2, 5], 483)
היא;[655, 656, 657];(168, [5, 10, 1], 16)
לי;[658, 659];(169, [30, 10], 40)
חדש;[660, 661, 662];(170, [8, 4, 300], 312)
ושבת;[663, 664, 665, 666];(171, [6, 300, 2, 400], 708)
קרא;[667, 668, 669];(172, [100, 200, 1], 301)
