Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;27059;304805;0.08877479043978938;8.877479043978937
ב;16345;304805;0.05362444841784091;5.362444841784091
ג;2109;304805;0.006919177835009269;0.6919177835009269
ד;7032;304805;0.02307048768885025;2.307048768885025
ה;28056;304805;0.09204573415790424;9.204573415790424
ו;30513;304805;0.10010662554748118;10.010662554748118
ז;2198;304805;0.007211167795803874;0.7211167795803874
ח;7189;304805;0.02358557110283624;2.358557110283624
ט;1804;304805;0.005918538081724381;0.591853808172438
י;31531;304805;0.10344646577319926;10.344646577319926
כ;8610;304805;0.02824756811732091;2.824756811732091
ך;3358;304805;0.011016879644362789;1.101687964436279
כ/ך;11968;304805;0.039264447761683696;3.9264447761683696
ל;21570;304805;0.07076655566673776;7.076655566673776
מ;14466;304805;0.047459851380390744;4.7459851380390745
ם;10624;304805;0.03485507127507751;3.485507127507751
מ/ם;25090;304805;0.08231492265546825;8.231492265546825
נ;9867;304805;0.03237151621528518;3.2371516215285183
ן;4259;304805;0.013972867899148636;1.3972867899148635
נ/ן;14126;304805;0.04634438411443382;4.634438411443382
ס;1833;304805;0.006013680877938354;0.6013680877938354
ע;11250;304805;0.036908843358868786;3.6908843358868784
פ;3975;304805;0.013041124653466971;1.3041124653466971
ף;830;304805;0.0027230524433654304;0.272305244336543
פ/ף;4805;304805;0.0157641770968324;1.5764177096832401
צ;2927;304805;0.009602860845458572;0.9602860845458573
ץ;1035;304805;0.003395613589015928;0.3395613589015928
צ/ץ;3962;304805;0.0129984744344745;1.2998474434474498
ק;4695;304805;0.015403290628434574;1.5403290628434574
ר;18125;304805;0.05946424763373304;5.9464247633733045
ש;15595;304805;0.05116385886058299;5.116385886058299
ת;17950;304805;0.05889011007037286;5.889011007037286
