(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(9652, -94, 5);[5, 40, 300, 10, 8];363;המשיח;2587;(1, 8, 11, 3, 2587);היונה;5;(1, 8, 11, 13, 9652);ותבא אליו היונה לעת ערב והנה עלה זית טרף בפיה וידע נח כי קלו המים מעל הארץ
(164145, -94, 5);[5, 40, 300, 10, 8];363;המשיח;43383;(3, 14, 52, 14, 43383);התולעת;1;(3, 14, 52, 56, 164145);וחטא את הבית בדם הצפור ובמים החיים ובצפר החיה ובעץ הארז ובאזב ובשני התולעת
(107476, -91, 5);[5, 40, 300, 10, 8];363;המשיח;28389;(2, 20, 11, 25, 28389);השבת;1;(2, 20, 11, 76, 107476);כי ששת ימים עשה יהוה את השמים ואת הארץ את הים ואת כל אשר בם וינח ביום השביעי על כן ברך יהוה את יום השבת ויקדשהו
(56653, -77, 5);[5, 40, 300, 10, 8];363;המשיח;15061;(1, 38, 14, 16, 15061);ראתה;4;(1, 38, 14, 67, 56653);ותסר בגדי אלמנותה מעליה ותכס בצעיף ותתעלף ותשב בפתח עינים אשר על דרך תמנתה כי ראתה כי גדל שלה והוא לא נתנה לו לאשה
(204882, -75, 5);[5, 40, 300, 10, 8];363;המשיח;54012;(4, 9, 20, 4, 54012);הענן;1;(4, 9, 20, 11, 204882);ויש אשר יהיה הענן ימים מספר על המשכן על פי יהוה יחנו ועל פי יהוה יסעו
(288906, -75, 5);[5, 40, 300, 10, 8];363;המשיח;75873;(5, 25, 19, 4, 75873);אלהיך;3;(5, 25, 19, 16, 288906);והיה בהניח יהוה אלהיך לך מכל איביך מסביב בארץ אשר יהוה אלהיך נתן לך נחלה לרשתה תמחה את זכר עמלק מתחת השמים לא תשכח
(122207, -70, 5);[5, 40, 300, 10, 8];363;המשיח;32233;(2, 29, 29, 9, 32233);בהם;2;(2, 29, 29, 38, 122207);ובגדי הקדש אשר לאהרן יהיו לבניו אחריו למשחה בהם ולמלא בם את ידם
(192193, -69, 5);[5, 40, 300, 10, 8];363;המשיח;50682;(4, 3, 41, 18, 50682);בבהמת;3;(4, 3, 41, 62, 192193);ולקחת את הלוים לי אני יהוה תחת כל בכר בבני ישראל ואת בהמת הלוים תחת כל בכור בבהמת בני ישראל
(11442, -66, 5);[5, 40, 300, 10, 8];363;המשיח;3078;(1, 9, 26, 3, 3078);יהוה;2;(1, 9, 26, 11, 11442);ויאמר ברוך יהוה אלהי שם ויהי כנען עבד למו
(122364, -66, 5);[5, 40, 300, 10, 8];363;המשיח;32277;(2, 29, 33, 5, 32277);בהם;2;(2, 29, 33, 16, 122364);ואכלו אתם אשר כפר בהם למלא את ידם לקדש אתם וזר לא יאכל כי קדש הם
(144480, -66, 5);[5, 40, 300, 10, 8];363;המשיח;38084;(3, 4, 4, 18, 38084);הפר;1;(3, 4, 4, 54, 144480);והביא את הפר אל פתח אהל מועד לפני יהוה וסמך את ידו על ראש הפר ושחט את הפר לפני יהוה
(47993, -61, 5);[5, 40, 300, 10, 8];363;המשיח;12783;(1, 32, 30, 4, 12783);הגידה;5;(1, 32, 30, 19, 47993);וישאל יעקב ויאמר הגידה נא שמך ויאמר למה זה תשאל לשמי ויברך אתו שם
(201807, -53, 5);[5, 40, 300, 10, 8];363;המשיח;53205;(4, 7, 79, 18, 53205);בלולה;5;(4, 7, 79, 73, 201807);קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
(109788, -48, 5);[5, 40, 300, 10, 8];363;המשיח;29039;(2, 22, 3, 2, 29039);המצא;1;(2, 22, 3, 3, 109788);אם המצא תמצא בידו הגנבה משור עד חמור עד שה חיים שנים ישלם
(133821, -47, 5);[5, 40, 300, 10, 8];363;המשיח;35314;(2, 36, 19, 7, 35314);ומכסה;5;(2, 36, 19, 30, 133821);ויעש מכסה לאהל ערת אילם מאדמים ומכסה ערת תחשים מלמעלה
(218115, -44, 5);[5, 40, 300, 10, 8];363;המשיח;57495;(4, 17, 19, 5, 57495);העדות;1;(4, 17, 19, 19, 218115);והנחתם באהל מועד לפני העדות אשר אועד לכם שמה
(161888, -41, 5);[5, 40, 300, 10, 8];363;המשיח;42770;(3, 14, 12, 2, 42770);הכהן;1;(3, 14, 12, 5, 161888);ולקח הכהן את הכבש האחד והקריב אתו לאשם ואת לג השמן והניף אתם תנופה לפני יהוה
(114167, -31, 5);[5, 40, 300, 10, 8];363;המשיח;30215;(2, 25, 20, 1, 30215);והיו;2;(2, 25, 20, 2, 114167);והיו הכרבים פרשי כנפים למעלה סככים בכנפיהם על הכפרת ופניהם איש אל אחיו אל הכפרת יהיו פני הכרבים
(175933, -31, 5);[5, 40, 300, 10, 8];363;המשיח;46601;(3, 22, 27, 19, 46601);ליהוה;5;(3, 22, 27, 69, 175933);שור או כשב או עז כי יולד והיה שבעת ימים תחת אמו ומיום השמיני והלאה ירצה לקרבן אשה ליהוה
(124607, -30, 5);[5, 40, 300, 10, 8];363;המשיח;32863;(2, 30, 34, 4, 32863);משה;3;(2, 30, 34, 14, 124607);ויאמר יהוה אל משה קח לך סמים נטף ושחלת וחלבנה סמים ולבנה זכה בד בבד יהיה
(173140, -28, 5);[5, 40, 300, 10, 8];363;המשיח;45825;(3, 20, 23, 4, 45825);הגוי;1;(3, 20, 23, 12, 173140);ולא תלכו בחקת הגוי אשר אני משלח מפניכם כי את כל אלה עשו ואקץ בם
(223827, -28, 5);[5, 40, 300, 10, 8];363;המשיח;59015;(4, 21, 7, 9, 59015);ביהוה;5;(4, 21, 7, 35, 223827);ויבא העם אל משה ויאמרו חטאנו כי דברנו ביהוה ובך התפלל אל יהוה ויסר מעלינו את הנחש ויתפלל משה בעד העם
(199523, -21, 5);[5, 40, 300, 10, 8];363;המשיח;52609;(4, 7, 25, 20, 52609);למנחה;5;(4, 7, 25, 82, 199523);קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
(14857, -19, 5);[5, 40, 300, 10, 8];363;המשיח;3979;(1, 12, 14, 8, 3979);האשה;1;(1, 12, 14, 32, 14857);ויהי כבוא אברם מצרימה ויראו המצרים את האשה כי יפה הוא מאד
(33277, -10, 5);[5, 40, 300, 10, 8];363;המשיח;8872;(1, 25, 10, 8, 8872);שמה;3;(1, 25, 10, 26, 33277);השדה אשר קנה אברהם מאת בני חת שמה קבר אברהם ושרה אשתו
(48571, -10, 5);[5, 40, 300, 10, 8];363;המשיח;12935;(1, 33, 8, 5, 12935);המחנה;5;(1, 33, 8, 16, 48571);ויאמר מי לך כל המחנה הזה אשר פגשתי ויאמר למצא חן בעיני אדני
(232757, -5, 5);[5, 40, 300, 10, 8];363;המשיח;61347;(4, 26, 39, 3, 61347);השופמי;1;(4, 26, 39, 12, 232757);לשפופם משפחת השופמי לחופם משפחת החופמי
(9558, -94, 5);[40, 300, 10, 8, 10];368;משיחי;2561;(1, 8, 9, 12, 2561);מים;3;(1, 8, 9, 42, 9558);ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה
(175532, -92, 5);[40, 300, 10, 8, 10];368;משיחי;46489;(3, 22, 20, 4, 46489);מום;3;(3, 22, 20, 10, 175532);כל אשר בו מום לא תקריבו כי לא לרצון יהיה לכם
(24809, -90, 5);[40, 300, 10, 8, 10];368;משיחי;6608;(1, 20, 8, 14, 6608);האנשים;6;(1, 20, 8, 66, 24809);וישכם אבימלך בבקר ויקרא לכל עבדיו וידבר את כל הדברים האלה באזניהם וייראו האנשים מאד
(99966, -87, 5);[40, 300, 10, 8, 10];368;משיחי;26366;(2, 15, 2, 2, 26366);וזמרת;3;(2, 15, 2, 6, 99966);עזי וזמרת יה ויהי לי לישועה זה אלי ואנוהו אלהי אבי וארממנהו
(9117, -76, 5);[40, 300, 10, 8, 10];368;משיחי;2447;(1, 7, 24, 2, 2447);המים;2;(1, 7, 24, 8, 9117);ויגברו המים על הארץ חמשים ומאת יום
(135878, -76, 5);[40, 300, 10, 8, 10];368;משיחי;35826;(2, 37, 23, 6, 35826);ומחתתיה;2;(2, 37, 23, 24, 135878);ויעש את נרתיה שבעה ומלקחיה ומחתתיה זהב טהור
(243287, -76, 5);[40, 300, 10, 8, 10];368;משיחי;63999;(4, 32, 25, 8, 63999);לאמר;3;(4, 32, 25, 27, 243287);ויאמר בני גד ובני ראובן אל משה לאמר עבדיך יעשו כאשר אדני מצוה
(145819, -73, 5);[40, 300, 10, 8, 10];368;משיחי;38450;(3, 4, 28, 11, 38450);תמימה;4;(3, 4, 28, 44, 145819);או הודע אליו חטאתו אשר חטא והביא קרבנו שעירת עזים תמימה נקבה על חטאתו אשר חטא
(241738, -70, 5);[40, 300, 10, 8, 10];368;משיחי;63604;(4, 31, 50, 11, 63604);וצמיד;3;(4, 31, 50, 38, 241738);ונקרב את קרבן יהוה איש אשר מצא כלי זהב אצעדה וצמיד טבעת עגיל וכומז לכפר על נפשתינו לפני יהוה
(151785, -68, 5);[40, 300, 10, 8, 10];368;משיחי;40047;(3, 8, 19, 7, 40047);המזבח;2;(3, 8, 19, 22, 151785);וישחט ויזרק משה את הדם על המזבח סביב
(56122, -66, 5);[40, 300, 10, 8, 10];368;משיחי;14918;(1, 38, 3, 6, 14918);שמו;2;(1, 38, 3, 19, 56122);ותהר ותלד בן ויקרא את שמו ער
(224118, -61, 5);[40, 300, 10, 8, 10];368;משיחי;59094;(4, 21, 13, 10, 59094);האמרי;3;(4, 21, 13, 40, 224118);משם נסעו ויחנו מעבר ארנון אשר במדבר היצא מגבל האמרי כי ארנון גבול מואב בין מואב ובין האמרי
(70477, -59, 5);[40, 300, 10, 8, 10];368;משיחי;18646;(1, 46, 5, 3, 18646);מבאר;1;(1, 46, 5, 9, 70477);ויקם יעקב מבאר שבע וישאו בני ישראל את יעקב אביהם ואת טפם ואת נשיהם בעגלות אשר שלח פרעה לשאת אתו
(111385, -59, 5);[40, 300, 10, 8, 10];368;משיחי;29493;(2, 23, 12, 4, 29493);מעשיך;1;(2, 23, 12, 12, 111385);ששת ימים תעשה מעשיך וביום השביעי תשבת למען ינוח שורך וחמרך וינפש בן אמתך והגר
(260075, -55, 5);[40, 300, 10, 8, 10];368;משיחי;68315;(5, 5, 14, 9, 68315);מלאכה;1;(5, 5, 14, 32, 260075);ויום השביעי שבת ליהוה אלהיך לא תעשה כל מלאכה אתה ובנך ובתך ועבדך ואמתך ושורך וחמרך וכל בהמתך וגרך אשר בשעריך למען ינוח עבדך ואמתך כמוך
(201754, -53, 5);[40, 300, 10, 8, 10];368;משיחי;53192;(4, 7, 79, 5, 53192);שלשים;5;(4, 7, 79, 20, 201754);קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
(237970, -53, 5);[40, 300, 10, 8, 10];368;משיחי;62623;(4, 29, 29, 1, 62623);וביום;5;(4, 29, 29, 5, 237970);וביום הששי פרים שמנה אילם שנים כבשים בני שנה ארבעה עשר תמימם
(7804, -51, 5);[40, 300, 10, 8, 10];368;משיחי;2087;(1, 6, 20, 3, 2087);ומן;2;(1, 6, 20, 13, 7804);מהעוף למינהו ומן הבהמה למינה מכל רמש האדמה למינהו שנים מכל יבאו אליך להחיות
(31447, -48, 5);[40, 300, 10, 8, 10];368;משיחי;8396;(1, 24, 41, 8, 8396);ואם;3;(1, 24, 41, 28, 31447);אז תנקה מאלתי כי תבוא אל משפחתי ואם לא יתנו לך והיית נקי מאלתי
(286370, -48, 5);[40, 300, 10, 8, 10];368;משיחי;75196;(5, 23, 18, 9, 75196);מבני;1;(5, 23, 18, 31, 286370);לא תהיה קדשה מבנות ישראל ולא יהיה קדש מבני ישראל
(65350, -43, 5);[40, 300, 10, 8, 10];368;משיחי;17338;(1, 43, 7, 12, 17338);לכם;3;(1, 43, 7, 50, 65350);ויאמרו שאול שאל האיש לנו ולמולדתנו לאמר העוד אביכם חי היש לכם אח ונגד לו על פי הדברים האלה הידוע נדע כי יאמר הורידו את אחיכם
(236225, -40, 5);[40, 300, 10, 8, 10];368;משיחי;62215;(4, 28, 23, 6, 62215);התמיד;3;(4, 28, 23, 21, 236225);מלבד עלת הבקר אשר לעלת התמיד תעשו את אלה
(152483, -29, 5);[40, 300, 10, 8, 10];368;משיחי;40236;(3, 8, 30, 2, 40236);משה;1;(3, 8, 30, 5, 152483);ויקח משה משמן המשחה ומן הדם אשר על המזבח ויז על אהרן על בגדיו ועל בניו ועל בגדי בניו אתו ויקדש את אהרן את בגדיו ואת בניו ואת בגדי בניו אתו
